"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-29","home","ari","col","0","1","0","2","0","0","0"
"2024-03-30","home","ari","col","1","1","0","0","2","2","2"
"2024-03-31","home","ari","col","2","0","0","1","2","1","1"
"2024-04-01","home","ari","nyy","0","0","0","0","0","2","1"
"2024-04-02","home","ari","nyy","4","1","0","0","3","0","0"
"2024-04-03","home","ari","nyy","0","1","0","0","0","1","0"
"2024-04-05","away","atl","ari","2","1","0","1","2","1","0"
"2024-04-06","away","atl","ari","5","1","0","1","5","0","1"
"2024-03-28","home","ari","col","1","0","0","1","1","1","0"
"2024-04-07","away","atl","ari","0","0","0","0","0","1","0"
"2024-04-13","home","ari","stl","1","1","0","0","1","1","1"
"2024-04-12","home","ari","stl","1","0","0","0","0","1","0"
"2024-04-10","away","col","ari","1","1","0","0","1","1","1"
"2024-04-09","away","col","ari","1","1","0","1","1","1","0"
"2024-04-08","away","col","ari","1","0","0","0","0","0","1"
"2024-04-17","home","ari","chc","0","0","0","1","0","2","0"
"2024-04-18","away","sf","ari","2","0","0","0","0","1","0"
"2024-04-19","away","sf","ari","1","0","0","0","0","0","0"
"2024-04-16","home","ari","chc","0","0","0","0","0","2","1"
"2024-04-20","away","sf","ari","1","1","0","0","1","2","0"
"2024-04-15","home","ari","chc","0","0","0","0","0","0","0"
"2024-04-21","away","sf","ari","0","0","0","0","0","0","1"
