"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-04-01","home","cws","atl","1","0","0","0","0","2","1"
"2024-04-02","home","cws","atl","0","0","0","0","0","1","0"
"2024-04-04","away","kc","cws","1","0","0","0","0","0","0"
"2024-04-05","away","kc","cws","0","0","0","0","0","0","1"
"2024-04-06","away","kc","cws","0","0","0","0","0","1","0"
"2024-03-28","home","cws","det","1","0","0","0","0","1","0"
"2024-03-30","home","cws","det","1","0","0","1","1","0","0"
"2024-03-31","home","cws","det","1","0","0","0","0","1","0"
"2024-04-07","away","kc","cws","1","1","0","0","0","2","0"
"2024-04-13","home","cws","cin","0","0","0","0","0","2","0"
"2024-04-12","home","cws","cin","0","0","0","0","0","1","0"
"2024-04-10","away","cle","cws","0","1","0","0","2","1","2"
"2024-04-09","away","cle","cws","3","2","0","0","5","1","1"
"2024-04-08","away","cle","cws","1","0","0","0","0","1","0"
"2024-04-17","home","cws","kc","0","0","0","0","0","1","0"
"2024-04-17","home","cws","kc","0","0","0","0","0","2","0"
"2024-04-19","away","phi","cws","0","0","0","0","0","1","0"
"2024-04-21","away","phi","cws","1","0","0","1","1","0","0"
"2024-04-20","away","phi","cws","0","0","0","0","0","1","1"
"2024-04-15","home","cws","kc","1","0","0","0","0","0","0"
