"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-04-01","away","nym","det","0","0","0","0","0","1","0"
"2024-04-05","home","det","oak","0","0","0","0","0","0","0"
"2024-04-06","home","det","oak","0","1","0","0","0","0","0"
"2024-03-28","away","cws","det","0","0","0","0","0","2","0"
"2024-03-30","away","cws","det","3","0","1","0","3","0","1"
"2024-03-31","away","cws","det","1","0","0","0","0","1","0"
"2024-04-07","home","det","oak","1","0","0","0","0","0","1"
"2024-04-13","home","det","min","0","0","0","0","0","2","0"
"2024-04-13","home","det","min","0","0","0","1","1","2","0"
"2024-04-12","home","det","min","2","0","0","1","0","2","0"
"2024-04-09","away","pit","det","3","0","0","0","1","1","0"
"2024-04-08","away","pit","det","1","0","0","0","1","2","2"
"2024-04-17","home","det","tex","0","0","0","0","0","1","1"
"2024-04-18","home","det","tex","1","0","0","0","0","2","1"
"2024-04-15","home","det","tex","1","0","0","0","0","2","1"
"2024-04-19","away","min","det","1","1","0","0","1","1","0"
"2024-04-16","home","det","tex","0","0","0","0","0","3","0"
"2024-04-20","away","min","det","0","0","0","0","0","0","0"
"2024-04-21","away","min","det","1","0","0","0","2","1","3"
"2024-04-14","home","det","min","0","1","0","0","0","0","0"
