game_id,game_date,team,opponent,home_away,team_score,opponent_score,shots_for,shots_against,result,goals_for,goals_against,games_played,wins,losses,ties,points,cum_goals_for,cum_goals_against,cum_shots_for,cum_shots_against,avg_goals_for,avg_goals_against,avg_shots_for,avg_shots_against,points_pct
2022020008,2022-10-12,COL,CHI,home,5,2,35,17,W,5,2,1,1,0,0,2,5,2,35,17,5.0,2.0,35.0,17.0,1.0
2022020018,2022-10-13,COL,CGY,away,3,5,25,27,L,3,5,2,1,1,0,2,8,7,60,44,4.0,3.5,30.0,22.0,0.5
2022020045,2022-10-17,COL,MIN,away,6,3,38,39,W,6,3,3,2,1,0,4,14,10,98,83,4.67,3.33,32.67,27.67,0.667
2022020057,2022-10-19,COL,WPG,home,3,4,33,28,L,3,4,4,2,2,0,4,17,14,131,111,4.25,3.5,32.75,27.75,0.5
2022020073,2022-10-21,COL,SEA,home,2,3,20,38,L,2,3,5,2,3,0,4,19,17,151,149,3.8,3.4,30.2,29.8,0.4
2022020086,2022-10-22,COL,VGK,away,3,2,25,35,W,3,2,6,3,3,0,6,22,19,176,184,3.67,3.17,29.33,30.67,0.5
2022020099,2022-10-25,COL,NYR,away,3,2,44,46,W,3,2,7,4,3,0,8,25,21,220,230,3.57,3.0,31.43,32.86,0.571
2022020123,2022-10-28,COL,NJD,away,0,1,24,23,L,0,1,8,4,4,0,8,25,22,244,253,3.12,2.75,30.5,31.62,0.5
2022020135,2022-10-29,COL,NYI,away,4,5,37,44,L,4,5,9,4,5,0,8,29,27,281,297,3.22,3.0,31.22,33.0,0.444
2022020175,2022-11-04,COL,CBJ,home,6,3,36,39,W,6,3,10,5,5,0,10,35,30,317,336,3.5,3.0,31.7,33.6,0.5
2022020185,2022-11-05,COL,CBJ,away,5,1,45,32,W,5,1,11,6,5,0,12,40,31,362,368,3.64,2.82,32.91,33.45,0.545
2022020219,2022-11-10,COL,NSH,home,5,3,35,35,W,5,3,12,7,5,0,14,45,34,397,403,3.75,2.83,33.08,33.58,0.583
