team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blackhawks,Oilers,home,D,TJ Brodie D,15:52,0,1,-1,0,2,0,0,1,0/0
Blackhawks,Oilers,home,D,Seth Jones D,24:55,1,2,1,3,2,2,1,0,0/0
Blackhawks,Oilers,home,D,Wyatt Kaiser D,16:33,0,1,1,0,3,0,1,1,0/0
Blackhawks,Oilers,home,D,Alec Martinez D,18:20,0,0,0,0,7,0,0,0,0/0
Blackhawks,Oilers,home,D,Connor Murphy D,19:11,0,0,0,1,6,2,0,1,0/0
Blackhawks,Oilers,home,D,Alex Vlasic D,23:50,0,1,0,0,4,0,1,2,0/0
Blackhawks,Oilers,home,D,TJ Brodie D,15:52,0,1,-1,0,2,0,0,1,0/0
Blackhawks,Oilers,home,D,Seth Jones D,24:55,1,2,1,3,2,2,1,0,0/0
Blackhawks,Oilers,home,D,Wyatt Kaiser D,16:33,0,1,1,0,3,0,1,1,0/0
Blackhawks,Oilers,home,D,Alec Martinez D,18:20,0,0,0,0,7,0,0,0,0/0
Blackhawks,Oilers,home,D,Connor Murphy D,19:11,0,0,0,1,6,2,0,1,0/0
Blackhawks,Oilers,home,D,Alex Vlasic D,23:50,0,1,0,0,4,0,1,2,0/0
Blackhawks,Oilers,home,F,Joey Anderson R,14:15,0,0,0,0,2,0,0,0,0/0
Blackhawks,Oilers,home,F,Andreas Athanasiou C,10:47,0,0,0,0,2,0,0,0,3/11
Blackhawks,Oilers,home,F,Connor Bedard C,18:06,1,2,1,1,2,0,0,0,1/10
Blackhawks,Oilers,home,F,Tyler Bertuzzi L,14:16,0,0,1,1,0,0,0,0,0/0
Blackhawks,Oilers,home,F,Jason Dickinson C,15:23,0,0,-1,2,2,0,1,1,5/17
Blackhawks,Oilers,home,F,Ryan Donato C,12:34,0,0,0,0,0,2,1,1,0/0
Blackhawks,Oilers,home,F,Nick Foligno L,19:25,0,0,1,0,2,0,1,0,7/9
Blackhawks,Oilers,home,F,Taylor Hall L,13:43,0,1,1,2,1,0,3,2,0/1
Blackhawks,Oilers,home,F,Philipp Kurashev C,14:57,1,0,1,3,0,0,0,0,8/14
Blackhawks,Oilers,home,F,Patrick Maroon L,11:38,0,0,0,1,0,0,0,0,0/0
Blackhawks,Oilers,home,F,Ilya Mikheyev R,14:04,0,0,0,0,0,0,0,0,0/0
Blackhawks,Oilers,home,F,Teuvo Teravainen C,17:26,2,2,0,6,0,0,0,1,1/1
Blackhawks,Oilers,home,F,Blackhawks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOTJ
Blackhawks,Oilers,home,F,TJ Brodie D,15:52,0,1,-1,0,2,0,0,1,0/0
Blackhawks,Oilers,home,F,Seth Jones D,24:55,1,2,1,3,2,2,1,0,0/0
Blackhawks,Oilers,home,F,Wyatt Kaiser D,16:33,0,1,1,0,3,0,1,1,0/0
Blackhawks,Oilers,home,F,Alec Martinez D,18:20,0,0,0,0,7,0,0,0,0/0
Blackhawks,Oilers,home,F,Connor Murphy D,19:11,0,0,0,1,6,2,0,1,0/0
Blackhawks,Oilers,home,F,Alex Vlasic D,23:50,0,1,0,0,4,0,1,2,0/0
Blackhawks,Oilers,home,F,Joey Anderson R,14:15,0,0,0,0,2,0,0,0,0/0
Blackhawks,Oilers,home,F,Andreas Athanasiou C,10:47,0,0,0,0,2,0,0,0,3/11
Blackhawks,Oilers,home,F,Connor Bedard C,18:06,1,2,1,1,2,0,0,0,1/10
Blackhawks,Oilers,home,F,Tyler Bertuzzi L,14:16,0,0,1,1,0,0,0,0,0/0
Blackhawks,Oilers,home,F,Jason Dickinson C,15:23,0,0,-1,2,2,0,1,1,5/17
Blackhawks,Oilers,home,F,Ryan Donato C,12:34,0,0,0,0,0,2,1,1,0/0
Blackhawks,Oilers,home,F,Nick Foligno L,19:25,0,0,1,0,2,0,1,0,7/9
Blackhawks,Oilers,home,F,Taylor Hall L,13:43,0,1,1,2,1,0,3,2,0/1
Blackhawks,Oilers,home,F,Philipp Kurashev C,14:57,1,0,1,3,0,0,0,0,8/14
Blackhawks,Oilers,home,F,Patrick Maroon L,11:38,0,0,0,1,0,0,0,0,0/0
Blackhawks,Oilers,home,F,Ilya Mikheyev R,14:04,0,0,0,0,0,0,0,0,0/0
Blackhawks,Oilers,home,F,Teuvo Teravainen C,17:26,2,2,0,6,0,0,0,1,1/1
Blackhawks,Oilers,home,F,Blackhawks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOTJ
Blackhawks,Oilers,home,F,TJ Brodie D,15:52,0,1,-1,0,2,0,0,1,0/0
Blackhawks,Oilers,home,F,Seth Jones D,24:55,1,2,1,3,2,2,1,0,0/0
Blackhawks,Oilers,home,F,Wyatt Kaiser D,16:33,0,1,1,0,3,0,1,1,0/0
Blackhawks,Oilers,home,F,Alec Martinez D,18:20,0,0,0,0,7,0,0,0,0/0
Blackhawks,Oilers,home,F,Connor Murphy D,19:11,0,0,0,1,6,2,0,1,0/0
Blackhawks,Oilers,home,F,Alex Vlasic D,23:50,0,1,0,0,4,0,1,2,0/0
