team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blackhawks,Sharks,away,D,Nolan Allan D,13:45,0,0,-1,1,0,0,0,0,0/0
Blackhawks,Sharks,away,D,TJ Brodie D,16:24,0,1,1,1,2,0,0,0,0/0
Blackhawks,Sharks,away,D,Seth Jones D,26:41,0,0,0,5,2,0,0,1,0/0
Blackhawks,Sharks,away,D,Wyatt Kaiser D,17:41,0,0,1,0,2,0,0,0,0/0
Blackhawks,Sharks,away,D,Connor Murphy D,16:30,0,0,-1,2,1,2,0,0,0/0
Blackhawks,Sharks,away,D,Alex Vlasic D,21:49,0,0,0,1,2,0,0,1,0/0
Blackhawks,Sharks,away,D,Nolan Allan D,13:45,0,0,-1,1,0,0,0,0,0/0
Blackhawks,Sharks,away,D,TJ Brodie D,16:24,0,1,1,1,2,0,0,0,0/0
Blackhawks,Sharks,away,D,Seth Jones D,26:41,0,0,0,5,2,0,0,1,0/0
Blackhawks,Sharks,away,D,Wyatt Kaiser D,17:41,0,0,1,0,2,0,0,0,0/0
Blackhawks,Sharks,away,D,Connor Murphy D,16:30,0,0,-1,2,1,2,0,0,0/0
Blackhawks,Sharks,away,D,Alex Vlasic D,21:49,0,0,0,1,2,0,0,1,0/0
Blackhawks,Sharks,away,F,Joey Anderson R,14:07,0,1,1,0,2,0,1,0,0/1
Blackhawks,Sharks,away,F,Connor Bedard C,21:53,0,2,1,3,0,0,3,1,4/7
Blackhawks,Sharks,away,F,Tyler Bertuzzi L,18:37,1,0,-1,1,0,0,1,0,0/0
Blackhawks,Sharks,away,F,Jason Dickinson C,15:17,1,0,1,1,1,0,0,1,5/14
Blackhawks,Sharks,away,F,Nick Foligno L,19:10,1,0,0,4,0,2,0,0,6/13
Blackhawks,Sharks,away,F,Taylor Hall L,13:46,1,0,0,3,3,0,1,0,0/0
Blackhawks,Sharks,away,F,Philipp Kurashev C,12:43,0,0,-1,0,0,0,0,0,9/19
Blackhawks,Sharks,away,F,Patrick Maroon L,12:00,0,0,-1,0,1,2,0,1,0/0
Blackhawks,Sharks,away,F,Ilya Mikheyev R,15:01,0,0,1,3,1,0,0,0,0/0
Blackhawks,Sharks,away,F,Lukas Reichel L,08:31,0,0,-1,1,1,0,0,0,1/4
Blackhawks,Sharks,away,F,Craig Smith C,10:17,0,0,-1,0,0,0,0,0,0/0
Blackhawks,Sharks,away,F,Teuvo Teravainen C,19:52,0,2,0,1,0,0,1,1,1/1
Blackhawks,Sharks,away,F,Blackhawks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONolan
Blackhawks,Sharks,away,F,Nolan Allan D,13:45,0,0,-1,1,0,0,0,0,0/0
Blackhawks,Sharks,away,F,TJ Brodie D,16:24,0,1,1,1,2,0,0,0,0/0
Blackhawks,Sharks,away,F,Seth Jones D,26:41,0,0,0,5,2,0,0,1,0/0
Blackhawks,Sharks,away,F,Wyatt Kaiser D,17:41,0,0,1,0,2,0,0,0,0/0
Blackhawks,Sharks,away,F,Connor Murphy D,16:30,0,0,-1,2,1,2,0,0,0/0
Blackhawks,Sharks,away,F,Alex Vlasic D,21:49,0,0,0,1,2,0,0,1,0/0
Blackhawks,Sharks,away,F,Joey Anderson R,14:07,0,1,1,0,2,0,1,0,0/1
Blackhawks,Sharks,away,F,Connor Bedard C,21:53,0,2,1,3,0,0,3,1,4/7
Blackhawks,Sharks,away,F,Tyler Bertuzzi L,18:37,1,0,-1,1,0,0,1,0,0/0
Blackhawks,Sharks,away,F,Jason Dickinson C,15:17,1,0,1,1,1,0,0,1,5/14
Blackhawks,Sharks,away,F,Nick Foligno L,19:10,1,0,0,4,0,2,0,0,6/13
Blackhawks,Sharks,away,F,Taylor Hall L,13:46,1,0,0,3,3,0,1,0,0/0
Blackhawks,Sharks,away,F,Philipp Kurashev C,12:43,0,0,-1,0,0,0,0,0,9/19
Blackhawks,Sharks,away,F,Patrick Maroon L,12:00,0,0,-1,0,1,2,0,1,0/0
Blackhawks,Sharks,away,F,Ilya Mikheyev R,15:01,0,0,1,3,1,0,0,0,0/0
Blackhawks,Sharks,away,F,Lukas Reichel L,08:31,0,0,-1,1,1,0,0,0,1/4
Blackhawks,Sharks,away,F,Craig Smith C,10:17,0,0,-1,0,0,0,0,0,0/0
Blackhawks,Sharks,away,F,Teuvo Teravainen C,19:52,0,2,0,1,0,0,1,1,1/1
Blackhawks,Sharks,away,F,Blackhawks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONolan
Blackhawks,Sharks,away,F,Nolan Allan D,13:45,0,0,-1,1,0,0,0,0,0/0
Blackhawks,Sharks,away,F,TJ Brodie D,16:24,0,1,1,1,2,0,0,0,0/0
Blackhawks,Sharks,away,F,Seth Jones D,26:41,0,0,0,5,2,0,0,1,0/0
Blackhawks,Sharks,away,F,Wyatt Kaiser D,17:41,0,0,1,0,2,0,0,0,0/0
Blackhawks,Sharks,away,F,Connor Murphy D,16:30,0,0,-1,2,1,2,0,0,0/0
Blackhawks,Sharks,away,F,Alex Vlasic D,21:49,0,0,0,1,2,0,0,1,0/0
