team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blackhawks,Sabres,away,D,Nolan Allan D,13:07,0,0,0,1,1,0,0,0,0/0
Blackhawks,Sabres,away,D,TJ Brodie D,16:15,0,0,-2,1,1,4,0,1,0/0
Blackhawks,Sabres,away,D,Seth Jones D,26:25,0,1,-1,5,1,2,0,2,0/0
Blackhawks,Sabres,away,D,Wyatt Kaiser D,19:29,0,0,-1,0,4,0,0,0,0/0
Blackhawks,Sabres,away,D,Connor Murphy D,18:25,0,1,1,2,0,0,2,0,0/0
Blackhawks,Sabres,away,D,Alex Vlasic D,23:10,0,0,0,2,5,0,0,1,0/0
Blackhawks,Sabres,away,D,Nolan Allan D,13:07,0,0,0,1,1,0,0,0,0/0
Blackhawks,Sabres,away,D,TJ Brodie D,16:15,0,0,-2,1,1,4,0,1,0/0
Blackhawks,Sabres,away,D,Seth Jones D,26:25,0,1,-1,5,1,2,0,2,0/0
Blackhawks,Sabres,away,D,Wyatt Kaiser D,19:29,0,0,-1,0,4,0,0,0,0/0
Blackhawks,Sabres,away,D,Connor Murphy D,18:25,0,1,1,2,0,0,2,0,0/0
Blackhawks,Sabres,away,D,Alex Vlasic D,23:10,0,0,0,2,5,0,0,1,0/0
Blackhawks,Sabres,away,F,Andreas Athanasiou C,08:51,0,0,0,0,0,0,0,0,3/5
Blackhawks,Sabres,away,F,Connor Bedard C,20:11,0,0,-1,2,1,0,0,0,1/7
Blackhawks,Sabres,away,F,Tyler Bertuzzi L,15:38,0,0,-2,2,1,2,0,0,0/0
Blackhawks,Sabres,away,F,Jason Dickinson C,16:09,0,0,0,0,0,0,0,0,11/21
Blackhawks,Sabres,away,F,Ryan Donato C,11:56,0,0,0,3,1,0,1,0,0/0
Blackhawks,Sabres,away,F,Nick Foligno L,20:45,0,0,0,3,3,0,1,1,8/12
Blackhawks,Sabres,away,F,Taylor Hall L,14:38,0,0,-2,3,0,0,0,3,1/3
Blackhawks,Sabres,away,F,Philipp Kurashev C,15:48,0,0,-2,1,1,2,0,0,4/5
Blackhawks,Sabres,away,F,Ilya Mikheyev R,14:08,0,0,0,0,1,2,1,1,0/0
Blackhawks,Sabres,away,F,Lukas Reichel L,08:21,0,2,0,4,0,0,0,0,0/0
Blackhawks,Sabres,away,F,Craig Smith C,09:12,2,0,0,5,0,0,1,0,1/1
Blackhawks,Sabres,away,F,Teuvo Teravainen C,21:17,0,0,-1,3,0,0,0,1,0/0
Blackhawks,Sabres,away,F,Blackhawks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONolan
Blackhawks,Sabres,away,F,Nolan Allan D,13:07,0,0,0,1,1,0,0,0,0/0
Blackhawks,Sabres,away,F,TJ Brodie D,16:15,0,0,-2,1,1,4,0,1,0/0
Blackhawks,Sabres,away,F,Seth Jones D,26:25,0,1,-1,5,1,2,0,2,0/0
Blackhawks,Sabres,away,F,Wyatt Kaiser D,19:29,0,0,-1,0,4,0,0,0,0/0
Blackhawks,Sabres,away,F,Connor Murphy D,18:25,0,1,1,2,0,0,2,0,0/0
Blackhawks,Sabres,away,F,Alex Vlasic D,23:10,0,0,0,2,5,0,0,1,0/0
Blackhawks,Sabres,away,F,Andreas Athanasiou C,08:51,0,0,0,0,0,0,0,0,3/5
Blackhawks,Sabres,away,F,Connor Bedard C,20:11,0,0,-1,2,1,0,0,0,1/7
Blackhawks,Sabres,away,F,Tyler Bertuzzi L,15:38,0,0,-2,2,1,2,0,0,0/0
Blackhawks,Sabres,away,F,Jason Dickinson C,16:09,0,0,0,0,0,0,0,0,11/21
Blackhawks,Sabres,away,F,Ryan Donato C,11:56,0,0,0,3,1,0,1,0,0/0
Blackhawks,Sabres,away,F,Nick Foligno L,20:45,0,0,0,3,3,0,1,1,8/12
Blackhawks,Sabres,away,F,Taylor Hall L,14:38,0,0,-2,3,0,0,0,3,1/3
Blackhawks,Sabres,away,F,Philipp Kurashev C,15:48,0,0,-2,1,1,2,0,0,4/5
Blackhawks,Sabres,away,F,Ilya Mikheyev R,14:08,0,0,0,0,1,2,1,1,0/0
Blackhawks,Sabres,away,F,Lukas Reichel L,08:21,0,2,0,4,0,0,0,0,0/0
Blackhawks,Sabres,away,F,Craig Smith C,09:12,2,0,0,5,0,0,1,0,1/1
Blackhawks,Sabres,away,F,Teuvo Teravainen C,21:17,0,0,-1,3,0,0,0,1,0/0
Blackhawks,Sabres,away,F,Blackhawks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONolan
Blackhawks,Sabres,away,F,Nolan Allan D,13:07,0,0,0,1,1,0,0,0,0/0
Blackhawks,Sabres,away,F,TJ Brodie D,16:15,0,0,-2,1,1,4,0,1,0/0
Blackhawks,Sabres,away,F,Seth Jones D,26:25,0,1,-1,5,1,2,0,2,0/0
Blackhawks,Sabres,away,F,Wyatt Kaiser D,19:29,0,0,-1,0,4,0,0,0,0/0
Blackhawks,Sabres,away,F,Connor Murphy D,18:25,0,1,1,2,0,0,2,0,0/0
Blackhawks,Sabres,away,F,Alex Vlasic D,23:10,0,0,0,2,5,0,0,1,0/0
