team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blackhawks,Avalanche,home,D,Nolan Allan D,13:22,0,0,0,0,2,0,0,1,0/0
Blackhawks,Avalanche,home,D,TJ Brodie D,14:28,0,0,-1,0,1,0,0,0,0/0
Blackhawks,Avalanche,home,D,Seth Jones D,25:39,0,0,2,0,2,0,1,0,0/0
Blackhawks,Avalanche,home,D,Wyatt Kaiser D,15:28,0,0,0,1,0,4,1,2,0/0
Blackhawks,Avalanche,home,D,Connor Murphy D,22:00,0,1,2,1,1,2,1,1,0/0
Blackhawks,Avalanche,home,D,Alex Vlasic D,24:20,0,1,3,2,4,0,1,0,0/0
Blackhawks,Avalanche,home,D,Nolan Allan D,13:22,0,0,0,0,2,0,0,1,0/0
Blackhawks,Avalanche,home,D,TJ Brodie D,14:28,0,0,-1,0,1,0,0,0,0/0
Blackhawks,Avalanche,home,D,Seth Jones D,25:39,0,0,2,0,2,0,1,0,0/0
Blackhawks,Avalanche,home,D,Wyatt Kaiser D,15:28,0,0,0,1,0,4,1,2,0/0
Blackhawks,Avalanche,home,D,Connor Murphy D,22:00,0,1,2,1,1,2,1,1,0/0
Blackhawks,Avalanche,home,D,Alex Vlasic D,24:20,0,1,3,2,4,0,1,0,0/0
Blackhawks,Avalanche,home,F,Connor Bedard C,17:16,0,0,0,2,0,0,0,0,0/8
Blackhawks,Avalanche,home,F,Tyler Bertuzzi L,13:46,0,0,-1,2,1,2,1,0,0/0
Blackhawks,Avalanche,home,F,Jason Dickinson C,17:32,0,2,3,1,0,0,0,0,10/22
Blackhawks,Avalanche,home,F,Ryan Donato C,11:59,2,1,3,4,1,0,0,0,0/0
Blackhawks,Avalanche,home,F,Nick Foligno L,14:47,0,0,-1,0,1,0,0,1,9/13
Blackhawks,Avalanche,home,F,Taylor Hall L,14:11,0,0,-1,2,1,0,1,0,1/1
Blackhawks,Avalanche,home,F,Philipp Kurashev C,18:01,1,0,0,4,2,0,0,0,0/2
Blackhawks,Avalanche,home,F,Patrick Maroon L,11:04,0,0,1,3,0,0,1,0,2/2
Blackhawks,Avalanche,home,F,Ilya Mikheyev R,16:42,1,0,3,1,0,0,0,1,0/0
Blackhawks,Avalanche,home,F,Lukas Reichel L,11:44,1,0,1,1,1,0,0,0,2/6
Blackhawks,Avalanche,home,F,Craig Smith C,13:34,0,1,1,2,1,0,0,1,0/2
Blackhawks,Avalanche,home,F,Teuvo Teravainen C,16:36,0,0,0,0,1,0,0,3,0/0
Blackhawks,Avalanche,home,F,Blackhawks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONolan
Blackhawks,Avalanche,home,F,Nolan Allan D,13:22,0,0,0,0,2,0,0,1,0/0
Blackhawks,Avalanche,home,F,TJ Brodie D,14:28,0,0,-1,0,1,0,0,0,0/0
Blackhawks,Avalanche,home,F,Seth Jones D,25:39,0,0,2,0,2,0,1,0,0/0
Blackhawks,Avalanche,home,F,Wyatt Kaiser D,15:28,0,0,0,1,0,4,1,2,0/0
Blackhawks,Avalanche,home,F,Connor Murphy D,22:00,0,1,2,1,1,2,1,1,0/0
Blackhawks,Avalanche,home,F,Alex Vlasic D,24:20,0,1,3,2,4,0,1,0,0/0
Blackhawks,Avalanche,home,F,Connor Bedard C,17:16,0,0,0,2,0,0,0,0,0/8
Blackhawks,Avalanche,home,F,Tyler Bertuzzi L,13:46,0,0,-1,2,1,2,1,0,0/0
Blackhawks,Avalanche,home,F,Jason Dickinson C,17:32,0,2,3,1,0,0,0,0,10/22
Blackhawks,Avalanche,home,F,Ryan Donato C,11:59,2,1,3,4,1,0,0,0,0/0
Blackhawks,Avalanche,home,F,Nick Foligno L,14:47,0,0,-1,0,1,0,0,1,9/13
Blackhawks,Avalanche,home,F,Taylor Hall L,14:11,0,0,-1,2,1,0,1,0,1/1
Blackhawks,Avalanche,home,F,Philipp Kurashev C,18:01,1,0,0,4,2,0,0,0,0/2
Blackhawks,Avalanche,home,F,Patrick Maroon L,11:04,0,0,1,3,0,0,1,0,2/2
Blackhawks,Avalanche,home,F,Ilya Mikheyev R,16:42,1,0,3,1,0,0,0,1,0/0
Blackhawks,Avalanche,home,F,Lukas Reichel L,11:44,1,0,1,1,1,0,0,0,2/6
Blackhawks,Avalanche,home,F,Craig Smith C,13:34,0,1,1,2,1,0,0,1,0/2
Blackhawks,Avalanche,home,F,Teuvo Teravainen C,16:36,0,0,0,0,1,0,0,3,0/0
Blackhawks,Avalanche,home,F,Blackhawks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONolan
Blackhawks,Avalanche,home,F,Nolan Allan D,13:22,0,0,0,0,2,0,0,1,0/0
Blackhawks,Avalanche,home,F,TJ Brodie D,14:28,0,0,-1,0,1,0,0,0,0/0
Blackhawks,Avalanche,home,F,Seth Jones D,25:39,0,0,2,0,2,0,1,0,0/0
Blackhawks,Avalanche,home,F,Wyatt Kaiser D,15:28,0,0,0,1,0,4,1,2,0/0
Blackhawks,Avalanche,home,F,Connor Murphy D,22:00,0,1,2,1,1,2,1,1,0/0
Blackhawks,Avalanche,home,F,Alex Vlasic D,24:20,0,1,3,2,4,0,1,0,0/0
