team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blackhawks,Sharks,home,D,Nolan Allan D,11:47,0,0,-1,0,0,0,0,0,0/0
Blackhawks,Sharks,home,D,TJ Brodie D,14:11,0,0,-1,0,2,0,1,2,0/0
Blackhawks,Sharks,home,D,Seth Jones D,27:09,0,0,-1,4,1,0,0,1,0/0
Blackhawks,Sharks,home,D,Wyatt Kaiser D,22:11,0,0,0,1,2,0,0,2,0/0
Blackhawks,Sharks,home,D,Connor Murphy D,17:54,0,2,2,0,1,0,0,0,0/0
Blackhawks,Sharks,home,D,Alex Vlasic D,20:48,0,0,1,1,2,0,1,1,0/0
Blackhawks,Sharks,home,D,Nolan Allan D,11:47,0,0,-1,0,0,0,0,0,0/0
Blackhawks,Sharks,home,D,TJ Brodie D,14:11,0,0,-1,0,2,0,1,2,0/0
Blackhawks,Sharks,home,D,Seth Jones D,27:09,0,0,-1,4,1,0,0,1,0/0
Blackhawks,Sharks,home,D,Wyatt Kaiser D,22:11,0,0,0,1,2,0,0,2,0/0
Blackhawks,Sharks,home,D,Connor Murphy D,17:54,0,2,2,0,1,0,0,0,0/0
Blackhawks,Sharks,home,D,Alex Vlasic D,20:48,0,0,1,1,2,0,1,1,0/0
Blackhawks,Sharks,home,F,Connor Bedard C,20:55,0,0,-1,3,0,0,0,0,4/9
Blackhawks,Sharks,home,F,Tyler Bertuzzi L,15:25,1,0,1,2,2,0,0,2,0/0
Blackhawks,Sharks,home,F,Jason Dickinson C,14:24,0,0,1,1,0,0,1,1,4/7
Blackhawks,Sharks,home,F,Ryan Donato C,13:27,1,0,1,1,0,0,0,0,0/0
Blackhawks,Sharks,home,F,Nick Foligno L,14:53,0,0,1,1,1,0,0,1,5/11
Blackhawks,Sharks,home,F,Taylor Hall L,15:54,0,1,1,2,0,0,2,0,0/0
Blackhawks,Sharks,home,F,Philipp Kurashev C,17:08,0,0,-1,1,0,0,1,1,1/3
Blackhawks,Sharks,home,F,Patrick Maroon L,12:59,0,0,-1,2,0,0,0,0,0/2
Blackhawks,Sharks,home,F,Ilya Mikheyev R,13:38,0,1,1,2,0,0,0,1,0/0
Blackhawks,Sharks,home,F,Lukas Reichel L,12:08,0,0,-1,2,0,0,0,0,1/7
Blackhawks,Sharks,home,F,Craig Smith C,14:40,0,0,-1,0,0,2,0,0,1/1
Blackhawks,Sharks,home,F,Teuvo Teravainen C,20:22,0,0,-1,5,0,0,1,1,0/1
Blackhawks,Sharks,home,F,Blackhawks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONolan
Blackhawks,Sharks,home,F,Nolan Allan D,11:47,0,0,-1,0,0,0,0,0,0/0
Blackhawks,Sharks,home,F,TJ Brodie D,14:11,0,0,-1,0,2,0,1,2,0/0
Blackhawks,Sharks,home,F,Seth Jones D,27:09,0,0,-1,4,1,0,0,1,0/0
Blackhawks,Sharks,home,F,Wyatt Kaiser D,22:11,0,0,0,1,2,0,0,2,0/0
Blackhawks,Sharks,home,F,Connor Murphy D,17:54,0,2,2,0,1,0,0,0,0/0
Blackhawks,Sharks,home,F,Alex Vlasic D,20:48,0,0,1,1,2,0,1,1,0/0
Blackhawks,Sharks,home,F,Connor Bedard C,20:55,0,0,-1,3,0,0,0,0,4/9
Blackhawks,Sharks,home,F,Tyler Bertuzzi L,15:25,1,0,1,2,2,0,0,2,0/0
Blackhawks,Sharks,home,F,Jason Dickinson C,14:24,0,0,1,1,0,0,1,1,4/7
Blackhawks,Sharks,home,F,Ryan Donato C,13:27,1,0,1,1,0,0,0,0,0/0
Blackhawks,Sharks,home,F,Nick Foligno L,14:53,0,0,1,1,1,0,0,1,5/11
Blackhawks,Sharks,home,F,Taylor Hall L,15:54,0,1,1,2,0,0,2,0,0/0
Blackhawks,Sharks,home,F,Philipp Kurashev C,17:08,0,0,-1,1,0,0,1,1,1/3
Blackhawks,Sharks,home,F,Patrick Maroon L,12:59,0,0,-1,2,0,0,0,0,0/2
Blackhawks,Sharks,home,F,Ilya Mikheyev R,13:38,0,1,1,2,0,0,0,1,0/0
Blackhawks,Sharks,home,F,Lukas Reichel L,12:08,0,0,-1,2,0,0,0,0,1/7
Blackhawks,Sharks,home,F,Craig Smith C,14:40,0,0,-1,0,0,2,0,0,1/1
Blackhawks,Sharks,home,F,Teuvo Teravainen C,20:22,0,0,-1,5,0,0,1,1,0/1
Blackhawks,Sharks,home,F,Blackhawks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONolan
Blackhawks,Sharks,home,F,Nolan Allan D,11:47,0,0,-1,0,0,0,0,0,0/0
Blackhawks,Sharks,home,F,TJ Brodie D,14:11,0,0,-1,0,2,0,1,2,0/0
Blackhawks,Sharks,home,F,Seth Jones D,27:09,0,0,-1,4,1,0,0,1,0/0
Blackhawks,Sharks,home,F,Wyatt Kaiser D,22:11,0,0,0,1,2,0,0,2,0/0
Blackhawks,Sharks,home,F,Connor Murphy D,17:54,0,2,2,0,1,0,0,0,0/0
Blackhawks,Sharks,home,F,Alex Vlasic D,20:48,0,0,1,1,2,0,1,1,0/0
