team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blackhawks,Kings,home,D,Nolan Allan D,13:09,0,1,0,0,0,0,0,0,0/0
Blackhawks,Kings,home,D,Seth Jones D,28:13,0,1,0,0,3,0,2,1,0/0
Blackhawks,Kings,home,D,Wyatt Kaiser D,16:39,0,0,0,0,0,0,0,3,0/0
Blackhawks,Kings,home,D,Connor Murphy D,23:09,0,0,1,2,3,2,0,2,0/0
Blackhawks,Kings,home,D,Isaak Phillips D,11:13,0,0,0,0,1,0,0,0,0/0
Blackhawks,Kings,home,D,Alex Vlasic D,27:07,0,1,0,0,4,0,0,1,0/0
Blackhawks,Kings,home,D,Nolan Allan D,13:09,0,1,0,0,0,0,0,0,0/0
Blackhawks,Kings,home,D,Seth Jones D,28:13,0,1,0,0,3,0,2,1,0/0
Blackhawks,Kings,home,D,Wyatt Kaiser D,16:39,0,0,0,0,0,0,0,3,0/0
Blackhawks,Kings,home,D,Connor Murphy D,23:09,0,0,1,2,3,2,0,2,0/0
Blackhawks,Kings,home,D,Isaak Phillips D,11:13,0,0,0,0,1,0,0,0,0/0
Blackhawks,Kings,home,D,Alex Vlasic D,27:07,0,1,0,0,4,0,0,1,0/0
Blackhawks,Kings,home,F,Connor Bedard C,21:54,0,0,0,3,1,0,0,0,1/6
Blackhawks,Kings,home,F,Tyler Bertuzzi L,16:18,1,0,1,2,0,0,1,0,0/0
Blackhawks,Kings,home,F,Jason Dickinson C,16:53,0,0,0,1,2,0,0,0,6/17
Blackhawks,Kings,home,F,Ryan Donato C,19:13,0,1,0,5,0,0,0,1,3/7
Blackhawks,Kings,home,F,Nick Foligno L,15:15,1,0,1,1,0,5,0,0,3/13
Blackhawks,Kings,home,F,Taylor Hall L,17:40,0,0,0,1,1,0,0,0,0/0
Blackhawks,Kings,home,F,Philipp Kurashev C,18:13,0,0,-1,1,0,0,0,0,2/4
Blackhawks,Kings,home,F,Patrick Maroon L,13:06,0,0,1,0,1,2,0,0,0/0
Blackhawks,Kings,home,F,Ilya Mikheyev R,13:52,0,0,0,0,0,0,0,0,0/0
Blackhawks,Kings,home,F,Lukas Reichel L,15:45,0,1,2,2,0,0,0,0,4/8
Blackhawks,Kings,home,F,Craig Smith C,12:12,1,0,1,2,1,2,0,1,0/0
Blackhawks,Kings,home,F,Teuvo Teravainen C,12:18,0,0,0,1,0,0,0,3,0/0
Blackhawks,Kings,home,F,Blackhawks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONolan
Blackhawks,Kings,home,F,Nolan Allan D,13:09,0,1,0,0,0,0,0,0,0/0
Blackhawks,Kings,home,F,Seth Jones D,28:13,0,1,0,0,3,0,2,1,0/0
Blackhawks,Kings,home,F,Wyatt Kaiser D,16:39,0,0,0,0,0,0,0,3,0/0
Blackhawks,Kings,home,F,Connor Murphy D,23:09,0,0,1,2,3,2,0,2,0/0
Blackhawks,Kings,home,F,Isaak Phillips D,11:13,0,0,0,0,1,0,0,0,0/0
Blackhawks,Kings,home,F,Alex Vlasic D,27:07,0,1,0,0,4,0,0,1,0/0
Blackhawks,Kings,home,F,Connor Bedard C,21:54,0,0,0,3,1,0,0,0,1/6
Blackhawks,Kings,home,F,Tyler Bertuzzi L,16:18,1,0,1,2,0,0,1,0,0/0
Blackhawks,Kings,home,F,Jason Dickinson C,16:53,0,0,0,1,2,0,0,0,6/17
Blackhawks,Kings,home,F,Ryan Donato C,19:13,0,1,0,5,0,0,0,1,3/7
Blackhawks,Kings,home,F,Nick Foligno L,15:15,1,0,1,1,0,5,0,0,3/13
Blackhawks,Kings,home,F,Taylor Hall L,17:40,0,0,0,1,1,0,0,0,0/0
Blackhawks,Kings,home,F,Philipp Kurashev C,18:13,0,0,-1,1,0,0,0,0,2/4
Blackhawks,Kings,home,F,Patrick Maroon L,13:06,0,0,1,0,1,2,0,0,0/0
Blackhawks,Kings,home,F,Ilya Mikheyev R,13:52,0,0,0,0,0,0,0,0,0/0
Blackhawks,Kings,home,F,Lukas Reichel L,15:45,0,1,2,2,0,0,0,0,4/8
Blackhawks,Kings,home,F,Craig Smith C,12:12,1,0,1,2,1,2,0,1,0/0
Blackhawks,Kings,home,F,Teuvo Teravainen C,12:18,0,0,0,1,0,0,0,3,0/0
Blackhawks,Kings,home,F,Blackhawks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FONolan
Blackhawks,Kings,home,F,Nolan Allan D,13:09,0,1,0,0,0,0,0,0,0/0
Blackhawks,Kings,home,F,Seth Jones D,28:13,0,1,0,0,3,0,2,1,0/0
Blackhawks,Kings,home,F,Wyatt Kaiser D,16:39,0,0,0,0,0,0,0,3,0/0
Blackhawks,Kings,home,F,Connor Murphy D,23:09,0,0,1,2,3,2,0,2,0/0
Blackhawks,Kings,home,F,Isaak Phillips D,11:13,0,0,0,0,1,0,0,0,0/0
Blackhawks,Kings,home,F,Alex Vlasic D,27:07,0,1,0,0,4,0,0,1,0/0
