game_id,game_date,team,opponent,home_away,team_score,opponent_score,shots_for,shots_against,result,goals_for,goals_against,games_played,wins,losses,ties,points,cum_goals_for,cum_goals_against,cum_shots_for,cum_shots_against,avg_goals_for,avg_goals_against,avg_shots_for,avg_shots_against,points_pct
2022020008,2022-10-12,CHI,COL,away,2,5,17,35,L,2,5,1,0,1,0,0,2,5,17,35,2.0,5.0,17.0,35.0,0.0
2022020019,2022-10-13,CHI,VGK,away,0,1,27,37,L,0,1,2,0,2,0,0,2,6,44,72,1.0,3.0,22.0,36.0,0.0
2022020038,2022-10-15,CHI,SJS,away,5,2,25,26,W,5,2,3,1,2,0,2,7,8,69,98,2.33,2.67,23.0,32.67,0.333
2022020072,2022-10-21,CHI,DET,home,4,3,29,28,W,4,3,4,2,2,0,4,11,11,98,126,2.75,2.75,24.5,31.5,0.5
2022020087,2022-10-23,CHI,SEA,home,5,4,27,34,W,5,4,5,3,2,0,6,16,15,125,160,3.2,3.0,25.0,32.0,0.6
2022020103,2022-10-25,CHI,FLA,home,4,2,22,31,W,4,2,6,4,2,0,8,20,17,147,191,3.33,2.83,24.5,31.83,0.667
2022020116,2022-10-27,CHI,EDM,home,5,6,36,38,L,5,6,7,4,3,0,8,25,23,183,229,3.57,3.29,26.14,32.71,0.571
2022020131,2022-10-29,CHI,BUF,away,3,4,26,45,L,3,4,8,4,4,0,8,28,27,209,274,3.5,3.38,26.12,34.25,0.5
2022020140,2022-10-30,CHI,MIN,home,3,4,26,35,L,3,4,9,4,5,0,8,31,31,235,309,3.44,3.44,26.11,34.33,0.444
2022020152,2022-11-01,CHI,NYI,home,1,3,22,33,L,1,3,10,4,6,0,8,32,34,257,342,3.2,3.4,25.7,34.2,0.4
2022020168,2022-11-03,CHI,LAK,home,2,1,19,33,W,2,1,11,5,6,0,10,34,35,276,375,3.09,3.18,25.09,34.09,0.455
2022020176,2022-11-05,CHI,WPG,away,0,4,30,37,L,0,4,12,5,7,0,10,34,39,306,412,2.83,3.25,25.5,34.33,0.417
2022020220,2022-11-10,CHI,LAK,away,1,2,32,35,L,1,2,13,5,8,0,10,35,41,338,447,2.69,3.15,26.0,34.38,0.385
2022020234,2022-11-12,CHI,ANA,away,3,2,22,41,W,3,2,14,6,8,0,12,38,43,360,488,2.71,3.07,25.71,34.86,0.429
2022020245,2022-11-14,CHI,CAR,home,0,3,27,32,L,0,3,15,6,9,0,12,38,46,387,520,2.53,3.07,25.8,34.67,0.4
2022020258,2022-11-16,CHI,STL,home,2,5,27,35,L,2,5,16,6,10,0,12,40,51,414,555,2.5,3.19,25.88,34.69,0.375
2022020277,2022-11-19,CHI,BOS,away,1,6,18,43,L,1,6,17,6,11,0,12,41,57,432,598,2.41,3.35,25.41,35.18,0.353
2022020290,2022-11-20,CHI,PIT,home,3,5,32,25,L,3,5,18,6,12,0,12,44,62,464,623,2.44,3.44,25.78,34.61,0.333
2022020313,2022-11-23,CHI,DAL,away,4,6,31,39,L,4,6,19,6,13,0,12,48,68,495,662,2.53,3.58,26.05,34.84,0.316
2022020321,2022-11-25,CHI,MTL,home,2,3,32,23,L,2,3,20,6,14,0,12,50,71,527,685,2.5,3.55,26.35,34.25,0.3
2022020342,2022-11-27,CHI,WPG,home,2,7,25,44,L,2,7,21,6,15,0,12,52,78,552,729,2.48,3.71,26.29,34.71,0.286
2022020364,2022-11-30,CHI,EDM,home,4,5,25,41,L,4,5,22,6,16,0,12,56,83,577,770,2.55,3.77,26.23,35.0,0.273
2023020002,2023-10-10,CHI,PIT,away,4,2,36,41,W,4,2,23,7,16,0,14,60,85,613,811,2.61,3.7,26.65,35.26,0.304
2023020006,2023-10-11,CHI,BOS,away,1,3,21,33,L,1,3,24,7,17,0,14,61,88,634,844,2.54,3.67,26.42,35.17,0.292
2023020024,2023-10-14,CHI,MTL,away,2,3,30,36,L,2,3,25,7,18,0,14,63,91,664,880,2.52,3.64,26.56,35.2,0.28
2023020038,2023-10-16,CHI,TOR,away,4,1,31,36,W,4,1,26,8,18,0,16,67,92,695,916,2.58,3.54,26.73,35.23,0.308
2023020061,2023-10-19,CHI,COL,away,0,4,18,41,L,0,4,27,8,19,0,16,67,96,713,957,2.48,3.56,26.41,35.44,0.296
2023020071,2023-10-21,CHI,VGK,home,3,5,24,24,L,3,5,28,8,20,0,16,70,101,737,981,2.5,3.61,26.32,35.04,0.286
2023020092,2023-10-24,CHI,BOS,home,0,3,23,43,L,0,3,29,8,21,0,16,70,104,760,1024,2.41,3.59,26.21,35.31,0.276
2023020111,2023-10-27,CHI,VGK,away,4,3,24,21,W,4,3,30,9,21,0,18,74,107,784,1045,2.47,3.57,26.13,34.83,0.3
2023020137,2023-10-30,CHI,ARI,away,1,8,30,33,L,1,8,31,9,22,0,18,75,115,814,1078,2.42,3.71,26.26,34.77,0.29
2023020168,2023-11-04,CHI,FLA,home,5,2,25,40,W,5,2,32,10,22,0,20,80,117,839,1118,2.5,3.66,26.22,34.94,0.312
2023020174,2023-11-05,CHI,NJD,home,2,4,34,41,L,2,4,33,10,23,0,20,82,121,873,1159,2.48,3.67,26.45,35.12,0.303
2023020198,2023-11-09,CHI,TBL,away,5,3,29,33,W,5,3,34,11,23,0,22,87,124,902,1192,2.56,3.65,26.53,35.06,0.324
2023020222,2023-11-12,CHI,FLA,away,3,4,26,31,L,3,4,35,11,24,0,22,90,128,928,1223,2.57,3.66,26.51,34.94,0.314
2023020246,2023-11-16,CHI,TBL,home,2,4,14,32,L,2,4,36,11,25,0,22,92,132,942,1255,2.56,3.67,26.17,34.86,0.306
2023020256,2023-11-18,CHI,NSH,away,2,4,31,31,L,2,4,37,11,26,0,22,94,136,973,1286,2.54,3.68,26.3,34.76,0.297
2023020270,2023-11-19,CHI,BUF,home,2,3,26,20,L,2,3,38,11,27,0,22,96,139,999,1306,2.53,3.66,26.29,34.37,0.289
2023020280,2023-11-22,CHI,CBJ,away,3,7,36,26,L,3,7,39,11,28,0,22,99,146,1035,1332,2.54,3.74,26.54,34.15,0.282
2023020295,2023-11-24,CHI,TOR,home,4,3,34,37,W,4,3,40,12,28,0,24,103,149,1069,1369,2.58,3.72,26.72,34.22,0.3
2023020317,2023-11-26,CHI,STL,home,2,4,33,28,L,2,4,41,12,29,0,24,105,153,1102,1397,2.56,3.73,26.88,34.07,0.293
2023020333,2023-11-28,CHI,SEA,home,4,3,23,36,W,4,3,42,13,29,0,26,109,156,1125,1433,2.6,3.71,26.79,34.12,0.31
2023020342,2023-11-30,CHI,DET,away,1,5,35,29,L,1,5,43,13,30,0,26,110,161,1160,1462,2.56,3.74,26.98,34.0,0.302
2023020357,2023-12-02,CHI,WPG,away,1,3,21,28,L,1,3,44,13,31,0,26,111,164,1181,1490,2.52,3.73,26.84,33.86,0.295
2023020369,2023-12-03,CHI,MIN,away,1,4,29,34,L,1,4,45,13,32,0,26,112,168,1210,1524,2.49,3.73,26.89,33.87,0.289
2023020384,2023-12-05,CHI,NSH,home,3,4,28,30,L,3,4,46,13,33,0,26,115,172,1238,1554,2.5,3.74,26.91,33.78,0.283
2023020399,2023-12-07,CHI,ANA,home,1,0,25,37,W,1,0,47,14,33,0,28,116,172,1263,1591,2.47,3.66,26.87,33.85,0.298
2023020416,2023-12-09,CHI,STL,home,3,1,24,39,W,3,1,48,15,33,0,30,119,173,1287,1630,2.48,3.6,26.81,33.96,0.312
2023020422,2023-12-10,CHI,WSH,home,2,4,34,27,L,2,4,49,15,34,0,30,121,177,1321,1657,2.47,3.61,26.96,33.82,0.306
2023020437,2023-12-12,CHI,EDM,away,1,4,23,29,L,1,4,50,15,35,0,30,122,181,1344,1686,2.44,3.62,26.88,33.72,0.3
2023020453,2023-12-14,CHI,SEA,away,1,7,22,29,L,1,7,51,15,36,0,30,123,188,1366,1715,2.41,3.69,26.78,33.63,0.294
2023020474,2023-12-17,CHI,VAN,home,3,4,28,27,L,3,4,52,15,37,0,30,126,192,1394,1742,2.42,3.69,26.81,33.5,0.288
2023020492,2023-12-19,CHI,COL,home,3,2,22,37,W,3,2,53,16,37,0,32,129,194,1416,1779,2.43,3.66,26.72,33.57,0.302
2023020513,2023-12-22,CHI,MTL,home,2,5,21,28,L,2,5,54,16,38,0,32,131,199,1437,1807,2.43,3.69,26.61,33.46,0.296
2023020524,2023-12-23,CHI,STL,away,5,7,20,42,L,5,7,55,16,39,0,32,136,206,1457,1849,2.47,3.75,26.49,33.62,0.291
2023020538,2023-12-27,CHI,WPG,home,2,1,25,38,W,2,1,56,17,39,0,34,138,207,1482,1887,2.46,3.7,26.46,33.7,0.304
2023020551,2023-12-29,CHI,DAL,away,4,5,29,35,L,4,5,57,17,40,0,34,142,212,1511,1922,2.49,3.72,26.51,33.72,0.298
2023020572,2023-12-31,CHI,DAL,away,1,8,24,41,L,1,8,58,17,41,0,34,143,220,1535,1963,2.47,3.79,26.47,33.84,0.293
2023020579,2024-01-02,CHI,NSH,away,0,3,21,36,L,0,3,59,17,42,0,34,143,223,1556,1999,2.42,3.78,26.37,33.88,0.288
2023020591,2024-01-04,CHI,NYR,away,1,4,23,32,L,1,4,60,17,43,0,34,144,227,1579,2031,2.4,3.78,26.32,33.85,0.283
2023020602,2024-01-05,CHI,NJD,away,2,4,25,32,L,2,4,61,17,44,0,34,146,231,1604,2063,2.39,3.79,26.3,33.82,0.279
2023020617,2024-01-07,CHI,CGY,home,4,3,20,30,W,4,3,62,18,44,0,36,150,234,1624,2093,2.42,3.77,26.19,33.76,0.29
2023020632,2024-01-09,CHI,EDM,home,1,2,26,15,L,1,2,63,18,45,0,36,151,236,1650,2108,2.4,3.75,26.19,33.46,0.286
2023020648,2024-01-11,CHI,WPG,away,1,2,21,28,L,1,2,64,18,46,0,36,152,238,1671,2136,2.38,3.72,26.11,33.38,0.281
2023020664,2024-01-13,CHI,DAL,home,1,3,35,30,L,1,3,65,18,47,0,36,153,241,1706,2166,2.35,3.71,26.25,33.32,0.277
2023020686,2024-01-16,CHI,SJS,home,2,1,25,38,W,2,1,66,19,47,0,38,155,242,1731,2204,2.35,3.67,26.23,33.39,0.288
2023020691,2024-01-18,CHI,BUF,away,0,3,19,31,L,0,3,67,19,48,0,38,155,245,1750,2235,2.31,3.66,26.12,33.36,0.284
2023020705,2024-01-19,CHI,NYI,home,4,3,24,30,W,4,3,68,20,48,0,40,159,248,1774,2265,2.34,3.65,26.09,33.31,0.294
2023020728,2024-01-22,CHI,VAN,away,0,2,31,29,L,0,2,69,20,49,0,40,159,250,1805,2294,2.3,3.62,26.16,33.25,0.29
2023020743,2024-01-24,CHI,SEA,away,2,6,34,28,L,2,6,70,20,50,0,40,161,256,1839,2322,2.3,3.66,26.27,33.17,0.286
2023020754,2024-01-25,CHI,EDM,away,0,3,27,34,L,0,3,71,20,51,0,40,161,259,1866,2356,2.27,3.65,26.28,33.18,0.282
2023020771,2024-01-27,CHI,CGY,away,0,1,32,31,L,0,1,72,20,52,0,40,161,260,1898,2387,2.24,3.61,26.36,33.15,0.278
2023020793,2024-02-07,CHI,MIN,home,1,2,21,25,L,1,2,73,20,53,0,40,162,262,1919,2412,2.22,3.59,26.29,33.04,0.274
2023020802,2024-02-09,CHI,NYR,home,3,4,31,35,L,3,4,74,20,54,0,40,165,266,1950,2447,2.23,3.59,26.35,33.07,0.27
2023020832,2024-02-13,CHI,VAN,home,2,4,24,38,L,2,4,75,20,55,0,40,167,270,1974,2485,2.23,3.6,26.32,33.13,0.267
2023020845,2024-02-15,CHI,PIT,home,1,4,28,27,L,1,4,76,20,56,0,40,168,274,2002,2512,2.21,3.61,26.34,33.05,0.263
2023020851,2024-02-17,CHI,OTT,home,3,2,22,42,W,3,2,77,21,56,0,42,171,276,2024,2554,2.22,3.58,26.29,33.17,0.273
2023020874,2024-02-19,CHI,CAR,away,3,6,17,42,L,3,6,78,21,57,0,42,174,282,2041,2596,2.23,3.62,26.17,33.28,0.269
2023020885,2024-02-21,CHI,PHI,home,1,3,22,33,L,1,3,79,21,58,0,42,175,285,2063,2629,2.22,3.61,26.11,33.28,0.266
2023020901,2024-02-23,CHI,WPG,home,2,3,35,31,L,2,3,80,21,59,0,42,177,288,2098,2660,2.21,3.6,26.22,33.25,0.262
2023020920,2024-02-25,CHI,DET,home,2,3,36,31,L,2,3,81,21,60,0,42,179,291,2134,2691,2.21,3.59,26.35,33.22,0.259
2023020949,2024-02-29,CHI,COL,home,0,5,24,33,L,0,5,82,21,61,0,42,179,296,2158,2724,2.18,3.61,26.32,33.22,0.256
2023020965,2024-03-02,CHI,CBJ,home,2,5,28,31,L,2,5,83,21,62,0,42,181,301,2186,2755,2.18,3.63,26.34,33.19,0.253
2023020979,2024-03-04,CHI,COL,away,0,5,37,37,L,0,5,84,21,63,0,42,181,306,2223,2792,2.15,3.64,26.46,33.24,0.25
2023020987,2024-03-05,CHI,ARI,away,5,2,32,39,W,5,2,85,22,63,0,44,186,308,2255,2831,2.19,3.62,26.53,33.31,0.259
2023021017,2024-03-09,CHI,WSH,away,1,4,32,26,L,1,4,86,22,64,0,44,187,312,2287,2857,2.17,3.63,26.59,33.22,0.256
2023021025,2024-03-10,CHI,ARI,home,7,4,41,36,W,7,4,87,23,64,0,46,194,316,2328,2893,2.23,3.63,26.76,33.25,0.264
2023021038,2024-03-12,CHI,ANA,home,7,2,31,29,W,7,2,88,24,64,0,48,201,318,2359,2922,2.28,3.61,26.81,33.2,0.273
2023021058,2024-03-15,CHI,LAK,home,0,5,28,37,L,0,5,89,24,65,0,48,201,323,2387,2959,2.26,3.63,26.82,33.25,0.27
2023021076,2024-03-17,CHI,SJS,home,5,2,31,27,W,5,2,90,25,65,0,50,206,325,2418,2986,2.29,3.61,26.87,33.18,0.278
