team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blue Jackets,Avalanche,home,D,Jake Christiansen D,17:17,0,1,2,0,1,0,0,1,0/0
Blue Jackets,Avalanche,home,D,Erik Gudbranson D,16:54,0,0,0,0,2,2,0,2,0/0
Blue Jackets,Avalanche,home,D,Jack Johnson D,13:25,0,0,1,0,0,0,0,0,0/0
Blue Jackets,Avalanche,home,D,Ivan Provorov D,25:55,0,0,1,1,2,0,2,1,0/0
Blue Jackets,Avalanche,home,D,Damon Severson D,21:45,0,1,1,1,2,4,1,1,0/0
Blue Jackets,Avalanche,home,D,Zach Werenski D,23:12,1,0,1,3,0,0,0,0,0/0
Blue Jackets,Avalanche,home,D,Jake Christiansen D,17:17,0,1,2,0,1,0,0,1,0/0
Blue Jackets,Avalanche,home,D,Erik Gudbranson D,16:54,0,0,0,0,2,2,0,2,0/0
Blue Jackets,Avalanche,home,D,Jack Johnson D,13:25,0,0,1,0,0,0,0,0,0/0
Blue Jackets,Avalanche,home,D,Ivan Provorov D,25:55,0,0,1,1,2,0,2,1,0/0
Blue Jackets,Avalanche,home,D,Damon Severson D,21:45,0,1,1,1,2,4,1,1,0/0
Blue Jackets,Avalanche,home,D,Zach Werenski D,23:12,1,0,1,3,0,0,0,0,0/0
Blue Jackets,Avalanche,home,F,Zach Aston-Reese C,00:34,0,0,0,0,0,0,0,0,0/0
Blue Jackets,Avalanche,home,F,Yegor Chinakhov R,17:57,1,2,2,4,1,0,0,0,0/0
Blue Jackets,Avalanche,home,F,Adam Fantilli C,16:53,1,0,0,2,3,0,0,2,5/14
Blue Jackets,Avalanche,home,F,Kent Johnson C,21:30,1,0,1,2,0,0,0,2,0/2
Blue Jackets,Avalanche,home,F,Sean Kuraly C,09:17,0,0,0,0,0,0,0,0,4/6
Blue Jackets,Avalanche,home,F,Kevin Labanc R,10:54,0,1,0,1,2,0,1,0,0/0
Blue Jackets,Avalanche,home,F,Kirill Marchenko R,18:11,1,2,2,2,0,0,2,1,0/0
Blue Jackets,Avalanche,home,F,Sean Monahan C,20:20,1,2,2,2,0,0,0,0,11/21
Blue Jackets,Avalanche,home,F,Mathieu Olivier R,09:16,0,0,0,0,4,2,0,0,0/0
Blue Jackets,Avalanche,home,F,Mikael Pyyhtia L,19:08,0,0,1,0,2,0,0,0,0/0
Blue Jackets,Avalanche,home,F,Cole Sillinger C,20:05,0,0,1,5,0,2,2,1,8/21
Blue Jackets,Avalanche,home,F,James van Riemsdyk L,12:00,0,0,0,0,0,0,0,2,0/0
Blue Jackets,Avalanche,home,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Avalanche,home,F,Jake Christiansen D,17:17,0,1,2,0,1,0,0,1,0/0
Blue Jackets,Avalanche,home,F,Erik Gudbranson D,16:54,0,0,0,0,2,2,0,2,0/0
Blue Jackets,Avalanche,home,F,Jack Johnson D,13:25,0,0,1,0,0,0,0,0,0/0
Blue Jackets,Avalanche,home,F,Ivan Provorov D,25:55,0,0,1,1,2,0,2,1,0/0
Blue Jackets,Avalanche,home,F,Damon Severson D,21:45,0,1,1,1,2,4,1,1,0/0
Blue Jackets,Avalanche,home,F,Zach Werenski D,23:12,1,0,1,3,0,0,0,0,0/0
Blue Jackets,Avalanche,home,F,Zach Aston-Reese C,00:34,0,0,0,0,0,0,0,0,0/0
Blue Jackets,Avalanche,home,F,Yegor Chinakhov R,17:57,1,2,2,4,1,0,0,0,0/0
Blue Jackets,Avalanche,home,F,Adam Fantilli C,16:53,1,0,0,2,3,0,0,2,5/14
Blue Jackets,Avalanche,home,F,Kent Johnson C,21:30,1,0,1,2,0,0,0,2,0/2
Blue Jackets,Avalanche,home,F,Sean Kuraly C,09:17,0,0,0,0,0,0,0,0,4/6
Blue Jackets,Avalanche,home,F,Kevin Labanc R,10:54,0,1,0,1,2,0,1,0,0/0
Blue Jackets,Avalanche,home,F,Kirill Marchenko R,18:11,1,2,2,2,0,0,2,1,0/0
Blue Jackets,Avalanche,home,F,Sean Monahan C,20:20,1,2,2,2,0,0,0,0,11/21
Blue Jackets,Avalanche,home,F,Mathieu Olivier R,09:16,0,0,0,0,4,2,0,0,0/0
Blue Jackets,Avalanche,home,F,Mikael Pyyhtia L,19:08,0,0,1,0,2,0,0,0,0/0
Blue Jackets,Avalanche,home,F,Cole Sillinger C,20:05,0,0,1,5,0,2,2,1,8/21
Blue Jackets,Avalanche,home,F,James van Riemsdyk L,12:00,0,0,0,0,0,0,0,2,0/0
Blue Jackets,Avalanche,home,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Avalanche,home,F,Jake Christiansen D,17:17,0,1,2,0,1,0,0,1,0/0
Blue Jackets,Avalanche,home,F,Erik Gudbranson D,16:54,0,0,0,0,2,2,0,2,0/0
Blue Jackets,Avalanche,home,F,Jack Johnson D,13:25,0,0,1,0,0,0,0,0,0/0
Blue Jackets,Avalanche,home,F,Ivan Provorov D,25:55,0,0,1,1,2,0,2,1,0/0
Blue Jackets,Avalanche,home,F,Damon Severson D,21:45,0,1,1,1,2,4,1,1,0/0
Blue Jackets,Avalanche,home,F,Zach Werenski D,23:12,1,0,1,3,0,0,0,0,0/0
