team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blue Jackets,Panthers,away,D,Jake Christiansen D,14:56,0,0,-2,1,0,0,0,1,0/0
Blue Jackets,Panthers,away,D,Erik Gudbranson D,13:25,0,0,1,1,0,0,0,0,0/0
Blue Jackets,Panthers,away,D,Jordan Harris D,12:44,0,0,0,1,1,2,0,0,0/0
Blue Jackets,Panthers,away,D,Ivan Provorov D,24:40,0,0,2,1,1,0,1,1,0/0
Blue Jackets,Panthers,away,D,Damon Severson D,19:30,0,1,-2,1,0,0,0,1,0/0
Blue Jackets,Panthers,away,D,Zach Werenski D,28:36,0,0,-1,7,0,0,2,1,0/0
Blue Jackets,Panthers,away,D,Jake Christiansen D,14:56,0,0,-2,1,0,0,0,1,0/0
Blue Jackets,Panthers,away,D,Erik Gudbranson D,13:25,0,0,1,1,0,0,0,0,0/0
Blue Jackets,Panthers,away,D,Jordan Harris D,12:44,0,0,0,1,1,2,0,0,0/0
Blue Jackets,Panthers,away,D,Ivan Provorov D,24:40,0,0,2,1,1,0,1,1,0/0
Blue Jackets,Panthers,away,D,Damon Severson D,19:30,0,1,-2,1,0,0,0,1,0/0
Blue Jackets,Panthers,away,D,Zach Werenski D,28:36,0,0,-1,7,0,0,2,1,0/0
Blue Jackets,Panthers,away,F,Zach Aston-Reese C,11:20,0,0,1,3,2,0,2,1,0/1
Blue Jackets,Panthers,away,F,Yegor Chinakhov R,16:24,0,1,2,4,1,0,0,0,0/0
Blue Jackets,Panthers,away,F,Adam Fantilli C,18:11,0,0,-1,4,3,0,0,2,3/9
Blue Jackets,Panthers,away,F,Kent Johnson C,21:03,0,1,-3,2,0,0,0,0,0/1
Blue Jackets,Panthers,away,F,Sean Kuraly C,09:19,0,0,0,1,2,0,0,1,4/5
Blue Jackets,Panthers,away,F,Kevin Labanc R,12:54,0,1,1,2,0,2,0,2,0/0
Blue Jackets,Panthers,away,F,Kirill Marchenko R,18:21,0,1,1,1,1,0,0,0,1/2
Blue Jackets,Panthers,away,F,Sean Monahan C,18:39,1,0,1,5,0,0,0,0,20/26
Blue Jackets,Panthers,away,F,Mathieu Olivier R,10:29,0,0,0,0,1,2,1,0,0/0
Blue Jackets,Panthers,away,F,Mikael Pyyhtia L,13:50,0,0,-3,0,2,0,0,0,0/0
Blue Jackets,Panthers,away,F,Cole Sillinger C,20:38,1,0,-3,1,1,0,0,0,7/17
Blue Jackets,Panthers,away,F,James van Riemsdyk L,13:14,1,0,1,3,0,0,1,0,0/0
Blue Jackets,Panthers,away,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Panthers,away,F,Jake Christiansen D,14:56,0,0,-2,1,0,0,0,1,0/0
Blue Jackets,Panthers,away,F,Erik Gudbranson D,13:25,0,0,1,1,0,0,0,0,0/0
Blue Jackets,Panthers,away,F,Jordan Harris D,12:44,0,0,0,1,1,2,0,0,0/0
Blue Jackets,Panthers,away,F,Ivan Provorov D,24:40,0,0,2,1,1,0,1,1,0/0
Blue Jackets,Panthers,away,F,Damon Severson D,19:30,0,1,-2,1,0,0,0,1,0/0
Blue Jackets,Panthers,away,F,Zach Werenski D,28:36,0,0,-1,7,0,0,2,1,0/0
Blue Jackets,Panthers,away,F,Zach Aston-Reese C,11:20,0,0,1,3,2,0,2,1,0/1
Blue Jackets,Panthers,away,F,Yegor Chinakhov R,16:24,0,1,2,4,1,0,0,0,0/0
Blue Jackets,Panthers,away,F,Adam Fantilli C,18:11,0,0,-1,4,3,0,0,2,3/9
Blue Jackets,Panthers,away,F,Kent Johnson C,21:03,0,1,-3,2,0,0,0,0,0/1
Blue Jackets,Panthers,away,F,Sean Kuraly C,09:19,0,0,0,1,2,0,0,1,4/5
Blue Jackets,Panthers,away,F,Kevin Labanc R,12:54,0,1,1,2,0,2,0,2,0/0
Blue Jackets,Panthers,away,F,Kirill Marchenko R,18:21,0,1,1,1,1,0,0,0,1/2
Blue Jackets,Panthers,away,F,Sean Monahan C,18:39,1,0,1,5,0,0,0,0,20/26
Blue Jackets,Panthers,away,F,Mathieu Olivier R,10:29,0,0,0,0,1,2,1,0,0/0
Blue Jackets,Panthers,away,F,Mikael Pyyhtia L,13:50,0,0,-3,0,2,0,0,0,0/0
Blue Jackets,Panthers,away,F,Cole Sillinger C,20:38,1,0,-3,1,1,0,0,0,7/17
Blue Jackets,Panthers,away,F,James van Riemsdyk L,13:14,1,0,1,3,0,0,1,0,0/0
Blue Jackets,Panthers,away,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Panthers,away,F,Jake Christiansen D,14:56,0,0,-2,1,0,0,0,1,0/0
Blue Jackets,Panthers,away,F,Erik Gudbranson D,13:25,0,0,1,1,0,0,0,0,0/0
Blue Jackets,Panthers,away,F,Jordan Harris D,12:44,0,0,0,1,1,2,0,0,0/0
Blue Jackets,Panthers,away,F,Ivan Provorov D,24:40,0,0,2,1,1,0,1,1,0/0
Blue Jackets,Panthers,away,F,Damon Severson D,19:30,0,1,-2,1,0,0,0,1,0/0
Blue Jackets,Panthers,away,F,Zach Werenski D,28:36,0,0,-1,7,0,0,2,1,0/0
