team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blue Jackets,Wild,away,D,Jake Christiansen D,10:59,0,0,-1,2,1,0,0,0,0/0
Blue Jackets,Wild,away,D,Jordan Harris D,10:15,0,0,0,1,0,2,0,1,0/0
Blue Jackets,Wild,away,D,David Jiricek D,11:23,0,1,1,0,0,0,0,1,0/0
Blue Jackets,Wild,away,D,Jack Johnson D,15:04,0,0,1,0,0,0,3,0,0/0
Blue Jackets,Wild,away,D,Ivan Provorov D,21:35,0,0,-1,1,0,0,0,0,0/0
Blue Jackets,Wild,away,D,Damon Severson D,19:50,0,0,-1,3,3,0,0,0,0/0
Blue Jackets,Wild,away,D,Zach Werenski D,26:12,0,0,-1,2,1,0,3,3,0/0
Blue Jackets,Wild,away,D,Jake Christiansen D,10:59,0,0,-1,2,1,0,0,0,0/0
Blue Jackets,Wild,away,D,Jordan Harris D,10:15,0,0,0,1,0,2,0,1,0/0
Blue Jackets,Wild,away,D,David Jiricek D,11:23,0,1,1,0,0,0,0,1,0/0
Blue Jackets,Wild,away,D,Jack Johnson D,15:04,0,0,1,0,0,0,3,0,0/0
Blue Jackets,Wild,away,D,Ivan Provorov D,21:35,0,0,-1,1,0,0,0,0,0/0
Blue Jackets,Wild,away,D,Damon Severson D,19:50,0,0,-1,3,3,0,0,0,0/0
Blue Jackets,Wild,away,D,Zach Werenski D,26:12,0,0,-1,2,1,0,3,3,0/0
Blue Jackets,Wild,away,F,Zachary Aston-Reese C,13:58,0,0,-1,1,1,0,0,0,0/0
Blue Jackets,Wild,away,F,Yegor Chinakhov R,21:11,1,0,0,4,1,0,1,1,0/0
Blue Jackets,Wild,away,F,Justin Danforth R,16:13,0,0,0,1,0,0,0,1,0/0
Blue Jackets,Wild,away,F,Adam Fantilli C,22:04,0,0,0,0,1,0,1,1,8/13
Blue Jackets,Wild,away,F,Sean Kuraly C,07:37,0,0,0,0,0,0,0,1,3/5
Blue Jackets,Wild,away,F,Kirill Marchenko R,21:53,0,0,0,1,0,0,0,1,1/1
Blue Jackets,Wild,away,F,Sean Monahan C,21:32,0,1,-1,4,0,0,0,2,8/19
Blue Jackets,Wild,away,F,Mathieu Olivier R,14:37,0,0,-1,0,2,2,0,1,0/0
Blue Jackets,Wild,away,F,Mikael Pyyhtia L,15:43,0,0,0,0,2,0,2,2,0/0
Blue Jackets,Wild,away,F,Cole Sillinger C,17:43,0,0,0,4,1,2,0,0,5/7
Blue Jackets,Wild,away,F,James van Riemsdyk L,09:09,0,0,0,0,0,0,0,3,1/2
Blue Jackets,Wild,away,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Wild,away,F,Jake Christiansen D,10:59,0,0,-1,2,1,0,0,0,0/0
Blue Jackets,Wild,away,F,Jordan Harris D,10:15,0,0,0,1,0,2,0,1,0/0
Blue Jackets,Wild,away,F,David Jiricek D,11:23,0,1,1,0,0,0,0,1,0/0
Blue Jackets,Wild,away,F,Jack Johnson D,15:04,0,0,1,0,0,0,3,0,0/0
Blue Jackets,Wild,away,F,Ivan Provorov D,21:35,0,0,-1,1,0,0,0,0,0/0
Blue Jackets,Wild,away,F,Damon Severson D,19:50,0,0,-1,3,3,0,0,0,0/0
Blue Jackets,Wild,away,F,Zach Werenski D,26:12,0,0,-1,2,1,0,3,3,0/0
Blue Jackets,Wild,away,F,Zachary Aston-Reese C,13:58,0,0,-1,1,1,0,0,0,0/0
Blue Jackets,Wild,away,F,Yegor Chinakhov R,21:11,1,0,0,4,1,0,1,1,0/0
Blue Jackets,Wild,away,F,Justin Danforth R,16:13,0,0,0,1,0,0,0,1,0/0
Blue Jackets,Wild,away,F,Adam Fantilli C,22:04,0,0,0,0,1,0,1,1,8/13
Blue Jackets,Wild,away,F,Sean Kuraly C,07:37,0,0,0,0,0,0,0,1,3/5
Blue Jackets,Wild,away,F,Kirill Marchenko R,21:53,0,0,0,1,0,0,0,1,1/1
Blue Jackets,Wild,away,F,Sean Monahan C,21:32,0,1,-1,4,0,0,0,2,8/19
Blue Jackets,Wild,away,F,Mathieu Olivier R,14:37,0,0,-1,0,2,2,0,1,0/0
Blue Jackets,Wild,away,F,Mikael Pyyhtia L,15:43,0,0,0,0,2,0,2,2,0/0
Blue Jackets,Wild,away,F,Cole Sillinger C,17:43,0,0,0,4,1,2,0,0,5/7
Blue Jackets,Wild,away,F,James van Riemsdyk L,09:09,0,0,0,0,0,0,0,3,1/2
Blue Jackets,Wild,away,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Wild,away,F,Jake Christiansen D,10:59,0,0,-1,2,1,0,0,0,0/0
Blue Jackets,Wild,away,F,Jordan Harris D,10:15,0,0,0,1,0,2,0,1,0/0
Blue Jackets,Wild,away,F,David Jiricek D,11:23,0,1,1,0,0,0,0,1,0/0
Blue Jackets,Wild,away,F,Jack Johnson D,15:04,0,0,1,0,0,0,3,0,0/0
Blue Jackets,Wild,away,F,Ivan Provorov D,21:35,0,0,-1,1,0,0,0,0,0/0
Blue Jackets,Wild,away,F,Damon Severson D,19:50,0,0,-1,3,3,0,0,0,0/0
Blue Jackets,Wild,away,F,Zach Werenski D,26:12,0,0,-1,2,1,0,3,3,0/0
