team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blue Jackets,Predators,home,D,Jake Christiansen D,19:36,0,0,-1,2,1,0,0,2,0/0
Blue Jackets,Predators,home,D,Jordan Harris D,13:16,0,0,1,0,3,0,1,0,0/0
Blue Jackets,Predators,home,D,Jack Johnson D,14:03,0,1,1,0,0,0,0,1,0/0
Blue Jackets,Predators,home,D,Ivan Provorov D,24:38,0,0,0,0,2,0,0,2,0/0
Blue Jackets,Predators,home,D,Damon Severson D,20:43,0,0,-3,0,2,0,1,3,0/0
Blue Jackets,Predators,home,D,Zach Werenski D,27:46,1,0,1,4,2,2,2,3,0/0
Blue Jackets,Predators,home,D,Jake Christiansen D,19:36,0,0,-1,2,1,0,0,2,0/0
Blue Jackets,Predators,home,D,Jordan Harris D,13:16,0,0,1,0,3,0,1,0,0/0
Blue Jackets,Predators,home,D,Jack Johnson D,14:03,0,1,1,0,0,0,0,1,0/0
Blue Jackets,Predators,home,D,Ivan Provorov D,24:38,0,0,0,0,2,0,0,2,0/0
Blue Jackets,Predators,home,D,Damon Severson D,20:43,0,0,-3,0,2,0,1,3,0/0
Blue Jackets,Predators,home,D,Zach Werenski D,27:46,1,0,1,4,2,2,2,3,0/0
Blue Jackets,Predators,home,F,Zachary Aston-Reese C,15:32,1,0,0,3,0,0,0,1,0/0
Blue Jackets,Predators,home,F,Yegor Chinakhov R,17:16,0,0,-1,1,0,0,0,1,0/0
Blue Jackets,Predators,home,F,Justin Danforth R,16:08,0,0,0,0,0,0,0,0,5/8
Blue Jackets,Predators,home,F,Adam Fantilli C,16:32,0,1,-1,6,2,0,1,0,6/18
Blue Jackets,Predators,home,F,Sean Kuraly C,11:39,0,1,1,0,1,0,0,1,3/5
Blue Jackets,Predators,home,F,Kevin Labanc R,11:10,0,1,1,1,1,0,0,0,0/0
Blue Jackets,Predators,home,F,Kirill Marchenko R,19:30,1,0,-1,3,0,4,0,1,0/0
Blue Jackets,Predators,home,F,Sean Monahan C,18:01,0,0,-1,3,0,0,0,1,12/21
Blue Jackets,Predators,home,F,Mathieu Olivier R,13:47,0,1,1,0,1,0,1,1,0/1
Blue Jackets,Predators,home,F,Mikael Pyyhtia L,13:12,0,0,-1,3,1,0,0,0,0/1
Blue Jackets,Predators,home,F,Cole Sillinger C,18:13,0,0,0,2,0,0,0,2,2/3
Blue Jackets,Predators,home,F,James van Riemsdyk L,08:47,0,0,1,0,0,0,0,0,0/0
Blue Jackets,Predators,home,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Predators,home,F,Jake Christiansen D,19:36,0,0,-1,2,1,0,0,2,0/0
Blue Jackets,Predators,home,F,Jordan Harris D,13:16,0,0,1,0,3,0,1,0,0/0
Blue Jackets,Predators,home,F,Jack Johnson D,14:03,0,1,1,0,0,0,0,1,0/0
Blue Jackets,Predators,home,F,Ivan Provorov D,24:38,0,0,0,0,2,0,0,2,0/0
Blue Jackets,Predators,home,F,Damon Severson D,20:43,0,0,-3,0,2,0,1,3,0/0
Blue Jackets,Predators,home,F,Zach Werenski D,27:46,1,0,1,4,2,2,2,3,0/0
Blue Jackets,Predators,home,F,Zachary Aston-Reese C,15:32,1,0,0,3,0,0,0,1,0/0
Blue Jackets,Predators,home,F,Yegor Chinakhov R,17:16,0,0,-1,1,0,0,0,1,0/0
Blue Jackets,Predators,home,F,Justin Danforth R,16:08,0,0,0,0,0,0,0,0,5/8
Blue Jackets,Predators,home,F,Adam Fantilli C,16:32,0,1,-1,6,2,0,1,0,6/18
Blue Jackets,Predators,home,F,Sean Kuraly C,11:39,0,1,1,0,1,0,0,1,3/5
Blue Jackets,Predators,home,F,Kevin Labanc R,11:10,0,1,1,1,1,0,0,0,0/0
Blue Jackets,Predators,home,F,Kirill Marchenko R,19:30,1,0,-1,3,0,4,0,1,0/0
Blue Jackets,Predators,home,F,Sean Monahan C,18:01,0,0,-1,3,0,0,0,1,12/21
Blue Jackets,Predators,home,F,Mathieu Olivier R,13:47,0,1,1,0,1,0,1,1,0/1
Blue Jackets,Predators,home,F,Mikael Pyyhtia L,13:12,0,0,-1,3,1,0,0,0,0/1
Blue Jackets,Predators,home,F,Cole Sillinger C,18:13,0,0,0,2,0,0,0,2,2/3
Blue Jackets,Predators,home,F,James van Riemsdyk L,08:47,0,0,1,0,0,0,0,0,0/0
Blue Jackets,Predators,home,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Predators,home,F,Jake Christiansen D,19:36,0,0,-1,2,1,0,0,2,0/0
Blue Jackets,Predators,home,F,Jordan Harris D,13:16,0,0,1,0,3,0,1,0,0/0
Blue Jackets,Predators,home,F,Jack Johnson D,14:03,0,1,1,0,0,0,0,1,0/0
Blue Jackets,Predators,home,F,Ivan Provorov D,24:38,0,0,0,0,2,0,0,2,0/0
Blue Jackets,Predators,home,F,Damon Severson D,20:43,0,0,-3,0,2,0,1,3,0/0
Blue Jackets,Predators,home,F,Zach Werenski D,27:46,1,0,1,4,2,2,2,3,0/0
