team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blue Jackets,Oilers,away,D,Jake Christiansen D,15:41,0,0,1,1,1,2,0,0,0/0
Blue Jackets,Oilers,away,D,Jordan Harris D,14:05,0,0,1,0,4,0,0,1,0/0
Blue Jackets,Oilers,away,D,Jack Johnson D,16:28,0,0,2,1,1,0,1,3,0/0
Blue Jackets,Oilers,away,D,Ivan Provorov D,25:36,0,0,2,0,1,2,0,2,0/0
Blue Jackets,Oilers,away,D,Damon Severson D,24:45,0,0,2,1,0,2,0,1,0/0
Blue Jackets,Oilers,away,D,Zach Werenski D,20:20,0,1,2,3,1,0,0,2,0/0
Blue Jackets,Oilers,away,D,Jake Christiansen D,15:41,0,0,1,1,1,2,0,0,0/0
Blue Jackets,Oilers,away,D,Jordan Harris D,14:05,0,0,1,0,4,0,0,1,0/0
Blue Jackets,Oilers,away,D,Jack Johnson D,16:28,0,0,2,1,1,0,1,3,0/0
Blue Jackets,Oilers,away,D,Ivan Provorov D,25:36,0,0,2,0,1,2,0,2,0/0
Blue Jackets,Oilers,away,D,Damon Severson D,24:45,0,0,2,1,0,2,0,1,0/0
Blue Jackets,Oilers,away,D,Zach Werenski D,20:20,0,1,2,3,1,0,0,2,0/0
Blue Jackets,Oilers,away,F,Zachary Aston-Reese C,13:49,0,0,0,1,0,0,0,0,0/1
Blue Jackets,Oilers,away,F,Yegor Chinakhov R,17:16,0,1,1,1,1,0,0,1,0/0
Blue Jackets,Oilers,away,F,Justin Danforth R,17:17,0,0,0,5,0,0,1,0,4/13
Blue Jackets,Oilers,away,F,Adam Fantilli C,10:37,1,1,3,1,0,0,0,1,4/9
Blue Jackets,Oilers,away,F,Sean Kuraly C,13:13,0,0,1,0,0,2,0,1,6/12
Blue Jackets,Oilers,away,F,Kevin Labanc R,11:13,0,0,0,1,2,0,0,0,0/0
Blue Jackets,Oilers,away,F,Kirill Marchenko R,17:40,0,2,1,0,0,0,1,2,0/0
Blue Jackets,Oilers,away,F,Sean Monahan C,17:13,2,0,1,3,1,0,0,0,4/13
Blue Jackets,Oilers,away,F,Mathieu Olivier R,14:12,1,0,1,2,2,0,1,0,0/0
Blue Jackets,Oilers,away,F,Mikael Pyyhtia L,10:42,1,0,3,2,0,0,0,2,0/0
Blue Jackets,Oilers,away,F,Cole Sillinger C,16:33,1,2,3,2,0,2,0,0,3/6
Blue Jackets,Oilers,away,F,James van Riemsdyk L,12:57,0,1,1,1,0,0,0,0,0/1
Blue Jackets,Oilers,away,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Oilers,away,F,Jake Christiansen D,15:41,0,0,1,1,1,2,0,0,0/0
Blue Jackets,Oilers,away,F,Jordan Harris D,14:05,0,0,1,0,4,0,0,1,0/0
Blue Jackets,Oilers,away,F,Jack Johnson D,16:28,0,0,2,1,1,0,1,3,0/0
Blue Jackets,Oilers,away,F,Ivan Provorov D,25:36,0,0,2,0,1,2,0,2,0/0
Blue Jackets,Oilers,away,F,Damon Severson D,24:45,0,0,2,1,0,2,0,1,0/0
Blue Jackets,Oilers,away,F,Zach Werenski D,20:20,0,1,2,3,1,0,0,2,0/0
Blue Jackets,Oilers,away,F,Zachary Aston-Reese C,13:49,0,0,0,1,0,0,0,0,0/1
Blue Jackets,Oilers,away,F,Yegor Chinakhov R,17:16,0,1,1,1,1,0,0,1,0/0
Blue Jackets,Oilers,away,F,Justin Danforth R,17:17,0,0,0,5,0,0,1,0,4/13
Blue Jackets,Oilers,away,F,Adam Fantilli C,10:37,1,1,3,1,0,0,0,1,4/9
Blue Jackets,Oilers,away,F,Sean Kuraly C,13:13,0,0,1,0,0,2,0,1,6/12
Blue Jackets,Oilers,away,F,Kevin Labanc R,11:13,0,0,0,1,2,0,0,0,0/0
Blue Jackets,Oilers,away,F,Kirill Marchenko R,17:40,0,2,1,0,0,0,1,2,0/0
Blue Jackets,Oilers,away,F,Sean Monahan C,17:13,2,0,1,3,1,0,0,0,4/13
Blue Jackets,Oilers,away,F,Mathieu Olivier R,14:12,1,0,1,2,2,0,1,0,0/0
Blue Jackets,Oilers,away,F,Mikael Pyyhtia L,10:42,1,0,3,2,0,0,0,2,0/0
Blue Jackets,Oilers,away,F,Cole Sillinger C,16:33,1,2,3,2,0,2,0,0,3/6
Blue Jackets,Oilers,away,F,James van Riemsdyk L,12:57,0,1,1,1,0,0,0,0,0/1
Blue Jackets,Oilers,away,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Oilers,away,F,Jake Christiansen D,15:41,0,0,1,1,1,2,0,0,0/0
Blue Jackets,Oilers,away,F,Jordan Harris D,14:05,0,0,1,0,4,0,0,1,0/0
Blue Jackets,Oilers,away,F,Jack Johnson D,16:28,0,0,2,1,1,0,1,3,0/0
Blue Jackets,Oilers,away,F,Ivan Provorov D,25:36,0,0,2,0,1,2,0,2,0/0
Blue Jackets,Oilers,away,F,Damon Severson D,24:45,0,0,2,1,0,2,0,1,0/0
Blue Jackets,Oilers,away,F,Zach Werenski D,20:20,0,1,2,3,1,0,0,2,0/0
