team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blue Jackets,Islanders,away,D,Jake Christiansen D,20:59,0,0,1,1,3,0,0,1,0/0
Blue Jackets,Islanders,away,D,Jordan Harris D,13:20,0,0,0,0,0,0,0,0,0/0
Blue Jackets,Islanders,away,D,Jack Johnson D,16:09,0,0,0,1,1,0,0,1,0/0
Blue Jackets,Islanders,away,D,Ivan Provorov D,23:41,0,1,1,2,1,0,0,3,0/0
Blue Jackets,Islanders,away,D,Damon Severson D,22:23,1,0,2,2,3,0,1,0,0/0
Blue Jackets,Islanders,away,D,Zach Werenski D,23:36,0,0,0,2,1,0,1,0,0/0
Blue Jackets,Islanders,away,D,Jake Christiansen D,20:59,0,0,1,1,3,0,0,1,0/0
Blue Jackets,Islanders,away,D,Jordan Harris D,13:20,0,0,0,0,0,0,0,0,0/0
Blue Jackets,Islanders,away,D,Jack Johnson D,16:09,0,0,0,1,1,0,0,1,0/0
Blue Jackets,Islanders,away,D,Ivan Provorov D,23:41,0,1,1,2,1,0,0,3,0/0
Blue Jackets,Islanders,away,D,Damon Severson D,22:23,1,0,2,2,3,0,1,0,0/0
Blue Jackets,Islanders,away,D,Zach Werenski D,23:36,0,0,0,2,1,0,1,0,0/0
Blue Jackets,Islanders,away,F,Zachary Aston-Reese C,14:54,0,0,0,1,0,0,0,0,0/0
Blue Jackets,Islanders,away,F,Yegor Chinakhov R,16:24,0,0,0,2,1,0,0,2,0/0
Blue Jackets,Islanders,away,F,Justin Danforth R,16:39,1,0,1,2,2,2,0,0,4/11
Blue Jackets,Islanders,away,F,Adam Fantilli C,16:29,0,0,0,0,0,0,1,3,4/9
Blue Jackets,Islanders,away,F,Sean Kuraly C,09:31,0,1,1,1,1,0,0,1,3/6
Blue Jackets,Islanders,away,F,Kevin Labanc R,12:10,0,1,1,2,1,0,0,0,0/0
Blue Jackets,Islanders,away,F,Kirill Marchenko R,15:52,0,0,0,1,0,0,0,1,0/1
Blue Jackets,Islanders,away,F,Sean Monahan C,18:58,0,0,1,4,1,0,0,1,6/15
Blue Jackets,Islanders,away,F,Mathieu Olivier R,16:32,0,0,0,2,3,0,0,1,0/1
Blue Jackets,Islanders,away,F,Mikael Pyyhtia L,14:09,0,0,0,0,0,0,0,0,0/0
Blue Jackets,Islanders,away,F,Cole Sillinger C,16:29,0,1,1,2,1,0,0,2,1/2
Blue Jackets,Islanders,away,F,James van Riemsdyk L,09:45,0,0,1,1,1,0,0,0,0/0
Blue Jackets,Islanders,away,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Islanders,away,F,Jake Christiansen D,20:59,0,0,1,1,3,0,0,1,0/0
Blue Jackets,Islanders,away,F,Jordan Harris D,13:20,0,0,0,0,0,0,0,0,0/0
Blue Jackets,Islanders,away,F,Jack Johnson D,16:09,0,0,0,1,1,0,0,1,0/0
Blue Jackets,Islanders,away,F,Ivan Provorov D,23:41,0,1,1,2,1,0,0,3,0/0
Blue Jackets,Islanders,away,F,Damon Severson D,22:23,1,0,2,2,3,0,1,0,0/0
Blue Jackets,Islanders,away,F,Zach Werenski D,23:36,0,0,0,2,1,0,1,0,0/0
Blue Jackets,Islanders,away,F,Zachary Aston-Reese C,14:54,0,0,0,1,0,0,0,0,0/0
Blue Jackets,Islanders,away,F,Yegor Chinakhov R,16:24,0,0,0,2,1,0,0,2,0/0
Blue Jackets,Islanders,away,F,Justin Danforth R,16:39,1,0,1,2,2,2,0,0,4/11
Blue Jackets,Islanders,away,F,Adam Fantilli C,16:29,0,0,0,0,0,0,1,3,4/9
Blue Jackets,Islanders,away,F,Sean Kuraly C,09:31,0,1,1,1,1,0,0,1,3/6
Blue Jackets,Islanders,away,F,Kevin Labanc R,12:10,0,1,1,2,1,0,0,0,0/0
Blue Jackets,Islanders,away,F,Kirill Marchenko R,15:52,0,0,0,1,0,0,0,1,0/1
Blue Jackets,Islanders,away,F,Sean Monahan C,18:58,0,0,1,4,1,0,0,1,6/15
Blue Jackets,Islanders,away,F,Mathieu Olivier R,16:32,0,0,0,2,3,0,0,1,0/1
Blue Jackets,Islanders,away,F,Mikael Pyyhtia L,14:09,0,0,0,0,0,0,0,0,0/0
Blue Jackets,Islanders,away,F,Cole Sillinger C,16:29,0,1,1,2,1,0,0,2,1/2
Blue Jackets,Islanders,away,F,James van Riemsdyk L,09:45,0,0,1,1,1,0,0,0,0/0
Blue Jackets,Islanders,away,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Islanders,away,F,Jake Christiansen D,20:59,0,0,1,1,3,0,0,1,0/0
Blue Jackets,Islanders,away,F,Jordan Harris D,13:20,0,0,0,0,0,0,0,0,0/0
Blue Jackets,Islanders,away,F,Jack Johnson D,16:09,0,0,0,1,1,0,0,1,0/0
Blue Jackets,Islanders,away,F,Ivan Provorov D,23:41,0,1,1,2,1,0,0,3,0/0
Blue Jackets,Islanders,away,F,Damon Severson D,22:23,1,0,2,2,3,0,1,0,0/0
Blue Jackets,Islanders,away,F,Zach Werenski D,23:36,0,0,0,2,1,0,1,0,0/0
