team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blue Jackets,Jets,away,D,Jake Christiansen D,18:09,0,0,-3,2,1,0,1,0,0/0
Blue Jackets,Jets,away,D,Jordan Harris D,12:52,0,0,-3,0,0,0,0,0,0/0
Blue Jackets,Jets,away,D,Jack Johnson D,16:07,0,0,-1,0,1,0,0,1,0/0
Blue Jackets,Jets,away,D,Ivan Provorov D,24:33,0,0,0,1,1,0,1,2,0/0
Blue Jackets,Jets,away,D,Damon Severson D,21:40,0,0,-2,1,2,0,1,6,0/0
Blue Jackets,Jets,away,D,Zach Werenski D,25:06,0,1,1,4,1,0,0,3,0/0
Blue Jackets,Jets,away,D,Jake Christiansen D,18:09,0,0,-3,2,1,0,1,0,0/0
Blue Jackets,Jets,away,D,Jordan Harris D,12:52,0,0,-3,0,0,0,0,0,0/0
Blue Jackets,Jets,away,D,Jack Johnson D,16:07,0,0,-1,0,1,0,0,1,0/0
Blue Jackets,Jets,away,D,Ivan Provorov D,24:33,0,0,0,1,1,0,1,2,0/0
Blue Jackets,Jets,away,D,Damon Severson D,21:40,0,0,-2,1,2,0,1,6,0/0
Blue Jackets,Jets,away,D,Zach Werenski D,25:06,0,1,1,4,1,0,0,3,0/0
Blue Jackets,Jets,away,F,Zachary Aston-Reese C,12:48,0,0,-2,0,0,0,0,1,0/0
Blue Jackets,Jets,away,F,Yegor Chinakhov R,16:14,0,0,0,0,0,0,0,0,0/0
Blue Jackets,Jets,away,F,Justin Danforth R,15:46,0,0,-3,2,0,0,0,0,11/18
Blue Jackets,Jets,away,F,Adam Fantilli C,14:10,0,0,-1,3,1,0,1,0,6/9
Blue Jackets,Jets,away,F,Sean Kuraly C,13:00,1,0,0,1,2,0,0,1,3/7
Blue Jackets,Jets,away,F,Kirill Marchenko R,16:08,0,1,0,1,0,0,1,0,0/2
Blue Jackets,Jets,away,F,Sean Monahan C,16:12,1,0,0,3,0,0,0,1,6/15
Blue Jackets,Jets,away,F,Mathieu Olivier R,14:16,0,0,0,0,2,2,0,0,2/2
Blue Jackets,Jets,away,F,Mikael Pyyhtia L,15:08,0,0,-1,1,1,0,0,1,0/0
Blue Jackets,Jets,away,F,Cole Sillinger C,17:14,0,0,-1,2,2,0,0,0,2/5
Blue Jackets,Jets,away,F,Dmitri Voronkov L,13:24,0,0,-3,1,1,2,0,1,0/0
Blue Jackets,Jets,away,F,James van Riemsdyk L,14:18,0,1,-1,0,0,0,0,0,0/0
Blue Jackets,Jets,away,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Jets,away,F,Jake Christiansen D,18:09,0,0,-3,2,1,0,1,0,0/0
Blue Jackets,Jets,away,F,Jordan Harris D,12:52,0,0,-3,0,0,0,0,0,0/0
Blue Jackets,Jets,away,F,Jack Johnson D,16:07,0,0,-1,0,1,0,0,1,0/0
Blue Jackets,Jets,away,F,Ivan Provorov D,24:33,0,0,0,1,1,0,1,2,0/0
Blue Jackets,Jets,away,F,Damon Severson D,21:40,0,0,-2,1,2,0,1,6,0/0
Blue Jackets,Jets,away,F,Zach Werenski D,25:06,0,1,1,4,1,0,0,3,0/0
Blue Jackets,Jets,away,F,Zachary Aston-Reese C,12:48,0,0,-2,0,0,0,0,1,0/0
Blue Jackets,Jets,away,F,Yegor Chinakhov R,16:14,0,0,0,0,0,0,0,0,0/0
Blue Jackets,Jets,away,F,Justin Danforth R,15:46,0,0,-3,2,0,0,0,0,11/18
Blue Jackets,Jets,away,F,Adam Fantilli C,14:10,0,0,-1,3,1,0,1,0,6/9
Blue Jackets,Jets,away,F,Sean Kuraly C,13:00,1,0,0,1,2,0,0,1,3/7
Blue Jackets,Jets,away,F,Kirill Marchenko R,16:08,0,1,0,1,0,0,1,0,0/2
Blue Jackets,Jets,away,F,Sean Monahan C,16:12,1,0,0,3,0,0,0,1,6/15
Blue Jackets,Jets,away,F,Mathieu Olivier R,14:16,0,0,0,0,2,2,0,0,2/2
Blue Jackets,Jets,away,F,Mikael Pyyhtia L,15:08,0,0,-1,1,1,0,0,1,0/0
Blue Jackets,Jets,away,F,Cole Sillinger C,17:14,0,0,-1,2,2,0,0,0,2/5
Blue Jackets,Jets,away,F,Dmitri Voronkov L,13:24,0,0,-3,1,1,2,0,1,0/0
Blue Jackets,Jets,away,F,James van Riemsdyk L,14:18,0,1,-1,0,0,0,0,0,0/0
Blue Jackets,Jets,away,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Jets,away,F,Jake Christiansen D,18:09,0,0,-3,2,1,0,1,0,0/0
Blue Jackets,Jets,away,F,Jordan Harris D,12:52,0,0,-3,0,0,0,0,0,0/0
Blue Jackets,Jets,away,F,Jack Johnson D,16:07,0,0,-1,0,1,0,0,1,0/0
Blue Jackets,Jets,away,F,Ivan Provorov D,24:33,0,0,0,1,1,0,1,2,0/0
Blue Jackets,Jets,away,F,Damon Severson D,21:40,0,0,-2,1,2,0,1,6,0/0
Blue Jackets,Jets,away,F,Zach Werenski D,25:06,0,1,1,4,1,0,0,3,0/0
