team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blue Jackets,Penguins,away,D,Jake Christiansen D,16:42,0,1,1,1,4,2,0,0,0/0
Blue Jackets,Penguins,away,D,Dante Fabbro D,16:16,0,1,1,2,0,2,1,2,0/0
Blue Jackets,Penguins,away,D,Jordan Harris D,15:12,0,0,1,1,3,0,0,0,0/0
Blue Jackets,Penguins,away,D,Ivan Provorov D,22:11,0,1,3,1,2,0,0,0,0/0
Blue Jackets,Penguins,away,D,Damon Severson D,22:41,1,0,3,3,2,0,0,1,0/0
Blue Jackets,Penguins,away,D,Zach Werenski D,22:22,1,1,0,4,4,0,0,1,0/0
Blue Jackets,Penguins,away,D,Jake Christiansen D,16:42,0,1,1,1,4,2,0,0,0/0
Blue Jackets,Penguins,away,D,Dante Fabbro D,16:16,0,1,1,2,0,2,1,2,0/0
Blue Jackets,Penguins,away,D,Jordan Harris D,15:12,0,0,1,1,3,0,0,0,0/0
Blue Jackets,Penguins,away,D,Ivan Provorov D,22:11,0,1,3,1,2,0,0,0,0/0
Blue Jackets,Penguins,away,D,Damon Severson D,22:41,1,0,3,3,2,0,0,1,0/0
Blue Jackets,Penguins,away,D,Zach Werenski D,22:22,1,1,0,4,4,0,0,1,0/0
Blue Jackets,Penguins,away,F,Zachary Aston-Reese C,13:21,1,0,2,4,1,0,0,1,0/0
Blue Jackets,Penguins,away,F,Yegor Chinakhov R,15:07,0,1,-1,0,0,2,0,1,0/0
Blue Jackets,Penguins,away,F,Justin Danforth R,18:52,0,1,2,5,5,0,0,1,9/15
Blue Jackets,Penguins,away,F,Adam Fantilli C,15:34,0,1,-1,1,0,0,2,1,4/7
Blue Jackets,Penguins,away,F,Sean Kuraly C,10:57,0,0,1,1,2,2,0,0,4/9
Blue Jackets,Penguins,away,F,Kevin Labanc R,11:18,0,1,1,0,1,0,0,0,0/1
Blue Jackets,Penguins,away,F,Kirill Marchenko R,16:34,0,1,2,3,0,0,0,3,0/0
Blue Jackets,Penguins,away,F,Sean Monahan C,19:09,0,2,2,2,0,0,0,3,12/20
Blue Jackets,Penguins,away,F,Mathieu Olivier R,11:23,1,0,1,2,2,0,0,0,0/1
Blue Jackets,Penguins,away,F,Mikael Pyyhtia L,13:09,0,0,0,0,1,0,0,1,0/0
Blue Jackets,Penguins,away,F,Cole Sillinger C,17:18,1,0,0,4,1,0,0,0,2/6
Blue Jackets,Penguins,away,F,Dmitri Voronkov L,14:21,1,1,2,5,1,0,0,1,0/0
Blue Jackets,Penguins,away,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Penguins,away,F,Jake Christiansen D,16:42,0,1,1,1,4,2,0,0,0/0
Blue Jackets,Penguins,away,F,Dante Fabbro D,16:16,0,1,1,2,0,2,1,2,0/0
Blue Jackets,Penguins,away,F,Jordan Harris D,15:12,0,0,1,1,3,0,0,0,0/0
Blue Jackets,Penguins,away,F,Ivan Provorov D,22:11,0,1,3,1,2,0,0,0,0/0
Blue Jackets,Penguins,away,F,Damon Severson D,22:41,1,0,3,3,2,0,0,1,0/0
Blue Jackets,Penguins,away,F,Zach Werenski D,22:22,1,1,0,4,4,0,0,1,0/0
Blue Jackets,Penguins,away,F,Zachary Aston-Reese C,13:21,1,0,2,4,1,0,0,1,0/0
Blue Jackets,Penguins,away,F,Yegor Chinakhov R,15:07,0,1,-1,0,0,2,0,1,0/0
Blue Jackets,Penguins,away,F,Justin Danforth R,18:52,0,1,2,5,5,0,0,1,9/15
Blue Jackets,Penguins,away,F,Adam Fantilli C,15:34,0,1,-1,1,0,0,2,1,4/7
Blue Jackets,Penguins,away,F,Sean Kuraly C,10:57,0,0,1,1,2,2,0,0,4/9
Blue Jackets,Penguins,away,F,Kevin Labanc R,11:18,0,1,1,0,1,0,0,0,0/1
Blue Jackets,Penguins,away,F,Kirill Marchenko R,16:34,0,1,2,3,0,0,0,3,0/0
Blue Jackets,Penguins,away,F,Sean Monahan C,19:09,0,2,2,2,0,0,0,3,12/20
Blue Jackets,Penguins,away,F,Mathieu Olivier R,11:23,1,0,1,2,2,0,0,0,0/1
Blue Jackets,Penguins,away,F,Mikael Pyyhtia L,13:09,0,0,0,0,1,0,0,1,0/0
Blue Jackets,Penguins,away,F,Cole Sillinger C,17:18,1,0,0,4,1,0,0,0,2/6
Blue Jackets,Penguins,away,F,Dmitri Voronkov L,14:21,1,1,2,5,1,0,0,1,0/0
Blue Jackets,Penguins,away,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Penguins,away,F,Jake Christiansen D,16:42,0,1,1,1,4,2,0,0,0/0
Blue Jackets,Penguins,away,F,Dante Fabbro D,16:16,0,1,1,2,0,2,1,2,0/0
Blue Jackets,Penguins,away,F,Jordan Harris D,15:12,0,0,1,1,3,0,0,0,0/0
Blue Jackets,Penguins,away,F,Ivan Provorov D,22:11,0,1,3,1,2,0,0,0,0/0
Blue Jackets,Penguins,away,F,Damon Severson D,22:41,1,0,3,3,2,0,0,1,0/0
Blue Jackets,Penguins,away,F,Zach Werenski D,22:22,1,1,0,4,4,0,0,1,0/0
