team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blue Jackets,Canadiens,home,D,Jake Christiansen D,13:53,0,0,-1,1,2,0,0,2,0/0
Blue Jackets,Canadiens,home,D,Dante Fabbro D,22:02,1,0,0,4,0,0,0,1,0/0
Blue Jackets,Canadiens,home,D,Jordan Harris D,13:25,0,0,-1,0,0,0,0,0,0/0
Blue Jackets,Canadiens,home,D,Ivan Provorov D,20:56,0,0,-2,1,1,0,1,2,0/0
Blue Jackets,Canadiens,home,D,Damon Severson D,20:35,0,0,-2,2,1,2,1,2,0/0
Blue Jackets,Canadiens,home,D,Zach Werenski D,26:00,0,1,0,1,2,0,0,1,0/0
Blue Jackets,Canadiens,home,D,Jake Christiansen D,13:53,0,0,-1,1,2,0,0,2,0/0
Blue Jackets,Canadiens,home,D,Dante Fabbro D,22:02,1,0,0,4,0,0,0,1,0/0
Blue Jackets,Canadiens,home,D,Jordan Harris D,13:25,0,0,-1,0,0,0,0,0,0/0
Blue Jackets,Canadiens,home,D,Ivan Provorov D,20:56,0,0,-2,1,1,0,1,2,0/0
Blue Jackets,Canadiens,home,D,Damon Severson D,20:35,0,0,-2,2,1,2,1,2,0/0
Blue Jackets,Canadiens,home,D,Zach Werenski D,26:00,0,1,0,1,2,0,0,1,0/0
Blue Jackets,Canadiens,home,F,Zachary Aston-Reese C,12:09,0,0,0,2,1,0,0,1,1/1
Blue Jackets,Canadiens,home,F,Yegor Chinakhov R,14:12,0,0,-1,0,2,0,0,0,0/0
Blue Jackets,Canadiens,home,F,Justin Danforth R,14:53,0,0,-2,1,0,0,0,0,7/12
Blue Jackets,Canadiens,home,F,Adam Fantilli C,17:20,0,0,-1,3,0,2,0,1,2/9
Blue Jackets,Canadiens,home,F,Sean Kuraly C,10:55,0,0,0,3,0,0,1,0,3/7
Blue Jackets,Canadiens,home,F,Kevin Labanc R,10:53,0,1,0,0,0,2,1,1,0/0
Blue Jackets,Canadiens,home,F,Kirill Marchenko R,19:28,0,0,-1,2,0,0,0,2,1/1
Blue Jackets,Canadiens,home,F,Sean Monahan C,20:50,0,0,0,1,0,2,0,2,10/20
Blue Jackets,Canadiens,home,F,Mathieu Olivier R,10:32,0,0,0,1,3,5,0,0,0/0
Blue Jackets,Canadiens,home,F,Mikael Pyyhtia L,13:46,0,0,-1,1,0,0,0,1,0/0
Blue Jackets,Canadiens,home,F,Cole Sillinger C,15:54,0,0,-2,1,0,0,0,0,3/4
Blue Jackets,Canadiens,home,F,Dmitri Voronkov L,15:53,0,0,0,2,1,0,1,2,0/0
Blue Jackets,Canadiens,home,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Canadiens,home,F,Jake Christiansen D,13:53,0,0,-1,1,2,0,0,2,0/0
Blue Jackets,Canadiens,home,F,Dante Fabbro D,22:02,1,0,0,4,0,0,0,1,0/0
Blue Jackets,Canadiens,home,F,Jordan Harris D,13:25,0,0,-1,0,0,0,0,0,0/0
Blue Jackets,Canadiens,home,F,Ivan Provorov D,20:56,0,0,-2,1,1,0,1,2,0/0
Blue Jackets,Canadiens,home,F,Damon Severson D,20:35,0,0,-2,2,1,2,1,2,0/0
Blue Jackets,Canadiens,home,F,Zach Werenski D,26:00,0,1,0,1,2,0,0,1,0/0
Blue Jackets,Canadiens,home,F,Zachary Aston-Reese C,12:09,0,0,0,2,1,0,0,1,1/1
Blue Jackets,Canadiens,home,F,Yegor Chinakhov R,14:12,0,0,-1,0,2,0,0,0,0/0
Blue Jackets,Canadiens,home,F,Justin Danforth R,14:53,0,0,-2,1,0,0,0,0,7/12
Blue Jackets,Canadiens,home,F,Adam Fantilli C,17:20,0,0,-1,3,0,2,0,1,2/9
Blue Jackets,Canadiens,home,F,Sean Kuraly C,10:55,0,0,0,3,0,0,1,0,3/7
Blue Jackets,Canadiens,home,F,Kevin Labanc R,10:53,0,1,0,0,0,2,1,1,0/0
Blue Jackets,Canadiens,home,F,Kirill Marchenko R,19:28,0,0,-1,2,0,0,0,2,1/1
Blue Jackets,Canadiens,home,F,Sean Monahan C,20:50,0,0,0,1,0,2,0,2,10/20
Blue Jackets,Canadiens,home,F,Mathieu Olivier R,10:32,0,0,0,1,3,5,0,0,0/0
Blue Jackets,Canadiens,home,F,Mikael Pyyhtia L,13:46,0,0,-1,1,0,0,0,1,0/0
Blue Jackets,Canadiens,home,F,Cole Sillinger C,15:54,0,0,-2,1,0,0,0,0,3/4
Blue Jackets,Canadiens,home,F,Dmitri Voronkov L,15:53,0,0,0,2,1,0,1,2,0/0
Blue Jackets,Canadiens,home,F,Blue Jackets Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJake
Blue Jackets,Canadiens,home,F,Jake Christiansen D,13:53,0,0,-1,1,2,0,0,2,0/0
Blue Jackets,Canadiens,home,F,Dante Fabbro D,22:02,1,0,0,4,0,0,0,1,0/0
Blue Jackets,Canadiens,home,F,Jordan Harris D,13:25,0,0,-1,0,0,0,0,0,0/0
Blue Jackets,Canadiens,home,F,Ivan Provorov D,20:56,0,0,-2,1,1,0,1,2,0/0
Blue Jackets,Canadiens,home,F,Damon Severson D,20:35,0,0,-2,2,1,2,1,2,0/0
Blue Jackets,Canadiens,home,F,Zach Werenski D,26:00,0,1,0,1,2,0,0,1,0/0
