game_id,game_date,team,opponent,home_away,team_score,opponent_score,shots_for,shots_against,result,goals_for,goals_against,games_played,wins,losses,ties,points,cum_goals_for,cum_goals_against,cum_shots_for,cum_shots_against,avg_goals_for,avg_goals_against,avg_shots_for,avg_shots_against,points_pct
2022020006,2022-10-12,CBJ,CAR,away,1,4,32,43,L,1,4,1,0,1,0,0,1,4,32,43,1.0,4.0,32.0,43.0,0.0
2022020021,2022-10-14,CBJ,TBL,home,2,5,28,39,L,2,5,2,0,2,0,0,3,9,60,82,1.5,4.5,30.0,41.0,0.0
2022020033,2022-10-15,CBJ,STL,away,2,5,25,25,L,2,5,3,0,3,0,0,5,14,85,107,1.67,4.67,28.33,35.67,0.0
2022020050,2022-10-18,CBJ,VAN,home,4,3,33,35,W,4,3,4,1,3,0,2,9,17,118,142,2.25,4.25,29.5,35.5,0.25
2022020063,2022-10-20,CBJ,NSH,home,5,3,42,26,W,5,3,5,2,3,0,4,14,20,160,168,2.8,4.0,32.0,33.6,0.4
2022020081,2022-10-22,CBJ,PIT,home,3,6,32,39,L,3,6,6,2,4,0,4,17,26,192,207,2.83,4.33,32.0,34.5,0.333
2022020089,2022-10-23,CBJ,NYR,away,5,1,21,31,W,5,1,7,3,4,0,6,22,27,213,238,3.14,3.86,30.43,34.0,0.429
2022020098,2022-10-25,CBJ,ARI,home,3,6,33,19,L,3,6,8,3,5,0,6,25,33,246,257,3.12,4.12,30.75,32.12,0.375
2022020122,2022-10-28,CBJ,BOS,home,0,4,30,35,L,0,4,9,3,6,0,6,25,37,276,292,2.78,4.11,30.67,32.44,0.333
2022020139,2022-10-30,CBJ,NJD,away,1,7,21,53,L,1,7,10,3,7,0,6,26,44,297,345,2.6,4.4,29.7,34.5,0.3
2022020175,2022-11-04,CBJ,COL,away,3,6,39,36,L,3,6,11,3,8,0,6,29,50,336,381,2.64,4.55,30.55,34.64,0.273
2022020185,2022-11-05,CBJ,COL,home,1,5,32,45,L,1,5,12,3,9,0,6,30,55,368,426,2.5,4.58,30.67,35.5,0.25
2022020214,2022-11-10,CBJ,PHI,home,5,2,29,34,W,5,2,13,4,9,0,8,35,57,397,460,2.69,4.38,30.54,35.38,0.308
2022020231,2022-11-12,CBJ,NYI,away,3,4,29,46,L,3,4,14,4,10,0,8,38,61,426,506,2.71,4.36,30.43,36.14,0.286
2022020250,2022-11-15,CBJ,PHI,home,5,4,33,37,W,5,4,15,5,10,0,10,43,65,459,543,2.87,4.33,30.6,36.2,0.333
2022020263,2022-11-17,CBJ,MTL,home,6,4,29,42,W,6,4,16,6,10,0,12,49,69,488,585,3.06,4.31,30.5,36.56,0.375
2022020279,2022-11-19,CBJ,DET,home,1,6,28,37,L,1,6,17,6,11,0,12,50,75,516,622,2.94,4.41,30.35,36.59,0.353
2022020289,2022-11-20,CBJ,FLA,home,5,3,23,50,W,5,3,18,7,11,0,14,55,78,539,672,3.06,4.33,29.94,37.33,0.389
2022020306,2022-11-23,CBJ,MTL,home,1,3,31,29,L,1,3,19,7,12,0,14,56,81,570,701,2.95,4.26,30.0,36.89,0.368
2022020326,2022-11-25,CBJ,NYI,home,2,3,26,24,L,2,3,20,7,13,0,14,58,84,596,725,2.9,4.2,29.8,36.25,0.35
2022020349,2022-11-28,CBJ,VGK,home,2,3,28,36,L,2,3,21,7,14,0,14,60,87,624,761,2.86,4.14,29.71,36.24,0.333
2022020338,2023-01-17,CBJ,NSH,away,1,2,40,28,L,1,2,22,7,15,0,14,61,89,664,789,2.77,4.05,30.18,35.86,0.318
2023020011,2023-10-12,CBJ,PHI,home,2,4,33,37,L,2,4,23,7,16,0,14,63,93,697,826,2.74,4.04,30.3,35.91,0.304
2023020022,2023-10-14,CBJ,NYR,home,5,3,21,42,W,5,3,24,8,16,0,16,68,96,718,868,2.83,4.0,29.92,36.17,0.333
2023020035,2023-10-16,CBJ,DET,home,0,4,23,28,L,0,4,25,8,17,0,16,68,100,741,896,2.72,4.0,29.64,35.84,0.32
2023020063,2023-10-20,CBJ,CGY,home,3,1,29,37,W,3,1,26,9,17,0,18,71,101,770,933,2.73,3.88,29.62,35.88,0.346
2023020073,2023-10-21,CBJ,MIN,away,5,4,54,28,W,5,4,27,10,17,0,20,76,105,824,961,2.81,3.89,30.52,35.59,0.37
2023020084,2023-10-24,CBJ,ANA,home,2,3,37,27,L,2,3,28,10,18,0,20,78,108,861,988,2.79,3.86,30.75,35.29,0.357
2023020103,2023-10-26,CBJ,MTL,away,3,4,36,29,L,3,4,29,10,19,0,20,81,112,897,1017,2.79,3.86,30.93,35.07,0.345
2023020120,2023-10-28,CBJ,NYI,home,0,2,34,34,L,0,2,30,10,20,0,20,81,114,931,1051,2.7,3.8,31.03,35.03,0.333
2023020136,2023-10-30,CBJ,DAL,away,3,5,25,33,L,3,5,31,10,21,0,20,84,119,956,1084,2.71,3.84,30.84,34.97,0.323
2023020146,2023-11-02,CBJ,TBL,home,4,2,28,29,W,4,2,32,11,21,0,22,88,121,984,1113,2.75,3.78,30.75,34.78,0.344
2023020166,2023-11-04,CBJ,WSH,away,1,2,35,27,L,1,2,33,11,22,0,22,89,123,1019,1140,2.7,3.73,30.88,34.55,0.333
2023020176,2023-11-06,CBJ,FLA,away,4,5,23,46,L,4,5,34,11,23,0,22,93,128,1042,1186,2.74,3.76,30.65,34.88,0.324
2023020194,2023-11-09,CBJ,DAL,home,2,5,29,31,L,2,5,35,11,24,0,22,95,133,1071,1217,2.71,3.8,30.6,34.77,0.314
2023020210,2023-11-11,CBJ,DET,away,4,5,22,28,L,4,5,36,11,25,0,22,99,138,1093,1245,2.75,3.83,30.36,34.58,0.306
2023020225,2023-11-12,CBJ,NYR,away,3,4,28,40,L,3,4,37,11,26,0,22,102,142,1121,1285,2.76,3.84,30.3,34.73,0.297
2023020230,2023-11-14,CBJ,PIT,home,3,5,30,41,L,3,5,38,11,27,0,22,105,147,1151,1326,2.76,3.87,30.29,34.89,0.289
2023020243,2023-11-16,CBJ,ARI,home,2,3,41,32,L,2,3,39,11,28,0,22,107,150,1192,1358,2.74,3.85,30.56,34.82,0.282
2023020263,2023-11-18,CBJ,WSH,away,3,4,36,26,L,3,4,40,11,29,0,22,110,154,1228,1384,2.75,3.85,30.7,34.6,0.275
