team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blues,Golden Knights,home,D,Philip Broberg D,19:30,0,1,1,2,0,0,2,0,0/0
Blues,Golden Knights,home,D,Justin Faulk D,25:53,0,1,0,2,3,0,0,0,0/0
Blues,Golden Knights,home,D,Pierre-Olivier Joseph D,12:39,0,0,-1,2,2,0,0,2,0/0
Blues,Golden Knights,home,D,Nick Leddy D,18:54,0,0,-2,0,0,0,2,2,0/0
Blues,Golden Knights,home,D,Colton Parayko D,20:38,0,1,-2,2,2,0,0,1,0/0
Blues,Golden Knights,home,D,Ryan Suter D,16:55,0,0,0,1,1,0,0,0,0/0
Blues,Golden Knights,home,D,Philip Broberg D,19:30,0,1,1,2,0,0,2,0,0/0
Blues,Golden Knights,home,D,Justin Faulk D,25:53,0,1,0,2,3,0,0,0,0/0
Blues,Golden Knights,home,D,Pierre-Olivier Joseph D,12:39,0,0,-1,2,2,0,0,2,0/0
Blues,Golden Knights,home,D,Nick Leddy D,18:54,0,0,-2,0,0,0,2,2,0/0
Blues,Golden Knights,home,D,Colton Parayko D,20:38,0,1,-2,2,2,0,0,1,0/0
Blues,Golden Knights,home,D,Ryan Suter D,16:55,0,0,0,1,1,0,0,0,0/0
Blues,Golden Knights,home,F,Zack Bolduc C,13:07,0,0,1,2,1,2,0,0,0/0
Blues,Golden Knights,home,F,Pavel Buchnevich L,20:39,2,1,2,4,1,0,0,1,2/10
Blues,Golden Knights,home,F,Radek Faksa C,09:21,0,0,-1,0,0,0,0,0,1/3
Blues,Golden Knights,home,F,Dylan Holloway L,14:35,0,0,0,0,2,0,1,0,3/9
Blues,Golden Knights,home,F,Mathieu Joseph R,12:55,0,0,0,0,0,0,1,1,0/0
Blues,Golden Knights,home,F,Kasperi Kapanen R,13:20,0,0,0,1,0,0,0,0,0/0
Blues,Golden Knights,home,F,Jordan Kyrou C,20:39,0,2,2,0,0,2,1,1,0/0
Blues,Golden Knights,home,F,Jake Neighbours L,19:09,0,0,-3,1,0,0,0,0,0/0
Blues,Golden Knights,home,F,Brayden Schenn C,17:21,0,0,-3,2,1,0,0,3,7/10
Blues,Golden Knights,home,F,Robert Thomas C,21:34,1,0,-2,2,0,0,2,2,15/21
Blues,Golden Knights,home,F,Alexey Toropchenko R,09:59,0,0,-1,1,0,0,1,0,0/0
Blues,Golden Knights,home,F,Nathan Walker L,09:30,0,0,-1,0,0,0,0,0,0/0
Blues,Golden Knights,home,F,Blues Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOPhilip
Blues,Golden Knights,home,F,Philip Broberg D,19:30,0,1,1,2,0,0,2,0,0/0
Blues,Golden Knights,home,F,Justin Faulk D,25:53,0,1,0,2,3,0,0,0,0/0
Blues,Golden Knights,home,F,Pierre-Olivier Joseph D,12:39,0,0,-1,2,2,0,0,2,0/0
Blues,Golden Knights,home,F,Nick Leddy D,18:54,0,0,-2,0,0,0,2,2,0/0
Blues,Golden Knights,home,F,Colton Parayko D,20:38,0,1,-2,2,2,0,0,1,0/0
Blues,Golden Knights,home,F,Ryan Suter D,16:55,0,0,0,1,1,0,0,0,0/0
Blues,Golden Knights,home,F,Zack Bolduc C,13:07,0,0,1,2,1,2,0,0,0/0
Blues,Golden Knights,home,F,Pavel Buchnevich L,20:39,2,1,2,4,1,0,0,1,2/10
Blues,Golden Knights,home,F,Radek Faksa C,09:21,0,0,-1,0,0,0,0,0,1/3
Blues,Golden Knights,home,F,Dylan Holloway L,14:35,0,0,0,0,2,0,1,0,3/9
Blues,Golden Knights,home,F,Mathieu Joseph R,12:55,0,0,0,0,0,0,1,1,0/0
Blues,Golden Knights,home,F,Kasperi Kapanen R,13:20,0,0,0,1,0,0,0,0,0/0
Blues,Golden Knights,home,F,Jordan Kyrou C,20:39,0,2,2,0,0,2,1,1,0/0
Blues,Golden Knights,home,F,Jake Neighbours L,19:09,0,0,-3,1,0,0,0,0,0/0
Blues,Golden Knights,home,F,Brayden Schenn C,17:21,0,0,-3,2,1,0,0,3,7/10
Blues,Golden Knights,home,F,Robert Thomas C,21:34,1,0,-2,2,0,0,2,2,15/21
Blues,Golden Knights,home,F,Alexey Toropchenko R,09:59,0,0,-1,1,0,0,1,0,0/0
Blues,Golden Knights,home,F,Nathan Walker L,09:30,0,0,-1,0,0,0,0,0,0/0
Blues,Golden Knights,home,F,Blues Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOPhilip
Blues,Golden Knights,home,F,Philip Broberg D,19:30,0,1,1,2,0,0,2,0,0/0
Blues,Golden Knights,home,F,Justin Faulk D,25:53,0,1,0,2,3,0,0,0,0/0
Blues,Golden Knights,home,F,Pierre-Olivier Joseph D,12:39,0,0,-1,2,2,0,0,2,0/0
Blues,Golden Knights,home,F,Nick Leddy D,18:54,0,0,-2,0,0,0,2,2,0/0
Blues,Golden Knights,home,F,Colton Parayko D,20:38,0,1,-2,2,2,0,0,1,0/0
Blues,Golden Knights,home,F,Ryan Suter D,16:55,0,0,0,1,1,0,0,0,0/0
