team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blues,Senators,home,D,Philip Broberg D,24:39,0,1,0,1,1,2,1,3,0/0
Blues,Senators,home,D,Justin Faulk D,23:06,0,0,-2,1,0,0,0,3,0/0
Blues,Senators,home,D,Pierre-Olivier Joseph D,13:56,0,0,-4,0,2,0,0,3,0/0
Blues,Senators,home,D,Matthew Kessel D,10:40,0,0,-2,0,0,4,0,2,0/0
Blues,Senators,home,D,Colton Parayko D,20:25,0,0,-2,1,4,0,1,2,0/0
Blues,Senators,home,D,Ryan Suter D,23:09,0,0,-2,1,1,0,0,1,0/0
Blues,Senators,home,D,Philip Broberg D,24:39,0,1,0,1,1,2,1,3,0/0
Blues,Senators,home,D,Justin Faulk D,23:06,0,0,-2,1,0,0,0,3,0/0
Blues,Senators,home,D,Pierre-Olivier Joseph D,13:56,0,0,-4,0,2,0,0,3,0/0
Blues,Senators,home,D,Matthew Kessel D,10:40,0,0,-2,0,0,4,0,2,0/0
Blues,Senators,home,D,Colton Parayko D,20:25,0,0,-2,1,4,0,1,2,0/0
Blues,Senators,home,D,Ryan Suter D,23:09,0,0,-2,1,1,0,0,1,0/0
Blues,Senators,home,F,Zack Bolduc C,17:43,0,0,-1,2,1,0,0,2,1/2
Blues,Senators,home,F,Pavel Buchnevich L,16:51,0,0,-2,0,2,0,0,1,1/9
Blues,Senators,home,F,Radek Faksa C,13:16,0,0,-1,1,1,0,0,0,6/10
Blues,Senators,home,F,Dylan Holloway L,17:21,1,0,-1,3,0,2,1,1,4/11
Blues,Senators,home,F,Kasperi Kapanen R,06:37,0,0,0,1,0,0,0,0,0/0
Blues,Senators,home,F,Jordan Kyrou C,16:41,0,0,-2,3,0,0,1,1,0/1
Blues,Senators,home,F,Jake Neighbours L,16:13,0,0,-3,1,0,0,0,0,0/0
Blues,Senators,home,F,Brandon Saad L,16:28,0,0,-3,3,0,2,0,0,0/0
Blues,Senators,home,F,Brayden Schenn C,16:15,0,0,-2,2,1,0,0,1,5/14
Blues,Senators,home,F,Oskar Sundqvist C,13:29,0,0,-1,0,0,0,0,1,7/10
Blues,Senators,home,F,Alexandre Texier C,17:35,0,1,-1,4,0,0,0,1,0/1
Blues,Senators,home,F,Alexey Toropchenko R,12:32,0,0,-1,3,1,0,0,0,0/0
Blues,Senators,home,F,Blues Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOPhilip
Blues,Senators,home,F,Philip Broberg D,24:39,0,1,0,1,1,2,1,3,0/0
Blues,Senators,home,F,Justin Faulk D,23:06,0,0,-2,1,0,0,0,3,0/0
Blues,Senators,home,F,Pierre-Olivier Joseph D,13:56,0,0,-4,0,2,0,0,3,0/0
Blues,Senators,home,F,Matthew Kessel D,10:40,0,0,-2,0,0,4,0,2,0/0
Blues,Senators,home,F,Colton Parayko D,20:25,0,0,-2,1,4,0,1,2,0/0
Blues,Senators,home,F,Ryan Suter D,23:09,0,0,-2,1,1,0,0,1,0/0
Blues,Senators,home,F,Zack Bolduc C,17:43,0,0,-1,2,1,0,0,2,1/2
Blues,Senators,home,F,Pavel Buchnevich L,16:51,0,0,-2,0,2,0,0,1,1/9
Blues,Senators,home,F,Radek Faksa C,13:16,0,0,-1,1,1,0,0,0,6/10
Blues,Senators,home,F,Dylan Holloway L,17:21,1,0,-1,3,0,2,1,1,4/11
Blues,Senators,home,F,Kasperi Kapanen R,06:37,0,0,0,1,0,0,0,0,0/0
Blues,Senators,home,F,Jordan Kyrou C,16:41,0,0,-2,3,0,0,1,1,0/1
Blues,Senators,home,F,Jake Neighbours L,16:13,0,0,-3,1,0,0,0,0,0/0
Blues,Senators,home,F,Brandon Saad L,16:28,0,0,-3,3,0,2,0,0,0/0
Blues,Senators,home,F,Brayden Schenn C,16:15,0,0,-2,2,1,0,0,1,5/14
Blues,Senators,home,F,Oskar Sundqvist C,13:29,0,0,-1,0,0,0,0,1,7/10
Blues,Senators,home,F,Alexandre Texier C,17:35,0,1,-1,4,0,0,0,1,0/1
Blues,Senators,home,F,Alexey Toropchenko R,12:32,0,0,-1,3,1,0,0,0,0/0
Blues,Senators,home,F,Blues Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOPhilip
Blues,Senators,home,F,Philip Broberg D,24:39,0,1,0,1,1,2,1,3,0/0
Blues,Senators,home,F,Justin Faulk D,23:06,0,0,-2,1,0,0,0,3,0/0
Blues,Senators,home,F,Pierre-Olivier Joseph D,13:56,0,0,-4,0,2,0,0,3,0/0
Blues,Senators,home,F,Matthew Kessel D,10:40,0,0,-2,0,0,4,0,2,0/0
Blues,Senators,home,F,Colton Parayko D,20:25,0,0,-2,1,4,0,1,2,0/0
Blues,Senators,home,F,Ryan Suter D,23:09,0,0,-2,1,1,0,0,1,0/0
