team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blues,Hockey Club,away,D,Justin Faulk D,24:11,0,0,-1,0,3,0,0,1,0/0
Blues,Hockey Club,away,D,Pierre-Olivier Joseph D,11:55,0,0,0,0,0,17,1,0,0/0
Blues,Hockey Club,away,D,Matthew Kessel D,13:00,0,0,0,0,0,0,0,1,0/0
Blues,Hockey Club,away,D,Colton Parayko D,26:43,1,0,-1,1,3,0,0,1,0/0
Blues,Hockey Club,away,D,Scott Perunovich D,17:22,0,0,-1,0,3,0,1,2,0/0
Blues,Hockey Club,away,D,Ryan Suter D,23:09,0,0,-1,1,2,0,0,0,0/0
Blues,Hockey Club,away,D,Justin Faulk D,24:11,0,0,-1,0,3,0,0,1,0/0
Blues,Hockey Club,away,D,Pierre-Olivier Joseph D,11:55,0,0,0,0,0,17,1,0,0/0
Blues,Hockey Club,away,D,Matthew Kessel D,13:00,0,0,0,0,0,0,0,1,0/0
Blues,Hockey Club,away,D,Colton Parayko D,26:43,1,0,-1,1,3,0,0,1,0/0
Blues,Hockey Club,away,D,Scott Perunovich D,17:22,0,0,-1,0,3,0,1,2,0/0
Blues,Hockey Club,away,D,Ryan Suter D,23:09,0,0,-1,1,2,0,0,0,0/0
Blues,Hockey Club,away,F,Zack Bolduc C,08:38,0,0,0,1,0,2,0,1,0/0
Blues,Hockey Club,away,F,Pavel Buchnevich L,18:37,0,2,-2,1,0,0,0,1,1/11
Blues,Hockey Club,away,F,Radek Faksa C,15:24,0,0,-1,0,1,0,0,0,9/15
Blues,Hockey Club,away,F,Dylan Holloway L,17:51,0,0,0,1,3,0,0,2,3/6
Blues,Hockey Club,away,F,Jordan Kyrou C,17:57,1,0,-1,3,0,0,0,2,0/0
Blues,Hockey Club,away,F,Jake Neighbours L,15:55,0,1,-1,0,2,0,0,0,0/0
Blues,Hockey Club,away,F,Brandon Saad L,14:13,0,0,0,0,0,0,0,0,1/1
Blues,Hockey Club,away,F,Brayden Schenn C,19:32,0,0,-1,4,0,0,0,1,8/19
Blues,Hockey Club,away,F,Oskar Sundqvist C,08:57,0,0,0,0,2,0,0,0,3/8
Blues,Hockey Club,away,F,Alexandre Texier C,13:01,0,0,-1,1,0,0,0,0,0/0
Blues,Hockey Club,away,F,Alexey Toropchenko R,14:21,0,0,0,1,0,2,0,2,0/0
Blues,Hockey Club,away,F,Nathan Walker L,15:05,0,0,0,1,2,0,1,1,0/2
Blues,Hockey Club,away,F,Blues Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJustin
Blues,Hockey Club,away,F,Justin Faulk D,24:11,0,0,-1,0,3,0,0,1,0/0
Blues,Hockey Club,away,F,Pierre-Olivier Joseph D,11:55,0,0,0,0,0,17,1,0,0/0
Blues,Hockey Club,away,F,Matthew Kessel D,13:00,0,0,0,0,0,0,0,1,0/0
Blues,Hockey Club,away,F,Colton Parayko D,26:43,1,0,-1,1,3,0,0,1,0/0
Blues,Hockey Club,away,F,Scott Perunovich D,17:22,0,0,-1,0,3,0,1,2,0/0
Blues,Hockey Club,away,F,Ryan Suter D,23:09,0,0,-1,1,2,0,0,0,0/0
Blues,Hockey Club,away,F,Zack Bolduc C,08:38,0,0,0,1,0,2,0,1,0/0
Blues,Hockey Club,away,F,Pavel Buchnevich L,18:37,0,2,-2,1,0,0,0,1,1/11
Blues,Hockey Club,away,F,Radek Faksa C,15:24,0,0,-1,0,1,0,0,0,9/15
Blues,Hockey Club,away,F,Dylan Holloway L,17:51,0,0,0,1,3,0,0,2,3/6
Blues,Hockey Club,away,F,Jordan Kyrou C,17:57,1,0,-1,3,0,0,0,2,0/0
Blues,Hockey Club,away,F,Jake Neighbours L,15:55,0,1,-1,0,2,0,0,0,0/0
Blues,Hockey Club,away,F,Brandon Saad L,14:13,0,0,0,0,0,0,0,0,1/1
Blues,Hockey Club,away,F,Brayden Schenn C,19:32,0,0,-1,4,0,0,0,1,8/19
Blues,Hockey Club,away,F,Oskar Sundqvist C,08:57,0,0,0,0,2,0,0,0,3/8
Blues,Hockey Club,away,F,Alexandre Texier C,13:01,0,0,-1,1,0,0,0,0,0/0
Blues,Hockey Club,away,F,Alexey Toropchenko R,14:21,0,0,0,1,0,2,0,2,0/0
Blues,Hockey Club,away,F,Nathan Walker L,15:05,0,0,0,1,2,0,1,1,0/2
Blues,Hockey Club,away,F,Blues Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJustin
Blues,Hockey Club,away,F,Justin Faulk D,24:11,0,0,-1,0,3,0,0,1,0/0
Blues,Hockey Club,away,F,Pierre-Olivier Joseph D,11:55,0,0,0,0,0,17,1,0,0/0
Blues,Hockey Club,away,F,Matthew Kessel D,13:00,0,0,0,0,0,0,0,1,0/0
Blues,Hockey Club,away,F,Colton Parayko D,26:43,1,0,-1,1,3,0,0,1,0/0
Blues,Hockey Club,away,F,Scott Perunovich D,17:22,0,0,-1,0,3,0,1,2,0/0
Blues,Hockey Club,away,F,Ryan Suter D,23:09,0,0,-1,1,2,0,0,0,0/0
