team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blues,Bruins,away,D,Justin Faulk D,25:23,0,0,0,4,1,0,1,1,0/0
Blues,Bruins,away,D,Pierre-Olivier Joseph D,19:49,0,0,0,1,0,2,1,2,0/0
Blues,Bruins,away,D,Matthew Kessel D,12:46,0,0,0,0,1,0,0,2,0/0
Blues,Bruins,away,D,Colton Parayko D,23:00,0,0,-3,2,1,0,0,0,0/0
Blues,Bruins,away,D,Scott Perunovich D,14:17,0,0,0,0,0,0,0,0,0/0
Blues,Bruins,away,D,Ryan Suter D,20:39,0,0,-3,1,0,2,0,1,0/0
Blues,Bruins,away,D,Justin Faulk D,25:23,0,0,0,4,1,0,1,1,0/0
Blues,Bruins,away,D,Pierre-Olivier Joseph D,19:49,0,0,0,1,0,2,1,2,0/0
Blues,Bruins,away,D,Matthew Kessel D,12:46,0,0,0,0,1,0,0,2,0/0
Blues,Bruins,away,D,Colton Parayko D,23:00,0,0,-3,2,1,0,0,0,0/0
Blues,Bruins,away,D,Scott Perunovich D,14:17,0,0,0,0,0,0,0,0,0/0
Blues,Bruins,away,D,Ryan Suter D,20:39,0,0,-3,1,0,2,0,1,0/0
Blues,Bruins,away,F,Pavel Buchnevich L,22:37,0,1,-1,2,0,0,0,2,4/7
Blues,Bruins,away,F,Radek Faksa C,12:00,0,0,0,0,2,2,0,0,3/9
Blues,Bruins,away,F,Dylan Holloway L,15:54,0,1,-1,3,0,0,1,0,0/2
Blues,Bruins,away,F,Mathieu Joseph R,13:14,0,0,-2,0,2,0,1,0,0/0
Blues,Bruins,away,F,Jordan Kyrou C,18:39,0,1,0,4,0,0,1,2,0/0
Blues,Bruins,away,F,Jake Neighbours L,20:19,0,0,-1,1,1,0,1,0,0/1
Blues,Bruins,away,F,Brandon Saad L,08:57,0,1,-1,0,0,0,0,1,0/0
Blues,Bruins,away,F,Brayden Schenn C,19:31,1,0,-1,1,3,0,0,1,7/15
Blues,Bruins,away,F,Oskar Sundqvist C,12:56,1,0,-1,1,2,0,0,1,6/11
Blues,Bruins,away,F,Alexandre Texier C,09:30,0,0,-1,0,0,0,0,0,0/0
Blues,Bruins,away,F,Alexey Toropchenko R,12:17,0,0,0,0,0,2,0,1,0/1
Blues,Bruins,away,F,Nathan Walker L,11:45,0,0,0,2,0,0,0,1,2/2
Blues,Bruins,away,F,Blues Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJustin
Blues,Bruins,away,F,Justin Faulk D,25:23,0,0,0,4,1,0,1,1,0/0
Blues,Bruins,away,F,Pierre-Olivier Joseph D,19:49,0,0,0,1,0,2,1,2,0/0
Blues,Bruins,away,F,Matthew Kessel D,12:46,0,0,0,0,1,0,0,2,0/0
Blues,Bruins,away,F,Colton Parayko D,23:00,0,0,-3,2,1,0,0,0,0/0
Blues,Bruins,away,F,Scott Perunovich D,14:17,0,0,0,0,0,0,0,0,0/0
Blues,Bruins,away,F,Ryan Suter D,20:39,0,0,-3,1,0,2,0,1,0/0
Blues,Bruins,away,F,Pavel Buchnevich L,22:37,0,1,-1,2,0,0,0,2,4/7
Blues,Bruins,away,F,Radek Faksa C,12:00,0,0,0,0,2,2,0,0,3/9
Blues,Bruins,away,F,Dylan Holloway L,15:54,0,1,-1,3,0,0,1,0,0/2
Blues,Bruins,away,F,Mathieu Joseph R,13:14,0,0,-2,0,2,0,1,0,0/0
Blues,Bruins,away,F,Jordan Kyrou C,18:39,0,1,0,4,0,0,1,2,0/0
Blues,Bruins,away,F,Jake Neighbours L,20:19,0,0,-1,1,1,0,1,0,0/1
Blues,Bruins,away,F,Brandon Saad L,08:57,0,1,-1,0,0,0,0,1,0/0
Blues,Bruins,away,F,Brayden Schenn C,19:31,1,0,-1,1,3,0,0,1,7/15
Blues,Bruins,away,F,Oskar Sundqvist C,12:56,1,0,-1,1,2,0,0,1,6/11
Blues,Bruins,away,F,Alexandre Texier C,09:30,0,0,-1,0,0,0,0,0,0/0
Blues,Bruins,away,F,Alexey Toropchenko R,12:17,0,0,0,0,0,2,0,1,0/1
Blues,Bruins,away,F,Nathan Walker L,11:45,0,0,0,2,0,0,0,1,2/2
Blues,Bruins,away,F,Blues Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJustin
Blues,Bruins,away,F,Justin Faulk D,25:23,0,0,0,4,1,0,1,1,0/0
Blues,Bruins,away,F,Pierre-Olivier Joseph D,19:49,0,0,0,1,0,2,1,2,0/0
Blues,Bruins,away,F,Matthew Kessel D,12:46,0,0,0,0,1,0,0,2,0/0
Blues,Bruins,away,F,Colton Parayko D,23:00,0,0,-3,2,1,0,0,0,0/0
Blues,Bruins,away,F,Scott Perunovich D,14:17,0,0,0,0,0,0,0,0,0/0
Blues,Bruins,away,F,Ryan Suter D,20:39,0,0,-3,1,0,2,0,1,0/0
