team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Blues,Bruins,home,D,Justin Faulk D,22:33,0,0,0,3,0,2,0,1,0/0
Blues,Bruins,home,D,Matthew Kessel D,12:00,0,0,0,0,0,0,0,0,0/0
Blues,Bruins,home,D,Colton Parayko D,26:20,0,1,1,2,2,0,1,2,0/0
Blues,Bruins,home,D,Scott Perunovich D,18:50,0,1,1,2,2,0,0,1,0/0
Blues,Bruins,home,D,Corey Schueneman D,14:49,0,0,-1,0,1,0,0,1,0/0
Blues,Bruins,home,D,Ryan Suter D,25:24,0,0,0,1,0,0,0,2,0/0
Blues,Bruins,home,D,Justin Faulk D,22:33,0,0,0,3,0,2,0,1,0/0
Blues,Bruins,home,D,Matthew Kessel D,12:00,0,0,0,0,0,0,0,0,0/0
Blues,Bruins,home,D,Colton Parayko D,26:20,0,1,1,2,2,0,1,2,0/0
Blues,Bruins,home,D,Scott Perunovich D,18:50,0,1,1,2,2,0,0,1,0/0
Blues,Bruins,home,D,Corey Schueneman D,14:49,0,0,-1,0,1,0,0,1,0/0
Blues,Bruins,home,D,Ryan Suter D,25:24,0,0,0,1,0,0,0,2,0/0
Blues,Bruins,home,F,Zack Bolduc C,10:16,0,0,0,1,0,0,1,1,0/0
Blues,Bruins,home,F,Pavel Buchnevich L,20:56,0,0,0,2,0,0,0,2,9/17
Blues,Bruins,home,F,Radek Faksa C,13:39,1,1,1,3,1,0,0,0,3/14
Blues,Bruins,home,F,Dylan Holloway L,19:03,0,0,-1,4,2,0,0,3,0/2
Blues,Bruins,home,F,Mathieu Joseph R,08:58,0,0,-1,0,0,0,0,0,0/0
Blues,Bruins,home,F,Jordan Kyrou C,16:31,0,0,1,3,0,0,0,2,0/0
Blues,Bruins,home,F,Jake Neighbours L,18:04,0,0,0,2,0,0,0,0,0/0
Blues,Bruins,home,F,Brandon Saad L,18:47,0,0,0,0,1,0,1,2,0/0
Blues,Bruins,home,F,Brayden Schenn C,21:33,1,0,1,5,3,0,0,0,11/19
Blues,Bruins,home,F,Oskar Sundqvist C,10:56,0,0,-1,0,1,2,1,0,3/6
Blues,Bruins,home,F,Alexey Toropchenko R,13:51,0,2,1,1,0,0,0,0,0/0
Blues,Bruins,home,F,Nathan Walker L,12:09,1,0,1,2,1,0,0,1,0/1
Blues,Bruins,home,F,Blues Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJustin
Blues,Bruins,home,F,Justin Faulk D,22:33,0,0,0,3,0,2,0,1,0/0
Blues,Bruins,home,F,Matthew Kessel D,12:00,0,0,0,0,0,0,0,0,0/0
Blues,Bruins,home,F,Colton Parayko D,26:20,0,1,1,2,2,0,1,2,0/0
Blues,Bruins,home,F,Scott Perunovich D,18:50,0,1,1,2,2,0,0,1,0/0
Blues,Bruins,home,F,Corey Schueneman D,14:49,0,0,-1,0,1,0,0,1,0/0
Blues,Bruins,home,F,Ryan Suter D,25:24,0,0,0,1,0,0,0,2,0/0
Blues,Bruins,home,F,Zack Bolduc C,10:16,0,0,0,1,0,0,1,1,0/0
Blues,Bruins,home,F,Pavel Buchnevich L,20:56,0,0,0,2,0,0,0,2,9/17
Blues,Bruins,home,F,Radek Faksa C,13:39,1,1,1,3,1,0,0,0,3/14
Blues,Bruins,home,F,Dylan Holloway L,19:03,0,0,-1,4,2,0,0,3,0/2
Blues,Bruins,home,F,Mathieu Joseph R,08:58,0,0,-1,0,0,0,0,0,0/0
Blues,Bruins,home,F,Jordan Kyrou C,16:31,0,0,1,3,0,0,0,2,0/0
Blues,Bruins,home,F,Jake Neighbours L,18:04,0,0,0,2,0,0,0,0,0/0
Blues,Bruins,home,F,Brandon Saad L,18:47,0,0,0,0,1,0,1,2,0/0
Blues,Bruins,home,F,Brayden Schenn C,21:33,1,0,1,5,3,0,0,0,11/19
Blues,Bruins,home,F,Oskar Sundqvist C,10:56,0,0,-1,0,1,2,1,0,3/6
Blues,Bruins,home,F,Alexey Toropchenko R,13:51,0,2,1,1,0,0,0,0,0/0
Blues,Bruins,home,F,Nathan Walker L,12:09,1,0,1,2,1,0,0,1,0/1
Blues,Bruins,home,F,Blues Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJustin
Blues,Bruins,home,F,Justin Faulk D,22:33,0,0,0,3,0,2,0,1,0/0
Blues,Bruins,home,F,Matthew Kessel D,12:00,0,0,0,0,0,0,0,0,0/0
Blues,Bruins,home,F,Colton Parayko D,26:20,0,1,1,2,2,0,1,2,0/0
Blues,Bruins,home,F,Scott Perunovich D,18:50,0,1,1,2,2,0,0,1,0/0
Blues,Bruins,home,F,Corey Schueneman D,14:49,0,0,-1,0,1,0,0,1,0/0
Blues,Bruins,home,F,Ryan Suter D,25:24,0,0,0,1,0,0,0,2,0/0
