team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Bruins,Canadiens,away,D,Brandon Carlo D,20:13,0,2,1,0,0,0,0,2,0/0
Bruins,Canadiens,away,D,Hampus Lindholm D,23:02,0,0,1,3,2,0,0,0,0/0
Bruins,Canadiens,away,D,Charlie McAvoy D,22:56,1,0,1,3,1,4,1,0,0/0
Bruins,Canadiens,away,D,Andrew Peeke D,15:13,0,0,0,0,0,0,0,3,0/0
Bruins,Canadiens,away,D,Parker Wotherspoon D,12:56,0,0,0,1,0,0,1,0,0/0
Bruins,Canadiens,away,D,Nikita Zadorov D,18:47,0,2,1,0,2,2,0,0,0/0
Bruins,Canadiens,away,D,Brandon Carlo D,20:13,0,2,1,0,0,0,0,2,0/0
Bruins,Canadiens,away,D,Hampus Lindholm D,23:02,0,0,1,3,2,0,0,0,0/0
Bruins,Canadiens,away,D,Charlie McAvoy D,22:56,1,0,1,3,1,4,1,0,0/0
Bruins,Canadiens,away,D,Andrew Peeke D,15:13,0,0,0,0,0,0,0,3,0/0
Bruins,Canadiens,away,D,Parker Wotherspoon D,12:56,0,0,0,1,0,0,1,0,0/0
Bruins,Canadiens,away,D,Nikita Zadorov D,18:47,0,2,1,0,2,2,0,0,0/0
Bruins,Canadiens,away,F,John Beecher C,12:38,0,1,3,1,0,0,0,1,5/10
Bruins,Canadiens,away,F,Justin Brazeau R,11:49,0,0,-1,1,1,0,0,0,1/2
Bruins,Canadiens,away,F,Charlie Coyle C,20:35,0,0,-2,0,4,2,0,2,5/13
Bruins,Canadiens,away,F,Trent Frederic C,13:31,0,0,-1,0,1,2,0,2,3/9
Bruins,Canadiens,away,F,Morgan Geekie C,15:23,0,0,-1,3,0,0,0,1,1/1
Bruins,Canadiens,away,F,Mark Kastelic C,10:43,2,0,3,3,3,0,0,1,5/6
Bruins,Canadiens,away,F,Cole Koepke L,07:20,1,2,3,2,0,0,0,0,0/0
Bruins,Canadiens,away,F,Elias Lindholm C,18:27,1,2,2,1,2,0,0,0,6/13
Bruins,Canadiens,away,F,Brad Marchand L,19:06,0,1,-1,3,2,2,0,1,0/1
Bruins,Canadiens,away,F,David Pastrnak R,16:54,1,1,1,6,1,0,0,2,0/0
Bruins,Canadiens,away,F,Riley Tufte L,09:21,0,0,-1,0,1,0,0,1,0/0
Bruins,Canadiens,away,F,Pavel Zacha C,19:16,0,1,1,2,0,0,1,1,7/11
Bruins,Canadiens,away,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Canadiens,away,F,Brandon Carlo D,20:13,0,2,1,0,0,0,0,2,0/0
Bruins,Canadiens,away,F,Hampus Lindholm D,23:02,0,0,1,3,2,0,0,0,0/0
Bruins,Canadiens,away,F,Charlie McAvoy D,22:56,1,0,1,3,1,4,1,0,0/0
Bruins,Canadiens,away,F,Andrew Peeke D,15:13,0,0,0,0,0,0,0,3,0/0
Bruins,Canadiens,away,F,Parker Wotherspoon D,12:56,0,0,0,1,0,0,1,0,0/0
Bruins,Canadiens,away,F,Nikita Zadorov D,18:47,0,2,1,0,2,2,0,0,0/0
Bruins,Canadiens,away,F,John Beecher C,12:38,0,1,3,1,0,0,0,1,5/10
Bruins,Canadiens,away,F,Justin Brazeau R,11:49,0,0,-1,1,1,0,0,0,1/2
Bruins,Canadiens,away,F,Charlie Coyle C,20:35,0,0,-2,0,4,2,0,2,5/13
Bruins,Canadiens,away,F,Trent Frederic C,13:31,0,0,-1,0,1,2,0,2,3/9
Bruins,Canadiens,away,F,Morgan Geekie C,15:23,0,0,-1,3,0,0,0,1,1/1
Bruins,Canadiens,away,F,Mark Kastelic C,10:43,2,0,3,3,3,0,0,1,5/6
Bruins,Canadiens,away,F,Cole Koepke L,07:20,1,2,3,2,0,0,0,0,0/0
Bruins,Canadiens,away,F,Elias Lindholm C,18:27,1,2,2,1,2,0,0,0,6/13
Bruins,Canadiens,away,F,Brad Marchand L,19:06,0,1,-1,3,2,2,0,1,0/1
Bruins,Canadiens,away,F,David Pastrnak R,16:54,1,1,1,6,1,0,0,2,0/0
Bruins,Canadiens,away,F,Riley Tufte L,09:21,0,0,-1,0,1,0,0,1,0/0
Bruins,Canadiens,away,F,Pavel Zacha C,19:16,0,1,1,2,0,0,1,1,7/11
Bruins,Canadiens,away,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Canadiens,away,F,Brandon Carlo D,20:13,0,2,1,0,0,0,0,2,0/0
Bruins,Canadiens,away,F,Hampus Lindholm D,23:02,0,0,1,3,2,0,0,0,0/0
Bruins,Canadiens,away,F,Charlie McAvoy D,22:56,1,0,1,3,1,4,1,0,0/0
Bruins,Canadiens,away,F,Andrew Peeke D,15:13,0,0,0,0,0,0,0,3,0/0
Bruins,Canadiens,away,F,Parker Wotherspoon D,12:56,0,0,0,1,0,0,1,0,0/0
Bruins,Canadiens,away,F,Nikita Zadorov D,18:47,0,2,1,0,2,2,0,0,0/0
