team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Bruins,Avalanche,home,D,Brandon Carlo D,20:03,0,0,2,0,7,0,0,0,0/0
Bruins,Avalanche,home,D,Hampus Lindholm D,22:04,1,1,1,2,1,0,1,0,0/0
Bruins,Avalanche,home,D,Mason Lohrei D,17:00,0,1,0,1,0,0,0,4,0/0
Bruins,Avalanche,home,D,Charlie McAvoy D,22:59,0,0,0,1,1,0,0,2,0/0
Bruins,Avalanche,home,D,Andrew Peeke D,15:34,0,1,1,0,0,0,0,3,0/0
Bruins,Avalanche,home,D,Nikita Zadorov D,18:20,0,1,2,0,1,7,0,1,0/0
Bruins,Avalanche,home,D,Brandon Carlo D,20:03,0,0,2,0,7,0,0,0,0/0
Bruins,Avalanche,home,D,Hampus Lindholm D,22:04,1,1,1,2,1,0,1,0,0/0
Bruins,Avalanche,home,D,Mason Lohrei D,17:00,0,1,0,1,0,0,0,4,0/0
Bruins,Avalanche,home,D,Charlie McAvoy D,22:59,0,0,0,1,1,0,0,2,0/0
Bruins,Avalanche,home,D,Andrew Peeke D,15:34,0,1,1,0,0,0,0,3,0/0
Bruins,Avalanche,home,D,Nikita Zadorov D,18:20,0,1,2,0,1,7,0,1,0/0
Bruins,Avalanche,home,F,John Beecher C,13:23,1,0,3,1,1,0,0,0,2/5
Bruins,Avalanche,home,F,Charlie Coyle C,19:34,1,0,0,3,1,0,3,0,9/15
Bruins,Avalanche,home,F,Trent Frederic C,16:39,0,0,0,3,1,0,0,1,3/6
Bruins,Avalanche,home,F,Max Jones L,09:22,0,0,0,1,0,0,0,0,0/0
Bruins,Avalanche,home,F,Mark Kastelic C,16:21,0,0,3,0,3,0,0,1,6/8
Bruins,Avalanche,home,F,Cole Koepke L,14:00,1,0,3,4,0,0,0,0,0/0
Bruins,Avalanche,home,F,Elias Lindholm C,19:55,0,0,0,1,1,0,0,1,10/13
Bruins,Avalanche,home,F,Brad Marchand L,16:20,0,1,0,0,1,0,0,0,0/0
Bruins,Avalanche,home,F,David Pastrnak R,22:00,1,0,0,5,0,0,0,1,0/0
Bruins,Avalanche,home,F,Matthew Poitras C,08:23,0,0,0,0,0,0,0,1,6/7
Bruins,Avalanche,home,F,Riley Tufte L,06:54,0,0,0,0,0,4,0,0,0/0
Bruins,Avalanche,home,F,Pavel Zacha C,19:28,0,0,0,3,0,0,0,0,2/8
Bruins,Avalanche,home,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Avalanche,home,F,Brandon Carlo D,20:03,0,0,2,0,7,0,0,0,0/0
Bruins,Avalanche,home,F,Hampus Lindholm D,22:04,1,1,1,2,1,0,1,0,0/0
Bruins,Avalanche,home,F,Mason Lohrei D,17:00,0,1,0,1,0,0,0,4,0/0
Bruins,Avalanche,home,F,Charlie McAvoy D,22:59,0,0,0,1,1,0,0,2,0/0
Bruins,Avalanche,home,F,Andrew Peeke D,15:34,0,1,1,0,0,0,0,3,0/0
Bruins,Avalanche,home,F,Nikita Zadorov D,18:20,0,1,2,0,1,7,0,1,0/0
Bruins,Avalanche,home,F,John Beecher C,13:23,1,0,3,1,1,0,0,0,2/5
Bruins,Avalanche,home,F,Charlie Coyle C,19:34,1,0,0,3,1,0,3,0,9/15
Bruins,Avalanche,home,F,Trent Frederic C,16:39,0,0,0,3,1,0,0,1,3/6
Bruins,Avalanche,home,F,Max Jones L,09:22,0,0,0,1,0,0,0,0,0/0
Bruins,Avalanche,home,F,Mark Kastelic C,16:21,0,0,3,0,3,0,0,1,6/8
Bruins,Avalanche,home,F,Cole Koepke L,14:00,1,0,3,4,0,0,0,0,0/0
Bruins,Avalanche,home,F,Elias Lindholm C,19:55,0,0,0,1,1,0,0,1,10/13
Bruins,Avalanche,home,F,Brad Marchand L,16:20,0,1,0,0,1,0,0,0,0/0
Bruins,Avalanche,home,F,David Pastrnak R,22:00,1,0,0,5,0,0,0,1,0/0
Bruins,Avalanche,home,F,Matthew Poitras C,08:23,0,0,0,0,0,0,0,1,6/7
Bruins,Avalanche,home,F,Riley Tufte L,06:54,0,0,0,0,0,4,0,0,0/0
Bruins,Avalanche,home,F,Pavel Zacha C,19:28,0,0,0,3,0,0,0,0,2/8
Bruins,Avalanche,home,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Avalanche,home,F,Brandon Carlo D,20:03,0,0,2,0,7,0,0,0,0/0
Bruins,Avalanche,home,F,Hampus Lindholm D,22:04,1,1,1,2,1,0,1,0,0/0
Bruins,Avalanche,home,F,Mason Lohrei D,17:00,0,1,0,1,0,0,0,4,0/0
Bruins,Avalanche,home,F,Charlie McAvoy D,22:59,0,0,0,1,1,0,0,2,0/0
Bruins,Avalanche,home,F,Andrew Peeke D,15:34,0,1,1,0,0,0,0,3,0/0
Bruins,Avalanche,home,F,Nikita Zadorov D,18:20,0,1,2,0,1,7,0,1,0/0
