team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Bruins,Hurricanes,home,D,Brandon Carlo D,18:55,0,0,-1,0,4,0,1,1,0/0
Bruins,Hurricanes,home,D,Hampus Lindholm D,19:53,1,0,-1,2,0,0,1,3,0/0
Bruins,Hurricanes,home,D,Mason Lohrei D,19:05,0,0,-1,0,0,2,1,1,0/0
Bruins,Hurricanes,home,D,Charlie McAvoy D,20:25,0,0,-2,0,1,0,0,1,0/0
Bruins,Hurricanes,home,D,Andrew Peeke D,20:46,0,0,-2,0,3,0,0,2,0/0
Bruins,Hurricanes,home,D,Nikita Zadorov D,16:23,0,0,-1,0,0,2,0,0,0/0
Bruins,Hurricanes,home,D,Brandon Carlo D,18:55,0,0,-1,0,4,0,1,1,0/0
Bruins,Hurricanes,home,D,Hampus Lindholm D,19:53,1,0,-1,2,0,0,1,3,0/0
Bruins,Hurricanes,home,D,Mason Lohrei D,19:05,0,0,-1,0,0,2,1,1,0/0
Bruins,Hurricanes,home,D,Charlie McAvoy D,20:25,0,0,-2,0,1,0,0,1,0/0
Bruins,Hurricanes,home,D,Andrew Peeke D,20:46,0,0,-2,0,3,0,0,2,0/0
Bruins,Hurricanes,home,D,Nikita Zadorov D,16:23,0,0,-1,0,0,2,0,0,0/0
Bruins,Hurricanes,home,F,John Beecher C,13:11,0,0,-2,0,1,2,0,0,7/11
Bruins,Hurricanes,home,F,Justin Brazeau R,15:37,0,0,-2,0,0,0,1,1,0/2
Bruins,Hurricanes,home,F,Charlie Coyle C,18:17,0,0,-1,2,0,0,0,0,6/9
Bruins,Hurricanes,home,F,Trent Frederic C,12:54,0,0,-2,1,0,0,0,1,1/3
Bruins,Hurricanes,home,F,Max Jones L,14:33,0,0,-3,0,0,0,0,1,0/0
Bruins,Hurricanes,home,F,Mark Kastelic C,14:30,0,1,1,0,2,2,0,0,5/10
Bruins,Hurricanes,home,F,Cole Koepke L,13:09,0,0,0,1,1,2,1,1,0/0
Bruins,Hurricanes,home,F,Elias Lindholm C,15:21,0,1,0,0,1,0,0,0,14/22
Bruins,Hurricanes,home,F,Brad Marchand L,15:03,1,0,0,3,1,0,0,0,0/0
Bruins,Hurricanes,home,F,David Pastrnak R,15:23,0,2,-1,3,0,0,0,0,0/0
Bruins,Hurricanes,home,F,Matthew Poitras C,14:58,0,0,-2,0,0,0,1,0,4/9
Bruins,Hurricanes,home,F,Pavel Zacha C,14:10,0,0,0,3,1,0,0,1,4/7
Bruins,Hurricanes,home,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Hurricanes,home,F,Brandon Carlo D,18:55,0,0,-1,0,4,0,1,1,0/0
Bruins,Hurricanes,home,F,Hampus Lindholm D,19:53,1,0,-1,2,0,0,1,3,0/0
Bruins,Hurricanes,home,F,Mason Lohrei D,19:05,0,0,-1,0,0,2,1,1,0/0
Bruins,Hurricanes,home,F,Charlie McAvoy D,20:25,0,0,-2,0,1,0,0,1,0/0
Bruins,Hurricanes,home,F,Andrew Peeke D,20:46,0,0,-2,0,3,0,0,2,0/0
Bruins,Hurricanes,home,F,Nikita Zadorov D,16:23,0,0,-1,0,0,2,0,0,0/0
Bruins,Hurricanes,home,F,John Beecher C,13:11,0,0,-2,0,1,2,0,0,7/11
Bruins,Hurricanes,home,F,Justin Brazeau R,15:37,0,0,-2,0,0,0,1,1,0/2
Bruins,Hurricanes,home,F,Charlie Coyle C,18:17,0,0,-1,2,0,0,0,0,6/9
Bruins,Hurricanes,home,F,Trent Frederic C,12:54,0,0,-2,1,0,0,0,1,1/3
Bruins,Hurricanes,home,F,Max Jones L,14:33,0,0,-3,0,0,0,0,1,0/0
Bruins,Hurricanes,home,F,Mark Kastelic C,14:30,0,1,1,0,2,2,0,0,5/10
Bruins,Hurricanes,home,F,Cole Koepke L,13:09,0,0,0,1,1,2,1,1,0/0
Bruins,Hurricanes,home,F,Elias Lindholm C,15:21,0,1,0,0,1,0,0,0,14/22
Bruins,Hurricanes,home,F,Brad Marchand L,15:03,1,0,0,3,1,0,0,0,0/0
Bruins,Hurricanes,home,F,David Pastrnak R,15:23,0,2,-1,3,0,0,0,0,0/0
Bruins,Hurricanes,home,F,Matthew Poitras C,14:58,0,0,-2,0,0,0,1,0,4/9
Bruins,Hurricanes,home,F,Pavel Zacha C,14:10,0,0,0,3,1,0,0,1,4/7
Bruins,Hurricanes,home,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Hurricanes,home,F,Brandon Carlo D,18:55,0,0,-1,0,4,0,1,1,0/0
Bruins,Hurricanes,home,F,Hampus Lindholm D,19:53,1,0,-1,2,0,0,1,3,0/0
Bruins,Hurricanes,home,F,Mason Lohrei D,19:05,0,0,-1,0,0,2,1,1,0/0
Bruins,Hurricanes,home,F,Charlie McAvoy D,20:25,0,0,-2,0,1,0,0,1,0/0
Bruins,Hurricanes,home,F,Andrew Peeke D,20:46,0,0,-2,0,3,0,0,2,0/0
Bruins,Hurricanes,home,F,Nikita Zadorov D,16:23,0,0,-1,0,0,2,0,0,0/0
