team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Bruins,Kraken,away,D,Brandon Carlo D,20:35,0,0,0,0,3,0,1,0,0/0
Bruins,Kraken,away,D,Hampus Lindholm D,22:31,0,0,0,1,3,0,1,2,0/0
Bruins,Kraken,away,D,Charlie McAvoy D,23:58,0,1,1,7,3,0,2,2,0/0
Bruins,Kraken,away,D,Andrew Peeke D,13:23,0,0,0,0,3,2,0,1,0/0
Bruins,Kraken,away,D,Parker Wotherspoon D,13:15,0,0,0,0,0,0,0,1,0/0
Bruins,Kraken,away,D,Nikita Zadorov D,17:31,0,1,1,1,0,0,0,3,0/0
Bruins,Kraken,away,D,Brandon Carlo D,20:35,0,0,0,0,3,0,1,0,0/0
Bruins,Kraken,away,D,Hampus Lindholm D,22:31,0,0,0,1,3,0,1,2,0/0
Bruins,Kraken,away,D,Charlie McAvoy D,23:58,0,1,1,7,3,0,2,2,0/0
Bruins,Kraken,away,D,Andrew Peeke D,13:23,0,0,0,0,3,2,0,1,0/0
Bruins,Kraken,away,D,Parker Wotherspoon D,13:15,0,0,0,0,0,0,0,1,0/0
Bruins,Kraken,away,D,Nikita Zadorov D,17:31,0,1,1,1,0,0,0,3,0/0
Bruins,Kraken,away,F,John Beecher C,11:22,0,0,0,0,2,0,0,0,7/7
Bruins,Kraken,away,F,Justin Brazeau R,14:20,1,0,1,2,1,0,0,0,0/1
Bruins,Kraken,away,F,Charlie Coyle C,20:59,1,0,1,4,2,0,0,0,12/14
Bruins,Kraken,away,F,Trent Frederic C,13:17,0,0,0,1,1,7,0,1,1/1
Bruins,Kraken,away,F,Morgan Geekie C,13:53,0,0,0,2,1,0,0,0,1/1
Bruins,Kraken,away,F,Mark Kastelic C,11:57,0,0,0,0,0,2,0,0,3/5
Bruins,Kraken,away,F,Cole Koepke L,10:44,0,0,0,2,1,0,0,1,0/0
Bruins,Kraken,away,F,Elias Lindholm C,21:12,0,1,0,1,4,0,0,0,9/21
Bruins,Kraken,away,F,Brad Marchand L,22:17,0,1,0,1,1,0,0,1,0/0
Bruins,Kraken,away,F,David Pastrnak R,14:21,0,0,0,7,1,0,1,2,0/0
Bruins,Kraken,away,F,Matthew Poitras C,11:02,0,0,0,1,0,0,0,1,2/3
Bruins,Kraken,away,F,Pavel Zacha C,17:46,0,0,1,3,2,0,0,1,3/7
Bruins,Kraken,away,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Kraken,away,F,Brandon Carlo D,20:35,0,0,0,0,3,0,1,0,0/0
Bruins,Kraken,away,F,Hampus Lindholm D,22:31,0,0,0,1,3,0,1,2,0/0
Bruins,Kraken,away,F,Charlie McAvoy D,23:58,0,1,1,7,3,0,2,2,0/0
Bruins,Kraken,away,F,Andrew Peeke D,13:23,0,0,0,0,3,2,0,1,0/0
Bruins,Kraken,away,F,Parker Wotherspoon D,13:15,0,0,0,0,0,0,0,1,0/0
Bruins,Kraken,away,F,Nikita Zadorov D,17:31,0,1,1,1,0,0,0,3,0/0
Bruins,Kraken,away,F,John Beecher C,11:22,0,0,0,0,2,0,0,0,7/7
Bruins,Kraken,away,F,Justin Brazeau R,14:20,1,0,1,2,1,0,0,0,0/1
Bruins,Kraken,away,F,Charlie Coyle C,20:59,1,0,1,4,2,0,0,0,12/14
Bruins,Kraken,away,F,Trent Frederic C,13:17,0,0,0,1,1,7,0,1,1/1
Bruins,Kraken,away,F,Morgan Geekie C,13:53,0,0,0,2,1,0,0,0,1/1
Bruins,Kraken,away,F,Mark Kastelic C,11:57,0,0,0,0,0,2,0,0,3/5
Bruins,Kraken,away,F,Cole Koepke L,10:44,0,0,0,2,1,0,0,1,0/0
Bruins,Kraken,away,F,Elias Lindholm C,21:12,0,1,0,1,4,0,0,0,9/21
Bruins,Kraken,away,F,Brad Marchand L,22:17,0,1,0,1,1,0,0,1,0/0
Bruins,Kraken,away,F,David Pastrnak R,14:21,0,0,0,7,1,0,1,2,0/0
Bruins,Kraken,away,F,Matthew Poitras C,11:02,0,0,0,1,0,0,0,1,2/3
Bruins,Kraken,away,F,Pavel Zacha C,17:46,0,0,1,3,2,0,0,1,3/7
Bruins,Kraken,away,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Kraken,away,F,Brandon Carlo D,20:35,0,0,0,0,3,0,1,0,0/0
Bruins,Kraken,away,F,Hampus Lindholm D,22:31,0,0,0,1,3,0,1,2,0/0
Bruins,Kraken,away,F,Charlie McAvoy D,23:58,0,1,1,7,3,0,2,2,0/0
Bruins,Kraken,away,F,Andrew Peeke D,13:23,0,0,0,0,3,2,0,1,0/0
Bruins,Kraken,away,F,Parker Wotherspoon D,13:15,0,0,0,0,0,0,0,1,0/0
Bruins,Kraken,away,F,Nikita Zadorov D,17:31,0,1,1,1,0,0,0,3,0/0
