team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Bruins,Maple Leafs,home,D,Brandon Carlo D,21:00,0,0,0,1,2,0,0,1,0/0
Bruins,Maple Leafs,home,D,Hampus Lindholm D,21:22,0,0,-1,2,0,0,2,4,0/0
Bruins,Maple Leafs,home,D,Charlie McAvoy D,24:20,0,0,0,4,0,4,1,0,0/0
Bruins,Maple Leafs,home,D,Andrew Peeke D,04:49,0,0,0,0,1,0,1,0,0/0
Bruins,Maple Leafs,home,D,Parker Wotherspoon D,16:31,0,0,-1,0,2,0,0,1,0/0
Bruins,Maple Leafs,home,D,Nikita Zadorov D,23:00,0,0,0,4,2,2,0,1,0/0
Bruins,Maple Leafs,home,D,Brandon Carlo D,21:00,0,0,0,1,2,0,0,1,0/0
Bruins,Maple Leafs,home,D,Hampus Lindholm D,21:22,0,0,-1,2,0,0,2,4,0/0
Bruins,Maple Leafs,home,D,Charlie McAvoy D,24:20,0,0,0,4,0,4,1,0,0/0
Bruins,Maple Leafs,home,D,Andrew Peeke D,04:49,0,0,0,0,1,0,1,0,0/0
Bruins,Maple Leafs,home,D,Parker Wotherspoon D,16:31,0,0,-1,0,2,0,0,1,0/0
Bruins,Maple Leafs,home,D,Nikita Zadorov D,23:00,0,0,0,4,2,2,0,1,0/0
Bruins,Maple Leafs,home,F,John Beecher C,11:37,0,0,0,1,0,0,0,0,0/3
Bruins,Maple Leafs,home,F,Justin Brazeau R,12:22,0,0,-1,3,3,0,0,0,0/0
Bruins,Maple Leafs,home,F,Charlie Coyle C,18:33,0,0,0,3,0,2,0,0,6/13
Bruins,Maple Leafs,home,F,Trent Frederic C,10:04,0,0,0,0,0,0,0,0,1/1
Bruins,Maple Leafs,home,F,Tyler Johnson C,13:51,0,0,0,1,0,0,0,0,0/1
Bruins,Maple Leafs,home,F,Mark Kastelic C,12:42,0,0,0,1,0,2,0,0,4/9
Bruins,Maple Leafs,home,F,Cole Koepke L,12:17,0,0,0,0,0,0,0,0,0/0
Bruins,Maple Leafs,home,F,Elias Lindholm C,19:53,0,0,-1,2,0,0,0,1,11/23
Bruins,Maple Leafs,home,F,Brad Marchand L,19:32,0,0,0,3,1,4,0,2,0/0
Bruins,Maple Leafs,home,F,David Pastrnak R,22:18,0,0,-1,4,0,2,0,1,0/0
Bruins,Maple Leafs,home,F,Matthew Poitras C,11:41,0,0,0,0,1,0,1,1,2/6
Bruins,Maple Leafs,home,F,Pavel Zacha C,15:25,0,0,-1,0,0,0,0,1,4/6
Bruins,Maple Leafs,home,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Maple Leafs,home,F,Brandon Carlo D,21:00,0,0,0,1,2,0,0,1,0/0
Bruins,Maple Leafs,home,F,Hampus Lindholm D,21:22,0,0,-1,2,0,0,2,4,0/0
Bruins,Maple Leafs,home,F,Charlie McAvoy D,24:20,0,0,0,4,0,4,1,0,0/0
Bruins,Maple Leafs,home,F,Andrew Peeke D,04:49,0,0,0,0,1,0,1,0,0/0
Bruins,Maple Leafs,home,F,Parker Wotherspoon D,16:31,0,0,-1,0,2,0,0,1,0/0
Bruins,Maple Leafs,home,F,Nikita Zadorov D,23:00,0,0,0,4,2,2,0,1,0/0
Bruins,Maple Leafs,home,F,John Beecher C,11:37,0,0,0,1,0,0,0,0,0/3
Bruins,Maple Leafs,home,F,Justin Brazeau R,12:22,0,0,-1,3,3,0,0,0,0/0
Bruins,Maple Leafs,home,F,Charlie Coyle C,18:33,0,0,0,3,0,2,0,0,6/13
Bruins,Maple Leafs,home,F,Trent Frederic C,10:04,0,0,0,0,0,0,0,0,1/1
Bruins,Maple Leafs,home,F,Tyler Johnson C,13:51,0,0,0,1,0,0,0,0,0/1
Bruins,Maple Leafs,home,F,Mark Kastelic C,12:42,0,0,0,1,0,2,0,0,4/9
Bruins,Maple Leafs,home,F,Cole Koepke L,12:17,0,0,0,0,0,0,0,0,0/0
Bruins,Maple Leafs,home,F,Elias Lindholm C,19:53,0,0,-1,2,0,0,0,1,11/23
Bruins,Maple Leafs,home,F,Brad Marchand L,19:32,0,0,0,3,1,4,0,2,0/0
Bruins,Maple Leafs,home,F,David Pastrnak R,22:18,0,0,-1,4,0,2,0,1,0/0
Bruins,Maple Leafs,home,F,Matthew Poitras C,11:41,0,0,0,0,1,0,1,1,2/6
Bruins,Maple Leafs,home,F,Pavel Zacha C,15:25,0,0,-1,0,0,0,0,1,4/6
Bruins,Maple Leafs,home,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Maple Leafs,home,F,Brandon Carlo D,21:00,0,0,0,1,2,0,0,1,0/0
Bruins,Maple Leafs,home,F,Hampus Lindholm D,21:22,0,0,-1,2,0,0,2,4,0/0
Bruins,Maple Leafs,home,F,Charlie McAvoy D,24:20,0,0,0,4,0,4,1,0,0/0
Bruins,Maple Leafs,home,F,Andrew Peeke D,04:49,0,0,0,0,1,0,1,0,0/0
Bruins,Maple Leafs,home,F,Parker Wotherspoon D,16:31,0,0,-1,0,2,0,0,1,0/0
Bruins,Maple Leafs,home,F,Nikita Zadorov D,23:00,0,0,0,4,2,2,0,1,0/0
