team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Bruins,Blues,home,D,Brandon Carlo D,21:55,0,0,1,0,0,0,2,3,0/0
Bruins,Blues,home,D,Hampus Lindholm D,08:17,0,0,0,0,1,0,0,0,0/0
Bruins,Blues,home,D,Mason Lohrei D,18:53,0,0,2,0,0,0,0,0,0/0
Bruins,Blues,home,D,Charlie McAvoy D,25:08,1,1,2,3,0,0,1,1,0/0
Bruins,Blues,home,D,Parker Wotherspoon D,17:19,0,0,1,1,2,0,0,1,0/0
Bruins,Blues,home,D,Nikita Zadorov D,22:07,0,0,0,2,1,0,0,4,0/0
Bruins,Blues,home,D,Brandon Carlo D,21:55,0,0,1,0,0,0,2,3,0/0
Bruins,Blues,home,D,Hampus Lindholm D,08:17,0,0,0,0,1,0,0,0,0/0
Bruins,Blues,home,D,Mason Lohrei D,18:53,0,0,2,0,0,0,0,0,0/0
Bruins,Blues,home,D,Charlie McAvoy D,25:08,1,1,2,3,0,0,1,1,0/0
Bruins,Blues,home,D,Parker Wotherspoon D,17:19,0,0,1,1,2,0,0,1,0/0
Bruins,Blues,home,D,Nikita Zadorov D,22:07,0,0,0,2,1,0,0,4,0/0
Bruins,Blues,home,F,John Beecher C,08:41,0,0,0,1,2,0,0,1,2/3
Bruins,Blues,home,F,Justin Brazeau R,11:50,0,1,1,0,1,2,0,0,0/0
Bruins,Blues,home,F,Charlie Coyle C,15:43,0,0,0,0,2,0,0,0,6/10
Bruins,Blues,home,F,Trent Frederic C,13:40,0,0,0,0,0,0,0,3,0/0
Bruins,Blues,home,F,Morgan Geekie C,16:27,1,0,2,2,1,0,0,0,1/5
Bruins,Blues,home,F,Tyler Johnson C,11:02,0,0,0,0,1,0,0,0,0/0
Bruins,Blues,home,F,Mark Kastelic C,13:20,0,0,0,0,0,0,0,0,2/4
Bruins,Blues,home,F,Cole Koepke L,10:55,0,0,0,2,0,2,0,1,0/0
Bruins,Blues,home,F,Elias Lindholm C,16:48,0,0,1,1,0,0,0,0,9/17
Bruins,Blues,home,F,Brad Marchand L,18:10,0,1,1,5,1,0,0,2,0/0
Bruins,Blues,home,F,David Pastrnak R,24:29,1,1,2,10,0,2,1,1,0/0
Bruins,Blues,home,F,Pavel Zacha C,20:32,0,1,2,3,1,0,0,1,6/9
Bruins,Blues,home,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Blues,home,F,Brandon Carlo D,21:55,0,0,1,0,0,0,2,3,0/0
Bruins,Blues,home,F,Hampus Lindholm D,08:17,0,0,0,0,1,0,0,0,0/0
Bruins,Blues,home,F,Mason Lohrei D,18:53,0,0,2,0,0,0,0,0,0/0
Bruins,Blues,home,F,Charlie McAvoy D,25:08,1,1,2,3,0,0,1,1,0/0
Bruins,Blues,home,F,Parker Wotherspoon D,17:19,0,0,1,1,2,0,0,1,0/0
Bruins,Blues,home,F,Nikita Zadorov D,22:07,0,0,0,2,1,0,0,4,0/0
Bruins,Blues,home,F,John Beecher C,08:41,0,0,0,1,2,0,0,1,2/3
Bruins,Blues,home,F,Justin Brazeau R,11:50,0,1,1,0,1,2,0,0,0/0
Bruins,Blues,home,F,Charlie Coyle C,15:43,0,0,0,0,2,0,0,0,6/10
Bruins,Blues,home,F,Trent Frederic C,13:40,0,0,0,0,0,0,0,3,0/0
Bruins,Blues,home,F,Morgan Geekie C,16:27,1,0,2,2,1,0,0,0,1/5
Bruins,Blues,home,F,Tyler Johnson C,11:02,0,0,0,0,1,0,0,0,0/0
Bruins,Blues,home,F,Mark Kastelic C,13:20,0,0,0,0,0,0,0,0,2/4
Bruins,Blues,home,F,Cole Koepke L,10:55,0,0,0,2,0,2,0,1,0/0
Bruins,Blues,home,F,Elias Lindholm C,16:48,0,0,1,1,0,0,0,0,9/17
Bruins,Blues,home,F,Brad Marchand L,18:10,0,1,1,5,1,0,0,2,0/0
Bruins,Blues,home,F,David Pastrnak R,24:29,1,1,2,10,0,2,1,1,0/0
Bruins,Blues,home,F,Pavel Zacha C,20:32,0,1,2,3,1,0,0,1,6/9
Bruins,Blues,home,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Blues,home,F,Brandon Carlo D,21:55,0,0,1,0,0,0,2,3,0/0
Bruins,Blues,home,F,Hampus Lindholm D,08:17,0,0,0,0,1,0,0,0,0/0
Bruins,Blues,home,F,Mason Lohrei D,18:53,0,0,2,0,0,0,0,0,0/0
Bruins,Blues,home,F,Charlie McAvoy D,25:08,1,1,2,3,0,0,1,1,0/0
Bruins,Blues,home,F,Parker Wotherspoon D,17:19,0,0,1,1,2,0,0,1,0/0
Bruins,Blues,home,F,Nikita Zadorov D,22:07,0,0,0,2,1,0,0,4,0/0
