team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Bruins,Blues,away,D,Brandon Carlo D,21:26,0,0,-1,0,1,0,0,0,0/0
Bruins,Blues,away,D,Mason Lohrei D,20:29,0,1,2,1,2,0,0,2,0/0
Bruins,Blues,away,D,Charlie McAvoy D,25:07,0,1,1,1,1,2,0,3,0/0
Bruins,Blues,away,D,Jordan Oesterle D,18:20,0,0,-1,1,2,0,0,1,0/0
Bruins,Blues,away,D,Parker Wotherspoon D,15:24,0,0,-1,0,0,0,0,1,0/0
Bruins,Blues,away,D,Nikita Zadorov D,20:22,0,0,-1,1,0,0,0,1,0/0
Bruins,Blues,away,D,Brandon Carlo D,21:26,0,0,-1,0,1,0,0,0,0/0
Bruins,Blues,away,D,Mason Lohrei D,20:29,0,1,2,1,2,0,0,2,0/0
Bruins,Blues,away,D,Charlie McAvoy D,25:07,0,1,1,1,1,2,0,3,0/0
Bruins,Blues,away,D,Jordan Oesterle D,18:20,0,0,-1,1,2,0,0,1,0/0
Bruins,Blues,away,D,Parker Wotherspoon D,15:24,0,0,-1,0,0,0,0,1,0/0
Bruins,Blues,away,D,Nikita Zadorov D,20:22,0,0,-1,1,0,0,0,1,0/0
Bruins,Blues,away,F,Justin Brazeau R,16:24,0,0,0,2,0,0,0,1,0/1
Bruins,Blues,away,F,Charlie Coyle C,16:42,0,0,1,1,0,0,2,1,9/16
Bruins,Blues,away,F,Trent Frederic C,16:37,2,0,1,5,0,2,0,0,2/4
Bruins,Blues,away,F,Morgan Geekie C,16:39,0,0,0,1,0,0,1,0,3/5
Bruins,Blues,away,F,Mark Kastelic C,05:18,0,0,-1,0,0,0,0,0,4/4
Bruins,Blues,away,F,Cole Koepke L,10:58,0,0,-2,0,2,0,0,0,0/0
Bruins,Blues,away,F,Elias Lindholm C,18:19,0,0,-1,0,1,0,0,1,7/12
Bruins,Blues,away,F,Brad Marchand L,17:57,0,0,0,0,0,0,0,1,0/1
Bruins,Blues,away,F,Georgii Merkulov C,13:11,0,1,2,0,0,0,0,0,0/0
Bruins,Blues,away,F,David Pastrnak R,21:12,0,0,0,4,0,0,0,2,0/0
Bruins,Blues,away,F,Riley Tufte L,07:46,0,0,-2,0,0,0,0,0,0/1
Bruins,Blues,away,F,Pavel Zacha C,20:28,0,0,0,0,0,0,0,0,8/15
Bruins,Blues,away,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Blues,away,F,Brandon Carlo D,21:26,0,0,-1,0,1,0,0,0,0/0
Bruins,Blues,away,F,Mason Lohrei D,20:29,0,1,2,1,2,0,0,2,0/0
Bruins,Blues,away,F,Charlie McAvoy D,25:07,0,1,1,1,1,2,0,3,0/0
Bruins,Blues,away,F,Jordan Oesterle D,18:20,0,0,-1,1,2,0,0,1,0/0
Bruins,Blues,away,F,Parker Wotherspoon D,15:24,0,0,-1,0,0,0,0,1,0/0
Bruins,Blues,away,F,Nikita Zadorov D,20:22,0,0,-1,1,0,0,0,1,0/0
Bruins,Blues,away,F,Justin Brazeau R,16:24,0,0,0,2,0,0,0,1,0/1
Bruins,Blues,away,F,Charlie Coyle C,16:42,0,0,1,1,0,0,2,1,9/16
Bruins,Blues,away,F,Trent Frederic C,16:37,2,0,1,5,0,2,0,0,2/4
Bruins,Blues,away,F,Morgan Geekie C,16:39,0,0,0,1,0,0,1,0,3/5
Bruins,Blues,away,F,Mark Kastelic C,05:18,0,0,-1,0,0,0,0,0,4/4
Bruins,Blues,away,F,Cole Koepke L,10:58,0,0,-2,0,2,0,0,0,0/0
Bruins,Blues,away,F,Elias Lindholm C,18:19,0,0,-1,0,1,0,0,1,7/12
Bruins,Blues,away,F,Brad Marchand L,17:57,0,0,0,0,0,0,0,1,0/1
Bruins,Blues,away,F,Georgii Merkulov C,13:11,0,1,2,0,0,0,0,0,0/0
Bruins,Blues,away,F,David Pastrnak R,21:12,0,0,0,4,0,0,0,2,0/0
Bruins,Blues,away,F,Riley Tufte L,07:46,0,0,-2,0,0,0,0,0,0/1
Bruins,Blues,away,F,Pavel Zacha C,20:28,0,0,0,0,0,0,0,0,8/15
Bruins,Blues,away,F,Bruins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrandon
Bruins,Blues,away,F,Brandon Carlo D,21:26,0,0,-1,0,1,0,0,0,0/0
Bruins,Blues,away,F,Mason Lohrei D,20:29,0,1,2,1,2,0,0,2,0/0
Bruins,Blues,away,F,Charlie McAvoy D,25:07,0,1,1,1,1,2,0,3,0/0
Bruins,Blues,away,F,Jordan Oesterle D,18:20,0,0,-1,1,2,0,0,1,0/0
Bruins,Blues,away,F,Parker Wotherspoon D,15:24,0,0,-1,0,0,0,0,1,0/0
Bruins,Blues,away,F,Nikita Zadorov D,20:22,0,0,-1,1,0,0,0,1,0/0
