team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Canadiens,Senators,away,D,Justin Barron D,16:56,0,0,0,1,1,2,0,0,0/0
Canadiens,Senators,away,D,Kaiden Guhle D,21:21,0,1,2,0,8,0,0,1,0/0
Canadiens,Senators,away,D,Lane Hutson D,18:35,0,2,1,1,0,2,1,0,0/0
Canadiens,Senators,away,D,Mike Matheson D,25:40,0,1,1,2,1,0,1,2,0/0
Canadiens,Senators,away,D,David Savard D,15:46,0,0,0,0,3,0,0,2,0/0
Canadiens,Senators,away,D,Arber Xhekaj D,14:13,0,0,0,0,0,0,0,2,0/0
Canadiens,Senators,away,D,Justin Barron D,16:56,0,0,0,1,1,2,0,0,0/0
Canadiens,Senators,away,D,Kaiden Guhle D,21:21,0,1,2,0,8,0,0,1,0/0
Canadiens,Senators,away,D,Lane Hutson D,18:35,0,2,1,1,0,2,1,0,0/0
Canadiens,Senators,away,D,Mike Matheson D,25:40,0,1,1,2,1,0,1,2,0/0
Canadiens,Senators,away,D,David Savard D,15:46,0,0,0,0,3,0,0,2,0/0
Canadiens,Senators,away,D,Arber Xhekaj D,14:13,0,0,0,0,0,0,0,2,0/0
Canadiens,Senators,away,F,Josh Anderson R,14:59,0,0,0,1,2,4,0,0,0/1
Canadiens,Senators,away,F,Joel Armia R,15:25,0,0,0,2,1,0,0,1,0/0
Canadiens,Senators,away,F,Cole Caufield R,17:23,2,0,2,3,1,0,0,1,0/0
Canadiens,Senators,away,F,Kirby Dach C,14:09,0,0,0,6,2,0,0,2,0/1
Canadiens,Senators,away,F,Christian Dvorak C,13:50,0,1,0,0,1,0,0,1,2/6
Canadiens,Senators,away,F,Jake Evans C,14:42,0,0,-1,1,2,0,0,0,10/15
Canadiens,Senators,away,F,Brendan Gallagher R,16:07,0,0,-1,2,1,0,0,1,0/0
Canadiens,Senators,away,F,Emil Heineman L,09:27,1,0,0,2,1,2,0,0,0/1
Canadiens,Senators,away,F,Oliver Kapanen C,14:10,0,0,1,0,0,0,0,0,2/5
Canadiens,Senators,away,F,Alex Newhook C,14:29,1,0,1,1,0,0,0,0,3/6
Canadiens,Senators,away,F,Juraj Slafkovsky L,13:38,0,2,2,1,0,0,0,1,0/0
Canadiens,Senators,away,F,Nick Suzuki C,19:10,0,1,2,3,0,0,1,0,13/20
Canadiens,Senators,away,F,Canadiens Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJustin
Canadiens,Senators,away,F,Justin Barron D,16:56,0,0,0,1,1,2,0,0,0/0
Canadiens,Senators,away,F,Kaiden Guhle D,21:21,0,1,2,0,8,0,0,1,0/0
Canadiens,Senators,away,F,Lane Hutson D,18:35,0,2,1,1,0,2,1,0,0/0
Canadiens,Senators,away,F,Mike Matheson D,25:40,0,1,1,2,1,0,1,2,0/0
Canadiens,Senators,away,F,David Savard D,15:46,0,0,0,0,3,0,0,2,0/0
Canadiens,Senators,away,F,Arber Xhekaj D,14:13,0,0,0,0,0,0,0,2,0/0
Canadiens,Senators,away,F,Josh Anderson R,14:59,0,0,0,1,2,4,0,0,0/1
Canadiens,Senators,away,F,Joel Armia R,15:25,0,0,0,2,1,0,0,1,0/0
Canadiens,Senators,away,F,Cole Caufield R,17:23,2,0,2,3,1,0,0,1,0/0
Canadiens,Senators,away,F,Kirby Dach C,14:09,0,0,0,6,2,0,0,2,0/1
Canadiens,Senators,away,F,Christian Dvorak C,13:50,0,1,0,0,1,0,0,1,2/6
Canadiens,Senators,away,F,Jake Evans C,14:42,0,0,-1,1,2,0,0,0,10/15
Canadiens,Senators,away,F,Brendan Gallagher R,16:07,0,0,-1,2,1,0,0,1,0/0
Canadiens,Senators,away,F,Emil Heineman L,09:27,1,0,0,2,1,2,0,0,0/1
Canadiens,Senators,away,F,Oliver Kapanen C,14:10,0,0,1,0,0,0,0,0,2/5
Canadiens,Senators,away,F,Alex Newhook C,14:29,1,0,1,1,0,0,0,0,3/6
Canadiens,Senators,away,F,Juraj Slafkovsky L,13:38,0,2,2,1,0,0,0,1,0/0
Canadiens,Senators,away,F,Nick Suzuki C,19:10,0,1,2,3,0,0,1,0,13/20
Canadiens,Senators,away,F,Canadiens Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJustin
Canadiens,Senators,away,F,Justin Barron D,16:56,0,0,0,1,1,2,0,0,0/0
Canadiens,Senators,away,F,Kaiden Guhle D,21:21,0,1,2,0,8,0,0,1,0/0
Canadiens,Senators,away,F,Lane Hutson D,18:35,0,2,1,1,0,2,1,0,0/0
Canadiens,Senators,away,F,Mike Matheson D,25:40,0,1,1,2,1,0,1,2,0/0
Canadiens,Senators,away,F,David Savard D,15:46,0,0,0,0,3,0,0,2,0/0
Canadiens,Senators,away,F,Arber Xhekaj D,14:13,0,0,0,0,0,0,0,2,0/0
