team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Canadiens,Kings,away,D,Justin Barron D,17:45,1,0,1,2,1,0,1,1,0/0
Canadiens,Kings,away,D,Kaiden Guhle D,23:09,0,0,-2,2,2,0,1,4,0/0
Canadiens,Kings,away,D,Lane Hutson D,30:05,0,0,-2,1,3,0,2,1,0/0
Canadiens,Kings,away,D,Mike Matheson D,07:35,0,0,0,1,1,0,0,0,0/0
Canadiens,Kings,away,D,David Savard D,18:58,0,0,-1,2,2,0,1,1,0/0
Canadiens,Kings,away,D,Arber Xhekaj D,14:31,0,0,-1,2,3,2,0,2,0/0
Canadiens,Kings,away,D,Justin Barron D,17:45,1,0,1,2,1,0,1,1,0/0
Canadiens,Kings,away,D,Kaiden Guhle D,23:09,0,0,-2,2,2,0,1,4,0/0
Canadiens,Kings,away,D,Lane Hutson D,30:05,0,0,-2,1,3,0,2,1,0/0
Canadiens,Kings,away,D,Mike Matheson D,07:35,0,0,0,1,1,0,0,0,0/0
Canadiens,Kings,away,D,David Savard D,18:58,0,0,-1,2,2,0,1,1,0/0
Canadiens,Kings,away,D,Arber Xhekaj D,14:31,0,0,-1,2,3,2,0,2,0/0
Canadiens,Kings,away,F,Josh Anderson R,13:59,0,0,0,3,0,0,0,0,0/0
Canadiens,Kings,away,F,Joel Armia R,14:11,0,0,-1,2,0,0,0,0,0/0
Canadiens,Kings,away,F,Cole Caufield R,22:07,0,1,0,3,1,0,1,1,0/0
Canadiens,Kings,away,F,Kirby Dach C,16:42,0,0,-3,1,1,2,0,0,4/4
Canadiens,Kings,away,F,Christian Dvorak C,10:05,0,0,-2,1,0,0,0,1,1/4
Canadiens,Kings,away,F,Jake Evans C,14:47,0,0,-1,0,0,0,0,1,9/13
Canadiens,Kings,away,F,Brendan Gallagher R,14:24,0,0,-1,1,1,0,0,1,0/0
Canadiens,Kings,away,F,Emil Heineman L,10:13,0,0,0,1,0,0,0,0,0/0
Canadiens,Kings,away,F,Oliver Kapanen C,11:11,0,0,0,2,0,0,0,0,2/4
Canadiens,Kings,away,F,Alex Newhook C,14:44,0,0,-3,1,0,0,0,0,0/5
Canadiens,Kings,away,F,Juraj Slafkovsky L,21:10,0,0,0,0,4,0,2,0,0/0
Canadiens,Kings,away,F,Nick Suzuki C,22:20,0,1,0,2,0,0,1,0,16/24
Canadiens,Kings,away,F,Canadiens Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJustin
Canadiens,Kings,away,F,Justin Barron D,17:45,1,0,1,2,1,0,1,1,0/0
Canadiens,Kings,away,F,Kaiden Guhle D,23:09,0,0,-2,2,2,0,1,4,0/0
Canadiens,Kings,away,F,Lane Hutson D,30:05,0,0,-2,1,3,0,2,1,0/0
Canadiens,Kings,away,F,Mike Matheson D,07:35,0,0,0,1,1,0,0,0,0/0
Canadiens,Kings,away,F,David Savard D,18:58,0,0,-1,2,2,0,1,1,0/0
Canadiens,Kings,away,F,Arber Xhekaj D,14:31,0,0,-1,2,3,2,0,2,0/0
Canadiens,Kings,away,F,Josh Anderson R,13:59,0,0,0,3,0,0,0,0,0/0
Canadiens,Kings,away,F,Joel Armia R,14:11,0,0,-1,2,0,0,0,0,0/0
Canadiens,Kings,away,F,Cole Caufield R,22:07,0,1,0,3,1,0,1,1,0/0
Canadiens,Kings,away,F,Kirby Dach C,16:42,0,0,-3,1,1,2,0,0,4/4
Canadiens,Kings,away,F,Christian Dvorak C,10:05,0,0,-2,1,0,0,0,1,1/4
Canadiens,Kings,away,F,Jake Evans C,14:47,0,0,-1,0,0,0,0,1,9/13
Canadiens,Kings,away,F,Brendan Gallagher R,14:24,0,0,-1,1,1,0,0,1,0/0
Canadiens,Kings,away,F,Emil Heineman L,10:13,0,0,0,1,0,0,0,0,0/0
Canadiens,Kings,away,F,Oliver Kapanen C,11:11,0,0,0,2,0,0,0,0,2/4
Canadiens,Kings,away,F,Alex Newhook C,14:44,0,0,-3,1,0,0,0,0,0/5
Canadiens,Kings,away,F,Juraj Slafkovsky L,21:10,0,0,0,0,4,0,2,0,0/0
Canadiens,Kings,away,F,Nick Suzuki C,22:20,0,1,0,2,0,0,1,0,16/24
Canadiens,Kings,away,F,Canadiens Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJustin
Canadiens,Kings,away,F,Justin Barron D,17:45,1,0,1,2,1,0,1,1,0/0
Canadiens,Kings,away,F,Kaiden Guhle D,23:09,0,0,-2,2,2,0,1,4,0/0
Canadiens,Kings,away,F,Lane Hutson D,30:05,0,0,-2,1,3,0,2,1,0/0
Canadiens,Kings,away,F,Mike Matheson D,07:35,0,0,0,1,1,0,0,0,0/0
Canadiens,Kings,away,F,David Savard D,18:58,0,0,-1,2,2,0,1,1,0/0
Canadiens,Kings,away,F,Arber Xhekaj D,14:31,0,0,-1,2,3,2,0,2,0/0
