team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Canadiens,Flyers,home,D,Lane Hutson D,21:42,0,0,0,1,2,0,0,2,0/0
Canadiens,Flyers,home,D,Logan Mailloux D,13:31,0,1,-1,0,0,0,0,0,0/0
Canadiens,Flyers,home,D,Mike Matheson D,24:58,0,1,1,2,8,0,2,0,0/0
Canadiens,Flyers,home,D,David Savard D,22:15,0,1,0,0,4,0,0,1,0/0
Canadiens,Flyers,home,D,Jayden Struble D,18:55,0,1,1,2,0,0,1,0,0/0
Canadiens,Flyers,home,D,Arber Xhekaj D,16:56,0,0,-1,0,0,2,0,3,0/0
Canadiens,Flyers,home,D,Lane Hutson D,21:42,0,0,0,1,2,0,0,2,0/0
Canadiens,Flyers,home,D,Logan Mailloux D,13:31,0,1,-1,0,0,0,0,0,0/0
Canadiens,Flyers,home,D,Mike Matheson D,24:58,0,1,1,2,8,0,2,0,0/0
Canadiens,Flyers,home,D,David Savard D,22:15,0,1,0,0,4,0,0,1,0/0
Canadiens,Flyers,home,D,Jayden Struble D,18:55,0,1,1,2,0,0,1,0,0/0
Canadiens,Flyers,home,D,Arber Xhekaj D,16:56,0,0,-1,0,0,2,0,3,0/0
Canadiens,Flyers,home,F,Josh Anderson R,15:33,0,1,-1,0,0,0,0,1,0/0
Canadiens,Flyers,home,F,Joel Armia R,15:55,0,0,0,0,2,0,0,1,0/0
Canadiens,Flyers,home,F,Cole Caufield R,16:22,1,0,0,4,0,0,0,0,0/0
Canadiens,Flyers,home,F,Kirby Dach C,16:20,0,1,0,1,0,0,0,1,0/2
Canadiens,Flyers,home,F,Christian Dvorak C,14:21,0,0,0,1,0,0,2,1,8/14
Canadiens,Flyers,home,F,Jake Evans C,17:07,1,0,0,2,0,0,0,0,6/19
Canadiens,Flyers,home,F,Brendan Gallagher R,14:57,1,1,0,1,1,0,1,1,0/0
Canadiens,Flyers,home,F,Emil Heineman L,10:47,0,0,0,2,2,0,1,1,0/0
Canadiens,Flyers,home,F,Oliver Kapanen C,10:52,0,0,0,2,1,2,0,1,0/2
Canadiens,Flyers,home,F,Alex Newhook C,13:47,0,0,0,0,0,0,1,0,3/6
Canadiens,Flyers,home,F,Michael Pezzetta L,10:45,0,0,1,1,1,0,0,0,0/1
Canadiens,Flyers,home,F,Nick Suzuki C,18:57,1,1,0,5,3,2,1,1,5/14
Canadiens,Flyers,home,F,Canadiens Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOLane
Canadiens,Flyers,home,F,Lane Hutson D,21:42,0,0,0,1,2,0,0,2,0/0
Canadiens,Flyers,home,F,Logan Mailloux D,13:31,0,1,-1,0,0,0,0,0,0/0
Canadiens,Flyers,home,F,Mike Matheson D,24:58,0,1,1,2,8,0,2,0,0/0
Canadiens,Flyers,home,F,David Savard D,22:15,0,1,0,0,4,0,0,1,0/0
Canadiens,Flyers,home,F,Jayden Struble D,18:55,0,1,1,2,0,0,1,0,0/0
Canadiens,Flyers,home,F,Arber Xhekaj D,16:56,0,0,-1,0,0,2,0,3,0/0
Canadiens,Flyers,home,F,Josh Anderson R,15:33,0,1,-1,0,0,0,0,1,0/0
Canadiens,Flyers,home,F,Joel Armia R,15:55,0,0,0,0,2,0,0,1,0/0
Canadiens,Flyers,home,F,Cole Caufield R,16:22,1,0,0,4,0,0,0,0,0/0
Canadiens,Flyers,home,F,Kirby Dach C,16:20,0,1,0,1,0,0,0,1,0/2
Canadiens,Flyers,home,F,Christian Dvorak C,14:21,0,0,0,1,0,0,2,1,8/14
Canadiens,Flyers,home,F,Jake Evans C,17:07,1,0,0,2,0,0,0,0,6/19
Canadiens,Flyers,home,F,Brendan Gallagher R,14:57,1,1,0,1,1,0,1,1,0/0
Canadiens,Flyers,home,F,Emil Heineman L,10:47,0,0,0,2,2,0,1,1,0/0
Canadiens,Flyers,home,F,Oliver Kapanen C,10:52,0,0,0,2,1,2,0,1,0/2
Canadiens,Flyers,home,F,Alex Newhook C,13:47,0,0,0,0,0,0,1,0,3/6
Canadiens,Flyers,home,F,Michael Pezzetta L,10:45,0,0,1,1,1,0,0,0,0/1
Canadiens,Flyers,home,F,Nick Suzuki C,18:57,1,1,0,5,3,2,1,1,5/14
Canadiens,Flyers,home,F,Canadiens Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOLane
Canadiens,Flyers,home,F,Lane Hutson D,21:42,0,0,0,1,2,0,0,2,0/0
Canadiens,Flyers,home,F,Logan Mailloux D,13:31,0,1,-1,0,0,0,0,0,0/0
Canadiens,Flyers,home,F,Mike Matheson D,24:58,0,1,1,2,8,0,2,0,0/0
Canadiens,Flyers,home,F,David Savard D,22:15,0,1,0,0,4,0,0,1,0/0
Canadiens,Flyers,home,F,Jayden Struble D,18:55,0,1,1,2,0,0,1,0,0/0
Canadiens,Flyers,home,F,Arber Xhekaj D,16:56,0,0,-1,0,0,2,0,3,0/0
