team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Canadiens,Maple Leafs,home,D,Kaiden Guhle D,22:29,0,0,0,2,1,2,1,0,0/0
Canadiens,Maple Leafs,home,D,Lane Hutson D,23:37,0,1,0,1,0,0,1,1,0/0
Canadiens,Maple Leafs,home,D,Mike Matheson D,24:09,0,0,-1,3,1,0,0,1,0/0
Canadiens,Maple Leafs,home,D,David Savard D,18:36,0,0,0,0,2,2,1,0,0/0
Canadiens,Maple Leafs,home,D,Jayden Struble D,15:36,0,0,-1,2,0,0,1,0,0/0
Canadiens,Maple Leafs,home,D,Arber Xhekaj D,13:51,0,0,-1,3,0,0,0,2,0/0
Canadiens,Maple Leafs,home,D,Kaiden Guhle D,22:29,0,0,0,2,1,2,1,0,0/0
Canadiens,Maple Leafs,home,D,Lane Hutson D,23:37,0,1,0,1,0,0,1,1,0/0
Canadiens,Maple Leafs,home,D,Mike Matheson D,24:09,0,0,-1,3,1,0,0,1,0/0
Canadiens,Maple Leafs,home,D,David Savard D,18:36,0,0,0,0,2,2,1,0,0/0
Canadiens,Maple Leafs,home,D,Jayden Struble D,15:36,0,0,-1,2,0,0,1,0,0/0
Canadiens,Maple Leafs,home,D,Arber Xhekaj D,13:51,0,0,-1,3,0,0,0,2,0/0
Canadiens,Maple Leafs,home,F,Josh Anderson R,14:58,0,0,-1,2,0,0,0,1,0/0
Canadiens,Maple Leafs,home,F,Joel Armia R,13:36,0,0,-1,0,1,2,0,1,0/0
Canadiens,Maple Leafs,home,F,Cole Caufield R,16:42,0,0,-1,1,0,0,1,0,0/0
Canadiens,Maple Leafs,home,F,Lucas Condotta L,08:19,0,0,0,0,2,0,0,0,3/6
Canadiens,Maple Leafs,home,F,Kirby Dach C,15:56,0,0,-1,1,2,0,0,0,1/2
Canadiens,Maple Leafs,home,F,Christian Dvorak C,16:06,0,0,-1,1,0,0,0,2,3/9
Canadiens,Maple Leafs,home,F,Jake Evans C,15:39,0,0,0,0,0,0,0,0,9/19
Canadiens,Maple Leafs,home,F,Brendan Gallagher R,15:11,1,0,0,2,0,0,0,1,0/1
Canadiens,Maple Leafs,home,F,Emil Heineman L,11:02,0,1,0,1,1,2,1,0,0/1
Canadiens,Maple Leafs,home,F,Alex Newhook C,15:20,0,0,0,1,0,2,0,0,2/7
Canadiens,Maple Leafs,home,F,Juraj Slafkovsky L,12:50,0,0,-1,0,0,0,0,0,0/0
Canadiens,Maple Leafs,home,F,Nick Suzuki C,19:00,0,0,-1,1,0,0,0,3,9/17
Canadiens,Maple Leafs,home,F,Canadiens Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOKaiden
Canadiens,Maple Leafs,home,F,Kaiden Guhle D,22:29,0,0,0,2,1,2,1,0,0/0
Canadiens,Maple Leafs,home,F,Lane Hutson D,23:37,0,1,0,1,0,0,1,1,0/0
Canadiens,Maple Leafs,home,F,Mike Matheson D,24:09,0,0,-1,3,1,0,0,1,0/0
Canadiens,Maple Leafs,home,F,David Savard D,18:36,0,0,0,0,2,2,1,0,0/0
Canadiens,Maple Leafs,home,F,Jayden Struble D,15:36,0,0,-1,2,0,0,1,0,0/0
Canadiens,Maple Leafs,home,F,Arber Xhekaj D,13:51,0,0,-1,3,0,0,0,2,0/0
Canadiens,Maple Leafs,home,F,Josh Anderson R,14:58,0,0,-1,2,0,0,0,1,0/0
Canadiens,Maple Leafs,home,F,Joel Armia R,13:36,0,0,-1,0,1,2,0,1,0/0
Canadiens,Maple Leafs,home,F,Cole Caufield R,16:42,0,0,-1,1,0,0,1,0,0/0
Canadiens,Maple Leafs,home,F,Lucas Condotta L,08:19,0,0,0,0,2,0,0,0,3/6
Canadiens,Maple Leafs,home,F,Kirby Dach C,15:56,0,0,-1,1,2,0,0,0,1/2
Canadiens,Maple Leafs,home,F,Christian Dvorak C,16:06,0,0,-1,1,0,0,0,2,3/9
Canadiens,Maple Leafs,home,F,Jake Evans C,15:39,0,0,0,0,0,0,0,0,9/19
Canadiens,Maple Leafs,home,F,Brendan Gallagher R,15:11,1,0,0,2,0,0,0,1,0/1
Canadiens,Maple Leafs,home,F,Emil Heineman L,11:02,0,1,0,1,1,2,1,0,0/1
Canadiens,Maple Leafs,home,F,Alex Newhook C,15:20,0,0,0,1,0,2,0,0,2/7
Canadiens,Maple Leafs,home,F,Juraj Slafkovsky L,12:50,0,0,-1,0,0,0,0,0,0/0
Canadiens,Maple Leafs,home,F,Nick Suzuki C,19:00,0,0,-1,1,0,0,0,3,9/17
Canadiens,Maple Leafs,home,F,Canadiens Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOKaiden
Canadiens,Maple Leafs,home,F,Kaiden Guhle D,22:29,0,0,0,2,1,2,1,0,0/0
Canadiens,Maple Leafs,home,F,Lane Hutson D,23:37,0,1,0,1,0,0,1,1,0/0
Canadiens,Maple Leafs,home,F,Mike Matheson D,24:09,0,0,-1,3,1,0,0,1,0/0
Canadiens,Maple Leafs,home,F,David Savard D,18:36,0,0,0,0,2,2,1,0,0/0
Canadiens,Maple Leafs,home,F,Jayden Struble D,15:36,0,0,-1,2,0,0,1,0,0/0
Canadiens,Maple Leafs,home,F,Arber Xhekaj D,13:51,0,0,-1,3,0,0,0,2,0/0
