team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Canadiens,Wild,home,D,Kaiden Guhle D,21:31,0,0,0,1,3,0,0,0,0/0
Canadiens,Wild,home,D,Lane Hutson D,20:16,0,0,-2,2,0,2,0,0,0/0
Canadiens,Wild,home,D,Mike Matheson D,28:19,0,0,-1,1,0,0,0,0,0/0
Canadiens,Wild,home,D,David Savard D,18:01,0,0,-1,0,3,0,0,0,0/0
Canadiens,Wild,home,D,Jayden Struble D,12:48,0,0,0,3,0,4,0,0,0/0
Canadiens,Wild,home,D,Arber Xhekaj D,13:37,0,0,0,1,0,0,0,3,0/0
Canadiens,Wild,home,D,Kaiden Guhle D,21:31,0,0,0,1,3,0,0,0,0/0
Canadiens,Wild,home,D,Lane Hutson D,20:16,0,0,-2,2,0,2,0,0,0/0
Canadiens,Wild,home,D,Mike Matheson D,28:19,0,0,-1,1,0,0,0,0,0/0
Canadiens,Wild,home,D,David Savard D,18:01,0,0,-1,0,3,0,0,0,0/0
Canadiens,Wild,home,D,Jayden Struble D,12:48,0,0,0,3,0,4,0,0,0/0
Canadiens,Wild,home,D,Arber Xhekaj D,13:37,0,0,0,1,0,0,0,3,0/0
Canadiens,Wild,home,F,Josh Anderson R,12:51,0,0,0,0,0,0,1,1,0/2
Canadiens,Wild,home,F,Joel Armia R,15:16,0,0,0,1,0,0,0,0,0/0
Canadiens,Wild,home,F,Cole Caufield R,17:54,0,0,-1,2,1,0,1,0,0/0
Canadiens,Wild,home,F,Lucas Condotta L,09:03,0,0,0,1,0,0,0,0,2/4
Canadiens,Wild,home,F,Kirby Dach C,19:20,0,0,-1,2,1,0,0,1,1/2
Canadiens,Wild,home,F,Christian Dvorak C,13:45,0,0,-1,1,2,0,0,0,4/7
Canadiens,Wild,home,F,Jake Evans C,16:50,0,0,-1,0,0,0,0,0,8/11
Canadiens,Wild,home,F,Brendan Gallagher R,13:02,0,0,-1,0,2,2,0,1,0/0
Canadiens,Wild,home,F,Emil Heineman L,10:41,0,0,0,0,1,0,0,0,0/0
Canadiens,Wild,home,F,Alex Newhook C,14:01,0,0,0,1,0,0,0,0,5/8
Canadiens,Wild,home,F,Juraj Slafkovsky L,17:58,0,0,-1,1,0,0,0,2,0/1
Canadiens,Wild,home,F,Nick Suzuki C,18:29,0,0,-1,2,0,0,0,0,7/15
Canadiens,Wild,home,F,Canadiens Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOKaiden
Canadiens,Wild,home,F,Kaiden Guhle D,21:31,0,0,0,1,3,0,0,0,0/0
Canadiens,Wild,home,F,Lane Hutson D,20:16,0,0,-2,2,0,2,0,0,0/0
Canadiens,Wild,home,F,Mike Matheson D,28:19,0,0,-1,1,0,0,0,0,0/0
Canadiens,Wild,home,F,David Savard D,18:01,0,0,-1,0,3,0,0,0,0/0
Canadiens,Wild,home,F,Jayden Struble D,12:48,0,0,0,3,0,4,0,0,0/0
Canadiens,Wild,home,F,Arber Xhekaj D,13:37,0,0,0,1,0,0,0,3,0/0
Canadiens,Wild,home,F,Josh Anderson R,12:51,0,0,0,0,0,0,1,1,0/2
Canadiens,Wild,home,F,Joel Armia R,15:16,0,0,0,1,0,0,0,0,0/0
Canadiens,Wild,home,F,Cole Caufield R,17:54,0,0,-1,2,1,0,1,0,0/0
Canadiens,Wild,home,F,Lucas Condotta L,09:03,0,0,0,1,0,0,0,0,2/4
Canadiens,Wild,home,F,Kirby Dach C,19:20,0,0,-1,2,1,0,0,1,1/2
Canadiens,Wild,home,F,Christian Dvorak C,13:45,0,0,-1,1,2,0,0,0,4/7
Canadiens,Wild,home,F,Jake Evans C,16:50,0,0,-1,0,0,0,0,0,8/11
Canadiens,Wild,home,F,Brendan Gallagher R,13:02,0,0,-1,0,2,2,0,1,0/0
Canadiens,Wild,home,F,Emil Heineman L,10:41,0,0,0,0,1,0,0,0,0/0
Canadiens,Wild,home,F,Alex Newhook C,14:01,0,0,0,1,0,0,0,0,5/8
Canadiens,Wild,home,F,Juraj Slafkovsky L,17:58,0,0,-1,1,0,0,0,2,0/1
Canadiens,Wild,home,F,Nick Suzuki C,18:29,0,0,-1,2,0,0,0,0,7/15
Canadiens,Wild,home,F,Canadiens Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOKaiden
Canadiens,Wild,home,F,Kaiden Guhle D,21:31,0,0,0,1,3,0,0,0,0/0
Canadiens,Wild,home,F,Lane Hutson D,20:16,0,0,-2,2,0,2,0,0,0/0
Canadiens,Wild,home,F,Mike Matheson D,28:19,0,0,-1,1,0,0,0,0,0/0
Canadiens,Wild,home,F,David Savard D,18:01,0,0,-1,0,3,0,0,0,0/0
Canadiens,Wild,home,F,Jayden Struble D,12:48,0,0,0,3,0,4,0,0,0/0
Canadiens,Wild,home,F,Arber Xhekaj D,13:37,0,0,0,1,0,0,0,3,0/0
