team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Canadiens,Blue Jackets,away,D,Justin Barron D,12:48,0,0,0,2,0,0,0,1,0/0
Canadiens,Blue Jackets,away,D,Kaiden Guhle D,21:39,0,0,2,1,4,0,1,0,0/0
Canadiens,Blue Jackets,away,D,Lane Hutson D,22:50,0,1,0,2,2,0,0,0,0/0
Canadiens,Blue Jackets,away,D,Mike Matheson D,27:12,1,1,0,3,2,0,0,0,0/0
Canadiens,Blue Jackets,away,D,Jayden Struble D,13:18,0,0,2,2,1,2,0,1,0/0
Canadiens,Blue Jackets,away,D,Arber Xhekaj D,15:57,0,1,2,1,2,5,1,1,0/0
Canadiens,Blue Jackets,away,D,Justin Barron D,12:48,0,0,0,2,0,0,0,1,0/0
Canadiens,Blue Jackets,away,D,Kaiden Guhle D,21:39,0,0,2,1,4,0,1,0,0/0
Canadiens,Blue Jackets,away,D,Lane Hutson D,22:50,0,1,0,2,2,0,0,0,0/0
Canadiens,Blue Jackets,away,D,Mike Matheson D,27:12,1,1,0,3,2,0,0,0,0/0
Canadiens,Blue Jackets,away,D,Jayden Struble D,13:18,0,0,2,2,1,2,0,1,0/0
Canadiens,Blue Jackets,away,D,Arber Xhekaj D,15:57,0,1,2,1,2,5,1,1,0/0
Canadiens,Blue Jackets,away,F,Josh Anderson R,15:23,1,0,1,1,0,0,0,0,0/0
Canadiens,Blue Jackets,away,F,Joel Armia R,15:51,0,2,1,0,1,2,0,0,0/0
Canadiens,Blue Jackets,away,F,Cole Caufield R,15:36,0,2,1,2,3,2,0,1,0/0
Canadiens,Blue Jackets,away,F,Lucas Condotta L,06:07,1,0,1,1,0,0,0,0,3/4
Canadiens,Blue Jackets,away,F,Kirby Dach C,19:04,0,1,1,2,0,0,0,0,0/2
Canadiens,Blue Jackets,away,F,Christian Dvorak C,15:47,0,0,0,1,1,0,0,0,7/12
Canadiens,Blue Jackets,away,F,Jake Evans C,17:22,1,0,0,3,0,0,0,1,8/15
Canadiens,Blue Jackets,away,F,Brendan Gallagher R,14:03,0,0,0,3,1,0,0,0,0/0
Canadiens,Blue Jackets,away,F,Emil Heineman L,08:59,0,0,0,2,0,2,0,1,0/0
Canadiens,Blue Jackets,away,F,Alex Newhook C,12:55,0,0,2,1,0,0,1,0,3/6
Canadiens,Blue Jackets,away,F,Juraj Slafkovsky L,16:56,0,0,0,1,0,0,0,0,0/0
Canadiens,Blue Jackets,away,F,Nick Suzuki C,20:21,1,0,1,2,1,0,1,1,6/15
Canadiens,Blue Jackets,away,F,Canadiens Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJustin
Canadiens,Blue Jackets,away,F,Justin Barron D,12:48,0,0,0,2,0,0,0,1,0/0
Canadiens,Blue Jackets,away,F,Kaiden Guhle D,21:39,0,0,2,1,4,0,1,0,0/0
Canadiens,Blue Jackets,away,F,Lane Hutson D,22:50,0,1,0,2,2,0,0,0,0/0
Canadiens,Blue Jackets,away,F,Mike Matheson D,27:12,1,1,0,3,2,0,0,0,0/0
Canadiens,Blue Jackets,away,F,Jayden Struble D,13:18,0,0,2,2,1,2,0,1,0/0
Canadiens,Blue Jackets,away,F,Arber Xhekaj D,15:57,0,1,2,1,2,5,1,1,0/0
Canadiens,Blue Jackets,away,F,Josh Anderson R,15:23,1,0,1,1,0,0,0,0,0/0
Canadiens,Blue Jackets,away,F,Joel Armia R,15:51,0,2,1,0,1,2,0,0,0/0
Canadiens,Blue Jackets,away,F,Cole Caufield R,15:36,0,2,1,2,3,2,0,1,0/0
Canadiens,Blue Jackets,away,F,Lucas Condotta L,06:07,1,0,1,1,0,0,0,0,3/4
Canadiens,Blue Jackets,away,F,Kirby Dach C,19:04,0,1,1,2,0,0,0,0,0/2
Canadiens,Blue Jackets,away,F,Christian Dvorak C,15:47,0,0,0,1,1,0,0,0,7/12
Canadiens,Blue Jackets,away,F,Jake Evans C,17:22,1,0,0,3,0,0,0,1,8/15
Canadiens,Blue Jackets,away,F,Brendan Gallagher R,14:03,0,0,0,3,1,0,0,0,0/0
Canadiens,Blue Jackets,away,F,Emil Heineman L,08:59,0,0,0,2,0,2,0,1,0/0
Canadiens,Blue Jackets,away,F,Alex Newhook C,12:55,0,0,2,1,0,0,1,0,3/6
Canadiens,Blue Jackets,away,F,Juraj Slafkovsky L,16:56,0,0,0,1,0,0,0,0,0/0
Canadiens,Blue Jackets,away,F,Nick Suzuki C,20:21,1,0,1,2,1,0,1,1,6/15
Canadiens,Blue Jackets,away,F,Canadiens Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJustin
Canadiens,Blue Jackets,away,F,Justin Barron D,12:48,0,0,0,2,0,0,0,1,0/0
Canadiens,Blue Jackets,away,F,Kaiden Guhle D,21:39,0,0,2,1,4,0,1,0,0/0
Canadiens,Blue Jackets,away,F,Lane Hutson D,22:50,0,1,0,2,2,0,0,0,0/0
Canadiens,Blue Jackets,away,F,Mike Matheson D,27:12,1,1,0,3,2,0,0,0,0/0
Canadiens,Blue Jackets,away,F,Jayden Struble D,13:18,0,0,2,2,1,2,0,1,0/0
Canadiens,Blue Jackets,away,F,Arber Xhekaj D,15:57,0,1,2,1,2,5,1,1,0/0
