team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Canucks,Blackhawks,home,D,Erik Brannstrom D,14:02,0,1,1,1,2,2,0,2,0/0
Canucks,Blackhawks,home,D,Vincent Desharnais D,19:00,0,0,1,2,2,0,0,0,0/0
Canucks,Blackhawks,home,D,Filip Hronek D,21:09,0,1,2,1,2,2,1,0,0/0
Canucks,Blackhawks,home,D,Quinn Hughes D,19:49,0,2,3,5,1,0,1,0,0/0
Canucks,Blackhawks,home,D,Tyler Myers D,22:34,0,0,-1,0,2,0,1,2,0/0
Canucks,Blackhawks,home,D,Carson Soucy D,20:21,0,0,-2,1,0,2,2,1,0/0
Canucks,Blackhawks,home,D,Erik Brannstrom D,14:02,0,1,1,1,2,2,0,2,0/0
Canucks,Blackhawks,home,D,Vincent Desharnais D,19:00,0,0,1,2,2,0,0,0,0/0
Canucks,Blackhawks,home,D,Filip Hronek D,21:09,0,1,2,1,2,2,1,0,0/0
Canucks,Blackhawks,home,D,Quinn Hughes D,19:49,0,2,3,5,1,0,1,0,0/0
Canucks,Blackhawks,home,D,Tyler Myers D,22:34,0,0,-1,0,2,0,1,2,0/0
Canucks,Blackhawks,home,D,Carson Soucy D,20:21,0,0,-2,1,0,2,2,1,0/0
Canucks,Blackhawks,home,F,Nils Aman C,10:41,0,1,0,0,0,0,0,1,4/10
Canucks,Blackhawks,home,F,Arshdeep Bains L,10:25,0,0,0,0,0,0,0,0,0/0
Canucks,Blackhawks,home,F,Teddy Blueger C,16:36,0,1,2,4,0,2,0,0,10/20
Canucks,Blackhawks,home,F,Brock Boeser R,14:24,1,0,-1,1,0,0,1,0,2/7
Canucks,Blackhawks,home,F,Jake DeBrusk L,13:09,0,0,-1,0,1,2,1,0,1/2
Canucks,Blackhawks,home,F,Conor Garland R,16:07,1,1,1,2,2,0,0,1,0/0
Canucks,Blackhawks,home,F,Danton Heinen L,14:35,2,0,2,3,0,0,0,2,0/1
Canucks,Blackhawks,home,F,Nils Hoglander L,12:55,0,0,0,3,0,0,0,0,0/0
Canucks,Blackhawks,home,F,J.T. Miller C,16:20,1,2,0,2,0,0,1,1,0/0
Canucks,Blackhawks,home,F,Elias Pettersson C,18:25,0,1,1,1,0,0,1,0,8/18
Canucks,Blackhawks,home,F,Kiefer Sherwood L,15:12,0,2,2,3,0,0,0,1,0/1
Canucks,Blackhawks,home,F,Pius Suter C,14:51,1,0,0,1,1,0,0,1,0/3
Canucks,Blackhawks,home,F,Canucks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Canucks,Blackhawks,home,F,Erik Brannstrom D,14:02,0,1,1,1,2,2,0,2,0/0
Canucks,Blackhawks,home,F,Vincent Desharnais D,19:00,0,0,1,2,2,0,0,0,0/0
Canucks,Blackhawks,home,F,Filip Hronek D,21:09,0,1,2,1,2,2,1,0,0/0
Canucks,Blackhawks,home,F,Quinn Hughes D,19:49,0,2,3,5,1,0,1,0,0/0
Canucks,Blackhawks,home,F,Tyler Myers D,22:34,0,0,-1,0,2,0,1,2,0/0
Canucks,Blackhawks,home,F,Carson Soucy D,20:21,0,0,-2,1,0,2,2,1,0/0
Canucks,Blackhawks,home,F,Nils Aman C,10:41,0,1,0,0,0,0,0,1,4/10
Canucks,Blackhawks,home,F,Arshdeep Bains L,10:25,0,0,0,0,0,0,0,0,0/0
Canucks,Blackhawks,home,F,Teddy Blueger C,16:36,0,1,2,4,0,2,0,0,10/20
Canucks,Blackhawks,home,F,Brock Boeser R,14:24,1,0,-1,1,0,0,1,0,2/7
Canucks,Blackhawks,home,F,Jake DeBrusk L,13:09,0,0,-1,0,1,2,1,0,1/2
Canucks,Blackhawks,home,F,Conor Garland R,16:07,1,1,1,2,2,0,0,1,0/0
Canucks,Blackhawks,home,F,Danton Heinen L,14:35,2,0,2,3,0,0,0,2,0/1
Canucks,Blackhawks,home,F,Nils Hoglander L,12:55,0,0,0,3,0,0,0,0,0/0
Canucks,Blackhawks,home,F,J.T. Miller C,16:20,1,2,0,2,0,0,1,1,0/0
Canucks,Blackhawks,home,F,Elias Pettersson C,18:25,0,1,1,1,0,0,1,0,8/18
Canucks,Blackhawks,home,F,Kiefer Sherwood L,15:12,0,2,2,3,0,0,0,1,0/1
Canucks,Blackhawks,home,F,Pius Suter C,14:51,1,0,0,1,1,0,0,1,0/3
Canucks,Blackhawks,home,F,Canucks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Canucks,Blackhawks,home,F,Erik Brannstrom D,14:02,0,1,1,1,2,2,0,2,0/0
Canucks,Blackhawks,home,F,Vincent Desharnais D,19:00,0,0,1,2,2,0,0,0,0/0
Canucks,Blackhawks,home,F,Filip Hronek D,21:09,0,1,2,1,2,2,1,0,0/0
Canucks,Blackhawks,home,F,Quinn Hughes D,19:49,0,2,3,5,1,0,1,0,0/0
Canucks,Blackhawks,home,F,Tyler Myers D,22:34,0,0,-1,0,2,0,1,2,0/0
Canucks,Blackhawks,home,F,Carson Soucy D,20:21,0,0,-2,1,0,2,2,1,0/0
