team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Canucks,Penguins,away,D,Erik Brannstrom D,14:04,0,0,2,3,0,0,0,2,0/0
Canucks,Penguins,away,D,Vincent Desharnais D,14:16,0,1,1,1,1,0,0,0,0/0
Canucks,Penguins,away,D,Filip Hronek D,24:00,0,0,0,0,0,0,2,4,0/0
Canucks,Penguins,away,D,Quinn Hughes D,25:59,0,0,1,3,2,0,0,0,0/0
Canucks,Penguins,away,D,Tyler Myers D,18:39,0,1,-1,0,0,2,0,0,0/0
Canucks,Penguins,away,D,Carson Soucy D,18:04,0,0,-1,1,5,0,0,2,0/0
Canucks,Penguins,away,D,Erik Brannstrom D,14:04,0,0,2,3,0,0,0,2,0/0
Canucks,Penguins,away,D,Vincent Desharnais D,14:16,0,1,1,1,1,0,0,0,0/0
Canucks,Penguins,away,D,Filip Hronek D,24:00,0,0,0,0,0,0,2,4,0/0
Canucks,Penguins,away,D,Quinn Hughes D,25:59,0,0,1,3,2,0,0,0,0/0
Canucks,Penguins,away,D,Tyler Myers D,18:39,0,1,-1,0,0,2,0,0,0/0
Canucks,Penguins,away,D,Carson Soucy D,18:04,0,0,-1,1,5,0,0,2,0/0
Canucks,Penguins,away,F,Arshdeep Bains L,09:25,1,0,1,3,0,0,0,0,0/0
Canucks,Penguins,away,F,Teddy Blueger C,12:26,0,1,0,0,0,0,0,1,7/9
Canucks,Penguins,away,F,Brock Boeser R,19:03,0,1,0,4,0,0,0,1,0/0
Canucks,Penguins,away,F,Jake DeBrusk L,16:30,0,0,0,2,0,0,0,1,0/0
Canucks,Penguins,away,F,Conor Garland R,18:57,0,1,-1,3,0,0,1,0,0/0
Canucks,Penguins,away,F,Danton Heinen L,13:41,0,0,1,0,0,0,0,1,0/0
Canucks,Penguins,away,F,Nils Hoglander L,15:50,0,0,-1,2,0,0,1,0,0/0
Canucks,Penguins,away,F,J.T. Miller C,19:44,1,0,1,4,0,0,0,0,12/20
Canucks,Penguins,away,F,Elias Pettersson C,19:11,1,0,-1,2,1,0,1,0,9/19
Canucks,Penguins,away,F,Kiefer Sherwood L,12:48,1,0,1,2,1,0,1,0,1/1
Canucks,Penguins,away,F,Daniel Sprong R,10:37,0,1,1,3,0,2,0,1,0/0
Canucks,Penguins,away,F,Pius Suter C,12:46,0,0,1,1,0,0,1,0,3/7
Canucks,Penguins,away,F,Canucks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Canucks,Penguins,away,F,Erik Brannstrom D,14:04,0,0,2,3,0,0,0,2,0/0
Canucks,Penguins,away,F,Vincent Desharnais D,14:16,0,1,1,1,1,0,0,0,0/0
Canucks,Penguins,away,F,Filip Hronek D,24:00,0,0,0,0,0,0,2,4,0/0
Canucks,Penguins,away,F,Quinn Hughes D,25:59,0,0,1,3,2,0,0,0,0/0
Canucks,Penguins,away,F,Tyler Myers D,18:39,0,1,-1,0,0,2,0,0,0/0
Canucks,Penguins,away,F,Carson Soucy D,18:04,0,0,-1,1,5,0,0,2,0/0
Canucks,Penguins,away,F,Arshdeep Bains L,09:25,1,0,1,3,0,0,0,0,0/0
Canucks,Penguins,away,F,Teddy Blueger C,12:26,0,1,0,0,0,0,0,1,7/9
Canucks,Penguins,away,F,Brock Boeser R,19:03,0,1,0,4,0,0,0,1,0/0
Canucks,Penguins,away,F,Jake DeBrusk L,16:30,0,0,0,2,0,0,0,1,0/0
Canucks,Penguins,away,F,Conor Garland R,18:57,0,1,-1,3,0,0,1,0,0/0
Canucks,Penguins,away,F,Danton Heinen L,13:41,0,0,1,0,0,0,0,1,0/0
Canucks,Penguins,away,F,Nils Hoglander L,15:50,0,0,-1,2,0,0,1,0,0/0
Canucks,Penguins,away,F,J.T. Miller C,19:44,1,0,1,4,0,0,0,0,12/20
Canucks,Penguins,away,F,Elias Pettersson C,19:11,1,0,-1,2,1,0,1,0,9/19
Canucks,Penguins,away,F,Kiefer Sherwood L,12:48,1,0,1,2,1,0,1,0,1/1
Canucks,Penguins,away,F,Daniel Sprong R,10:37,0,1,1,3,0,2,0,1,0/0
Canucks,Penguins,away,F,Pius Suter C,12:46,0,0,1,1,0,0,1,0,3/7
Canucks,Penguins,away,F,Canucks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Canucks,Penguins,away,F,Erik Brannstrom D,14:04,0,0,2,3,0,0,0,2,0/0
Canucks,Penguins,away,F,Vincent Desharnais D,14:16,0,1,1,1,1,0,0,0,0/0
Canucks,Penguins,away,F,Filip Hronek D,24:00,0,0,0,0,0,0,2,4,0/0
Canucks,Penguins,away,F,Quinn Hughes D,25:59,0,0,1,3,2,0,0,0,0/0
Canucks,Penguins,away,F,Tyler Myers D,18:39,0,1,-1,0,0,2,0,0,0/0
Canucks,Penguins,away,F,Carson Soucy D,18:04,0,0,-1,1,5,0,0,2,0/0
