team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Canucks,Sharks,home,D,Erik Brannstrom D,10:47,0,0,0,1,0,0,0,0,0/0
Canucks,Sharks,home,D,Derek Forbort D,15:18,0,0,-1,0,0,0,0,4,0/0
Canucks,Sharks,home,D,Filip Hronek D,24:49,0,1,2,1,0,2,0,2,0/0
Canucks,Sharks,home,D,Quinn Hughes D,25:57,0,1,0,6,1,0,0,2,0/0
Canucks,Sharks,home,D,Tyler Myers D,20:46,0,0,0,3,4,0,1,2,0/0
Canucks,Sharks,home,D,Carson Soucy D,18:52,0,1,1,2,3,0,1,4,0/0
Canucks,Sharks,home,D,Erik Brannstrom D,10:47,0,0,0,1,0,0,0,0,0/0
Canucks,Sharks,home,D,Derek Forbort D,15:18,0,0,-1,0,0,0,0,4,0/0
Canucks,Sharks,home,D,Filip Hronek D,24:49,0,1,2,1,0,2,0,2,0/0
Canucks,Sharks,home,D,Quinn Hughes D,25:57,0,1,0,6,1,0,0,2,0/0
Canucks,Sharks,home,D,Tyler Myers D,20:46,0,0,0,3,4,0,1,2,0/0
Canucks,Sharks,home,D,Carson Soucy D,18:52,0,1,1,2,3,0,1,4,0/0
Canucks,Sharks,home,F,Arshdeep Bains L,11:35,0,0,0,0,0,0,0,1,0/0
Canucks,Sharks,home,F,Teddy Blueger C,14:31,0,0,-1,0,0,0,0,2,4/9
Canucks,Sharks,home,F,Brock Boeser R,18:30,0,0,0,2,0,0,1,0,0/0
Canucks,Sharks,home,F,Jake DeBrusk L,14:35,1,0,0,2,0,0,0,1,0/1
Canucks,Sharks,home,F,Conor Garland R,20:06,0,1,2,1,0,0,1,2,0/0
Canucks,Sharks,home,F,Danton Heinen L,14:46,0,0,-1,1,0,0,0,2,0/0
Canucks,Sharks,home,F,Nils Hoglander L,10:14,0,1,1,0,0,0,0,2,0/0
Canucks,Sharks,home,F,J.T. Miller C,19:26,0,0,0,1,0,2,0,0,5/10
Canucks,Sharks,home,F,Elias Pettersson C,19:39,0,0,1,1,4,0,0,0,7/12
Canucks,Sharks,home,F,Kiefer Sherwood L,12:53,0,0,-1,1,1,0,1,0,0/1
Canucks,Sharks,home,F,Daniel Sprong R,10:38,0,0,0,2,0,0,0,1,0/1
Canucks,Sharks,home,F,Pius Suter C,12:39,2,0,2,3,0,0,0,0,3/5
Canucks,Sharks,home,F,Canucks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Canucks,Sharks,home,F,Erik Brannstrom D,10:47,0,0,0,1,0,0,0,0,0/0
Canucks,Sharks,home,F,Derek Forbort D,15:18,0,0,-1,0,0,0,0,4,0/0
Canucks,Sharks,home,F,Filip Hronek D,24:49,0,1,2,1,0,2,0,2,0/0
Canucks,Sharks,home,F,Quinn Hughes D,25:57,0,1,0,6,1,0,0,2,0/0
Canucks,Sharks,home,F,Tyler Myers D,20:46,0,0,0,3,4,0,1,2,0/0
Canucks,Sharks,home,F,Carson Soucy D,18:52,0,1,1,2,3,0,1,4,0/0
Canucks,Sharks,home,F,Arshdeep Bains L,11:35,0,0,0,0,0,0,0,1,0/0
Canucks,Sharks,home,F,Teddy Blueger C,14:31,0,0,-1,0,0,0,0,2,4/9
Canucks,Sharks,home,F,Brock Boeser R,18:30,0,0,0,2,0,0,1,0,0/0
Canucks,Sharks,home,F,Jake DeBrusk L,14:35,1,0,0,2,0,0,0,1,0/1
Canucks,Sharks,home,F,Conor Garland R,20:06,0,1,2,1,0,0,1,2,0/0
Canucks,Sharks,home,F,Danton Heinen L,14:46,0,0,-1,1,0,0,0,2,0/0
Canucks,Sharks,home,F,Nils Hoglander L,10:14,0,1,1,0,0,0,0,2,0/0
Canucks,Sharks,home,F,J.T. Miller C,19:26,0,0,0,1,0,2,0,0,5/10
Canucks,Sharks,home,F,Elias Pettersson C,19:39,0,0,1,1,4,0,0,0,7/12
Canucks,Sharks,home,F,Kiefer Sherwood L,12:53,0,0,-1,1,1,0,1,0,0/1
Canucks,Sharks,home,F,Daniel Sprong R,10:38,0,0,0,2,0,0,0,1,0/1
Canucks,Sharks,home,F,Pius Suter C,12:39,2,0,2,3,0,0,0,0,3/5
Canucks,Sharks,home,F,Canucks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Canucks,Sharks,home,F,Erik Brannstrom D,10:47,0,0,0,1,0,0,0,0,0/0
Canucks,Sharks,home,F,Derek Forbort D,15:18,0,0,-1,0,0,0,0,4,0/0
Canucks,Sharks,home,F,Filip Hronek D,24:49,0,1,2,1,0,2,0,2,0/0
Canucks,Sharks,home,F,Quinn Hughes D,25:57,0,1,0,6,1,0,0,2,0/0
Canucks,Sharks,home,F,Tyler Myers D,20:46,0,0,0,3,4,0,1,2,0/0
Canucks,Sharks,home,F,Carson Soucy D,18:52,0,1,1,2,3,0,1,4,0/0
