team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Canucks,Ducks,home,D,Erik Brannstrom D,16:03,0,1,2,1,1,0,0,1,0/0
Canucks,Ducks,home,D,Vincent Desharnais D,16:32,0,0,2,1,1,0,0,1,0/0
Canucks,Ducks,home,D,Filip Hronek D,20:52,0,0,1,2,0,0,1,1,0/0
Canucks,Ducks,home,D,Quinn Hughes D,20:54,0,3,2,3,2,0,0,0,0/0
Canucks,Ducks,home,D,Tyler Myers D,20:48,0,0,0,1,0,0,2,1,0/0
Canucks,Ducks,home,D,Carson Soucy D,17:06,0,0,1,3,1,4,0,1,0/0
Canucks,Ducks,home,D,Erik Brannstrom D,16:03,0,1,2,1,1,0,0,1,0/0
Canucks,Ducks,home,D,Vincent Desharnais D,16:32,0,0,2,1,1,0,0,1,0/0
Canucks,Ducks,home,D,Filip Hronek D,20:52,0,0,1,2,0,0,1,1,0/0
Canucks,Ducks,home,D,Quinn Hughes D,20:54,0,3,2,3,2,0,0,0,0/0
Canucks,Ducks,home,D,Tyler Myers D,20:48,0,0,0,1,0,0,2,1,0/0
Canucks,Ducks,home,D,Carson Soucy D,17:06,0,0,1,3,1,4,0,1,0/0
Canucks,Ducks,home,F,Teddy Blueger C,14:16,0,1,2,1,1,0,0,0,2/8
Canucks,Ducks,home,F,Brock Boeser R,17:37,1,1,1,2,0,2,1,0,0/1
Canucks,Ducks,home,F,Jake DeBrusk L,15:07,1,0,1,2,0,0,1,0,0/0
Canucks,Ducks,home,F,Conor Garland R,19:57,0,1,1,3,1,0,1,0,0/0
Canucks,Ducks,home,F,Danton Heinen L,12:45,1,1,2,2,0,0,0,0,1/5
Canucks,Ducks,home,F,Nils Hoglander L,13:04,0,0,0,1,0,0,0,0,0/0
Canucks,Ducks,home,F,J.T. Miller C,18:53,0,1,1,1,1,0,0,0,18/26
Canucks,Ducks,home,F,Elias Pettersson C,18:09,1,0,1,6,0,0,1,0,5/11
Canucks,Ducks,home,F,Aatu Raty C,09:59,0,0,0,0,0,2,0,0,7/9
Canucks,Ducks,home,F,Kiefer Sherwood L,12:12,1,1,2,1,1,0,0,0,0/0
Canucks,Ducks,home,F,Daniel Sprong R,13:22,0,0,0,5,0,0,0,1,0/1
Canucks,Ducks,home,F,Pius Suter C,16:05,0,0,1,2,0,0,1,1,1/2
Canucks,Ducks,home,F,Canucks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Canucks,Ducks,home,F,Erik Brannstrom D,16:03,0,1,2,1,1,0,0,1,0/0
Canucks,Ducks,home,F,Vincent Desharnais D,16:32,0,0,2,1,1,0,0,1,0/0
Canucks,Ducks,home,F,Filip Hronek D,20:52,0,0,1,2,0,0,1,1,0/0
Canucks,Ducks,home,F,Quinn Hughes D,20:54,0,3,2,3,2,0,0,0,0/0
Canucks,Ducks,home,F,Tyler Myers D,20:48,0,0,0,1,0,0,2,1,0/0
Canucks,Ducks,home,F,Carson Soucy D,17:06,0,0,1,3,1,4,0,1,0/0
Canucks,Ducks,home,F,Teddy Blueger C,14:16,0,1,2,1,1,0,0,0,2/8
Canucks,Ducks,home,F,Brock Boeser R,17:37,1,1,1,2,0,2,1,0,0/1
Canucks,Ducks,home,F,Jake DeBrusk L,15:07,1,0,1,2,0,0,1,0,0/0
Canucks,Ducks,home,F,Conor Garland R,19:57,0,1,1,3,1,0,1,0,0/0
Canucks,Ducks,home,F,Danton Heinen L,12:45,1,1,2,2,0,0,0,0,1/5
Canucks,Ducks,home,F,Nils Hoglander L,13:04,0,0,0,1,0,0,0,0,0/0
Canucks,Ducks,home,F,J.T. Miller C,18:53,0,1,1,1,1,0,0,0,18/26
Canucks,Ducks,home,F,Elias Pettersson C,18:09,1,0,1,6,0,0,1,0,5/11
Canucks,Ducks,home,F,Aatu Raty C,09:59,0,0,0,0,0,2,0,0,7/9
Canucks,Ducks,home,F,Kiefer Sherwood L,12:12,1,1,2,1,1,0,0,0,0/0
Canucks,Ducks,home,F,Daniel Sprong R,13:22,0,0,0,5,0,0,0,1,0/1
Canucks,Ducks,home,F,Pius Suter C,16:05,0,0,1,2,0,0,1,1,1/2
Canucks,Ducks,home,F,Canucks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Canucks,Ducks,home,F,Erik Brannstrom D,16:03,0,1,2,1,1,0,0,1,0/0
Canucks,Ducks,home,F,Vincent Desharnais D,16:32,0,0,2,1,1,0,0,1,0/0
Canucks,Ducks,home,F,Filip Hronek D,20:52,0,0,1,2,0,0,1,1,0/0
Canucks,Ducks,home,F,Quinn Hughes D,20:54,0,3,2,3,2,0,0,0,0/0
Canucks,Ducks,home,F,Tyler Myers D,20:48,0,0,0,1,0,0,2,1,0/0
Canucks,Ducks,home,F,Carson Soucy D,17:06,0,0,1,3,1,4,0,1,0/0
