team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Canucks,Kings,home,D,Erik Brannstrom D,11:41,0,0,-1,1,2,0,0,1,0/0
Canucks,Kings,home,D,Vincent Desharnais D,16:35,0,0,-1,0,1,0,0,2,0/0
Canucks,Kings,home,D,Filip Hronek D,21:49,0,1,2,0,1,4,0,0,0/0
Canucks,Kings,home,D,Quinn Hughes D,23:22,1,1,2,2,2,2,0,2,0/0
Canucks,Kings,home,D,Tyler Myers D,22:37,0,0,0,0,3,0,1,1,0/0
Canucks,Kings,home,D,Carson Soucy D,18:20,0,0,0,1,3,0,0,0,0/0
Canucks,Kings,home,D,Erik Brannstrom D,11:41,0,0,-1,1,2,0,0,1,0/0
Canucks,Kings,home,D,Vincent Desharnais D,16:35,0,0,-1,0,1,0,0,2,0/0
Canucks,Kings,home,D,Filip Hronek D,21:49,0,1,2,0,1,4,0,0,0/0
Canucks,Kings,home,D,Quinn Hughes D,23:22,1,1,2,2,2,2,0,2,0/0
Canucks,Kings,home,D,Tyler Myers D,22:37,0,0,0,0,3,0,1,1,0/0
Canucks,Kings,home,D,Carson Soucy D,18:20,0,0,0,1,3,0,0,0,0/0
Canucks,Kings,home,F,Teddy Blueger C,14:05,0,0,-1,1,0,0,0,1,1/5
Canucks,Kings,home,F,Brock Boeser R,03:14,0,0,0,1,0,0,0,0,0/0
Canucks,Kings,home,F,Jake DeBrusk L,14:47,1,0,1,5,0,2,0,0,0/0
Canucks,Kings,home,F,Conor Garland R,22:43,1,0,1,2,0,0,0,0,0/0
Canucks,Kings,home,F,Danton Heinen L,15:41,0,0,-1,0,1,0,1,0,0/0
Canucks,Kings,home,F,Nils Hoglander L,11:32,0,0,0,2,1,2,0,0,0/0
Canucks,Kings,home,F,J.T. Miller C,19:13,1,0,2,2,0,0,0,1,16/27
Canucks,Kings,home,F,Elias Pettersson C,20:17,0,0,0,1,3,0,1,3,1/6
Canucks,Kings,home,F,Aatu Raty C,08:54,0,0,0,1,0,0,0,0,7/9
Canucks,Kings,home,F,Kiefer Sherwood L,13:52,0,0,-1,3,0,2,1,0,0/0
Canucks,Kings,home,F,Daniel Sprong R,09:32,0,0,1,0,0,0,0,0,0/0
Canucks,Kings,home,F,Pius Suter C,19:46,0,0,1,1,1,0,0,0,0/2
Canucks,Kings,home,F,Canucks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Canucks,Kings,home,F,Erik Brannstrom D,11:41,0,0,-1,1,2,0,0,1,0/0
Canucks,Kings,home,F,Vincent Desharnais D,16:35,0,0,-1,0,1,0,0,2,0/0
Canucks,Kings,home,F,Filip Hronek D,21:49,0,1,2,0,1,4,0,0,0/0
Canucks,Kings,home,F,Quinn Hughes D,23:22,1,1,2,2,2,2,0,2,0/0
Canucks,Kings,home,F,Tyler Myers D,22:37,0,0,0,0,3,0,1,1,0/0
Canucks,Kings,home,F,Carson Soucy D,18:20,0,0,0,1,3,0,0,0,0/0
Canucks,Kings,home,F,Teddy Blueger C,14:05,0,0,-1,1,0,0,0,1,1/5
Canucks,Kings,home,F,Brock Boeser R,03:14,0,0,0,1,0,0,0,0,0/0
Canucks,Kings,home,F,Jake DeBrusk L,14:47,1,0,1,5,0,2,0,0,0/0
Canucks,Kings,home,F,Conor Garland R,22:43,1,0,1,2,0,0,0,0,0/0
Canucks,Kings,home,F,Danton Heinen L,15:41,0,0,-1,0,1,0,1,0,0/0
Canucks,Kings,home,F,Nils Hoglander L,11:32,0,0,0,2,1,2,0,0,0/0
Canucks,Kings,home,F,J.T. Miller C,19:13,1,0,2,2,0,0,0,1,16/27
Canucks,Kings,home,F,Elias Pettersson C,20:17,0,0,0,1,3,0,1,3,1/6
Canucks,Kings,home,F,Aatu Raty C,08:54,0,0,0,1,0,0,0,0,7/9
Canucks,Kings,home,F,Kiefer Sherwood L,13:52,0,0,-1,3,0,2,1,0,0/0
Canucks,Kings,home,F,Daniel Sprong R,09:32,0,0,1,0,0,0,0,0,0/0
Canucks,Kings,home,F,Pius Suter C,19:46,0,0,1,1,1,0,0,0,0/2
Canucks,Kings,home,F,Canucks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Canucks,Kings,home,F,Erik Brannstrom D,11:41,0,0,-1,1,2,0,0,1,0/0
Canucks,Kings,home,F,Vincent Desharnais D,16:35,0,0,-1,0,1,0,0,2,0/0
Canucks,Kings,home,F,Filip Hronek D,21:49,0,1,2,0,1,4,0,0,0/0
Canucks,Kings,home,F,Quinn Hughes D,23:22,1,1,2,2,2,2,0,2,0/0
Canucks,Kings,home,F,Tyler Myers D,22:37,0,0,0,0,3,0,1,1,0/0
Canucks,Kings,home,F,Carson Soucy D,18:20,0,0,0,1,3,0,0,0,0/0
