team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Canucks,Blackhawks,away,D,Erik Brannstrom D,16:42,1,0,0,3,0,0,0,0,0/0
Canucks,Blackhawks,away,D,Filip Hronek D,22:54,0,0,1,2,1,2,0,0,0/0
Canucks,Blackhawks,away,D,Quinn Hughes D,25:37,0,1,2,2,0,0,1,2,0/0
Canucks,Blackhawks,away,D,Noah Juulsen D,13:37,0,0,0,2,1,0,1,1,0/0
Canucks,Blackhawks,away,D,Tyler Myers D,19:40,0,0,1,3,1,0,0,0,0/0
Canucks,Blackhawks,away,D,Carson Soucy D,18:19,0,0,0,1,0,0,2,2,0/0
Canucks,Blackhawks,away,D,Erik Brannstrom D,16:42,1,0,0,3,0,0,0,0,0/0
Canucks,Blackhawks,away,D,Filip Hronek D,22:54,0,0,1,2,1,2,0,0,0/0
Canucks,Blackhawks,away,D,Quinn Hughes D,25:37,0,1,2,2,0,0,1,2,0/0
Canucks,Blackhawks,away,D,Noah Juulsen D,13:37,0,0,0,2,1,0,1,1,0/0
Canucks,Blackhawks,away,D,Tyler Myers D,19:40,0,0,1,3,1,0,0,0,0/0
Canucks,Blackhawks,away,D,Carson Soucy D,18:19,0,0,0,1,0,0,2,2,0/0
Canucks,Blackhawks,away,F,Teddy Blueger C,14:03,1,0,1,2,1,0,0,0,4/11
Canucks,Blackhawks,away,F,Jake DeBrusk L,14:46,0,1,1,1,2,0,0,0,0/0
Canucks,Blackhawks,away,F,Conor Garland R,19:13,0,1,1,1,2,0,0,2,0/0
Canucks,Blackhawks,away,F,Danton Heinen L,14:27,0,1,1,2,0,0,0,1,1/2
Canucks,Blackhawks,away,F,Nils Hoglander L,11:35,0,0,0,1,0,0,0,2,0/0
Canucks,Blackhawks,away,F,Dakota Joshua C,11:29,0,0,0,0,0,0,0,0,0/0
Canucks,Blackhawks,away,F,Jonathan Lekkerimaki R,15:33,0,0,-1,1,0,0,0,1,0/0
Canucks,Blackhawks,away,F,J.T. Miller C,17:15,1,1,0,4,1,0,1,1,12/19
Canucks,Blackhawks,away,F,Elias Pettersson C,20:39,1,0,2,3,1,0,0,0,8/11
Canucks,Blackhawks,away,F,Aatu Raty C,11:39,0,0,0,2,0,0,0,0,7/8
Canucks,Blackhawks,away,F,Kiefer Sherwood L,15:35,0,1,1,2,1,0,0,1,0/0
Canucks,Blackhawks,away,F,Pius Suter C,14:57,0,1,0,1,1,0,0,0,0/0
Canucks,Blackhawks,away,F,Canucks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Canucks,Blackhawks,away,F,Erik Brannstrom D,16:42,1,0,0,3,0,0,0,0,0/0
Canucks,Blackhawks,away,F,Filip Hronek D,22:54,0,0,1,2,1,2,0,0,0/0
Canucks,Blackhawks,away,F,Quinn Hughes D,25:37,0,1,2,2,0,0,1,2,0/0
Canucks,Blackhawks,away,F,Noah Juulsen D,13:37,0,0,0,2,1,0,1,1,0/0
Canucks,Blackhawks,away,F,Tyler Myers D,19:40,0,0,1,3,1,0,0,0,0/0
Canucks,Blackhawks,away,F,Carson Soucy D,18:19,0,0,0,1,0,0,2,2,0/0
Canucks,Blackhawks,away,F,Teddy Blueger C,14:03,1,0,1,2,1,0,0,0,4/11
Canucks,Blackhawks,away,F,Jake DeBrusk L,14:46,0,1,1,1,2,0,0,0,0/0
Canucks,Blackhawks,away,F,Conor Garland R,19:13,0,1,1,1,2,0,0,2,0/0
Canucks,Blackhawks,away,F,Danton Heinen L,14:27,0,1,1,2,0,0,0,1,1/2
Canucks,Blackhawks,away,F,Nils Hoglander L,11:35,0,0,0,1,0,0,0,2,0/0
Canucks,Blackhawks,away,F,Dakota Joshua C,11:29,0,0,0,0,0,0,0,0,0/0
Canucks,Blackhawks,away,F,Jonathan Lekkerimaki R,15:33,0,0,-1,1,0,0,0,1,0/0
Canucks,Blackhawks,away,F,J.T. Miller C,17:15,1,1,0,4,1,0,1,1,12/19
Canucks,Blackhawks,away,F,Elias Pettersson C,20:39,1,0,2,3,1,0,0,0,8/11
Canucks,Blackhawks,away,F,Aatu Raty C,11:39,0,0,0,2,0,0,0,0,7/8
Canucks,Blackhawks,away,F,Kiefer Sherwood L,15:35,0,1,1,2,1,0,0,1,0/0
Canucks,Blackhawks,away,F,Pius Suter C,14:57,0,1,0,1,1,0,0,0,0/0
Canucks,Blackhawks,away,F,Canucks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Canucks,Blackhawks,away,F,Erik Brannstrom D,16:42,1,0,0,3,0,0,0,0,0/0
Canucks,Blackhawks,away,F,Filip Hronek D,22:54,0,0,1,2,1,2,0,0,0/0
Canucks,Blackhawks,away,F,Quinn Hughes D,25:37,0,1,2,2,0,0,1,2,0/0
Canucks,Blackhawks,away,F,Noah Juulsen D,13:37,0,0,0,2,1,0,1,1,0/0
Canucks,Blackhawks,away,F,Tyler Myers D,19:40,0,0,1,3,1,0,0,0,0/0
Canucks,Blackhawks,away,F,Carson Soucy D,18:19,0,0,0,1,0,0,2,2,0/0
