team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Capitals,Devils,home,D,John Carlson D,28:13,0,1,1,1,0,0,2,0,0/0
Capitals,Devils,home,D,Jakob Chychrun D,27:27,0,2,1,5,2,2,1,1,0/0
Capitals,Devils,home,D,Martin Fehervary D,16:49,0,0,0,1,3,0,0,1,0/0
Capitals,Devils,home,D,Dylan McIlrath D,07:00,0,0,-2,2,1,0,0,0,0/0
Capitals,Devils,home,D,Rasmus Sandin D,18:52,0,0,1,1,2,2,1,0,0/0
Capitals,Devils,home,D,Trevor van Riemsdyk D,22:10,0,2,2,4,4,0,1,1,0/0
Capitals,Devils,home,D,John Carlson D,28:13,0,1,1,1,0,0,2,0,0/0
Capitals,Devils,home,D,Jakob Chychrun D,27:27,0,2,1,5,2,2,1,1,0/0
Capitals,Devils,home,D,Martin Fehervary D,16:49,0,0,0,1,3,0,0,1,0/0
Capitals,Devils,home,D,Dylan McIlrath D,07:00,0,0,-2,2,1,0,0,0,0/0
Capitals,Devils,home,D,Rasmus Sandin D,18:52,0,0,1,1,2,2,1,0,0/0
Capitals,Devils,home,D,Trevor van Riemsdyk D,22:10,0,2,2,4,4,0,1,1,0/0
Capitals,Devils,home,F,Nic Dowd C,18:08,0,0,-1,2,2,0,1,0,9/19
Capitals,Devils,home,F,Pierre-Luc Dubois L,17:09,0,0,1,0,0,0,0,0,4/15
Capitals,Devils,home,F,Brandon Duhaime R,16:25,0,0,-1,2,0,5,0,0,0/0
Capitals,Devils,home,F,Hendrix Lapierre C,09:39,0,0,0,0,0,0,0,0,2/3
Capitals,Devils,home,F,Andrew Mangiapane L,14:59,1,0,1,3,0,0,0,2,1/1
Capitals,Devils,home,F,Connor McMichael C,16:44,1,1,1,1,1,0,0,1,0/1
Capitals,Devils,home,F,Alex Ovechkin L,17:29,1,0,0,5,0,0,1,0,0/0
Capitals,Devils,home,F,Aliaksei Protas C,16:22,0,1,1,1,0,0,1,0,1/2
Capitals,Devils,home,F,Taylor Raddysh R,16:13,0,0,-1,0,0,0,0,2,0/0
Capitals,Devils,home,F,Dylan Strome C,19:04,1,2,2,3,0,0,0,3,8/17
Capitals,Devils,home,F,Jakub Vrana L,08:19,0,0,0,2,0,0,0,0,0/1
Capitals,Devils,home,F,Tom Wilson R,17:51,2,1,2,4,1,0,0,1,0/0
Capitals,Devils,home,F,Capitals Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJohn
Capitals,Devils,home,F,John Carlson D,28:13,0,1,1,1,0,0,2,0,0/0
Capitals,Devils,home,F,Jakob Chychrun D,27:27,0,2,1,5,2,2,1,1,0/0
Capitals,Devils,home,F,Martin Fehervary D,16:49,0,0,0,1,3,0,0,1,0/0
Capitals,Devils,home,F,Dylan McIlrath D,07:00,0,0,-2,2,1,0,0,0,0/0
Capitals,Devils,home,F,Rasmus Sandin D,18:52,0,0,1,1,2,2,1,0,0/0
Capitals,Devils,home,F,Trevor van Riemsdyk D,22:10,0,2,2,4,4,0,1,1,0/0
Capitals,Devils,home,F,Nic Dowd C,18:08,0,0,-1,2,2,0,1,0,9/19
Capitals,Devils,home,F,Pierre-Luc Dubois L,17:09,0,0,1,0,0,0,0,0,4/15
Capitals,Devils,home,F,Brandon Duhaime R,16:25,0,0,-1,2,0,5,0,0,0/0
Capitals,Devils,home,F,Hendrix Lapierre C,09:39,0,0,0,0,0,0,0,0,2/3
Capitals,Devils,home,F,Andrew Mangiapane L,14:59,1,0,1,3,0,0,0,2,1/1
Capitals,Devils,home,F,Connor McMichael C,16:44,1,1,1,1,1,0,0,1,0/1
Capitals,Devils,home,F,Alex Ovechkin L,17:29,1,0,0,5,0,0,1,0,0/0
Capitals,Devils,home,F,Aliaksei Protas C,16:22,0,1,1,1,0,0,1,0,1/2
Capitals,Devils,home,F,Taylor Raddysh R,16:13,0,0,-1,0,0,0,0,2,0/0
Capitals,Devils,home,F,Dylan Strome C,19:04,1,2,2,3,0,0,0,3,8/17
Capitals,Devils,home,F,Jakub Vrana L,08:19,0,0,0,2,0,0,0,0,0/1
Capitals,Devils,home,F,Tom Wilson R,17:51,2,1,2,4,1,0,0,1,0/0
Capitals,Devils,home,F,Capitals Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJohn
Capitals,Devils,home,F,John Carlson D,28:13,0,1,1,1,0,0,2,0,0/0
Capitals,Devils,home,F,Jakob Chychrun D,27:27,0,2,1,5,2,2,1,1,0/0
Capitals,Devils,home,F,Martin Fehervary D,16:49,0,0,0,1,3,0,0,1,0/0
Capitals,Devils,home,F,Dylan McIlrath D,07:00,0,0,-2,2,1,0,0,0,0/0
Capitals,Devils,home,F,Rasmus Sandin D,18:52,0,0,1,1,2,2,1,0,0/0
Capitals,Devils,home,F,Trevor van Riemsdyk D,22:10,0,2,2,4,4,0,1,1,0/0
