team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Capitals,Rangers,away,D,John Carlson D,26:06,0,1,2,3,1,0,0,0,0/0
Capitals,Rangers,away,D,Jakob Chychrun D,01:50,0,0,1,0,0,0,1,2,0/0
Capitals,Rangers,away,D,Martin Fehervary D,26:54,0,0,0,1,2,0,0,2,0/0
Capitals,Rangers,away,D,Dylan McIlrath D,11:39,0,0,0,2,2,5,0,1,0/0
Capitals,Rangers,away,D,Rasmus Sandin D,24:45,0,2,2,1,2,0,0,0,0/0
Capitals,Rangers,away,D,Trevor van Riemsdyk D,23:00,0,1,1,2,1,2,1,2,0/0
Capitals,Rangers,away,D,John Carlson D,26:06,0,1,2,3,1,0,0,0,0/0
Capitals,Rangers,away,D,Jakob Chychrun D,01:50,0,0,1,0,0,0,1,2,0/0
Capitals,Rangers,away,D,Martin Fehervary D,26:54,0,0,0,1,2,0,0,2,0/0
Capitals,Rangers,away,D,Dylan McIlrath D,11:39,0,0,0,2,2,5,0,1,0/0
Capitals,Rangers,away,D,Rasmus Sandin D,24:45,0,2,2,1,2,0,0,0,0/0
Capitals,Rangers,away,D,Trevor van Riemsdyk D,23:00,0,1,1,2,1,2,1,2,0/0
Capitals,Rangers,away,F,Nic Dowd C,15:43,1,0,-1,1,0,0,0,0,8/13
Capitals,Rangers,away,F,Pierre-Luc Dubois L,17:37,0,0,1,3,1,0,0,1,8/14
Capitals,Rangers,away,F,Brandon Duhaime R,12:48,0,0,-1,2,0,0,0,0,1/1
Capitals,Rangers,away,F,Andrew Mangiapane L,15:29,0,0,-1,4,1,0,1,0,0/0
Capitals,Rangers,away,F,Connor McMichael C,18:06,1,0,2,10,0,0,0,0,0/0
Capitals,Rangers,away,F,Alex Ovechkin L,17:47,2,0,2,5,0,2,0,0,0/0
Capitals,Rangers,away,F,Aliaksei Protas C,15:30,1,2,3,3,0,0,0,0,0/0
Capitals,Rangers,away,F,Taylor Raddysh R,14:15,0,1,0,3,1,0,0,0,0/0
Capitals,Rangers,away,F,Michael Sgarbossa C,08:33,0,0,0,0,0,0,0,0,4/7
Capitals,Rangers,away,F,Dylan Strome C,17:14,0,2,3,1,0,2,0,0,13/19
Capitals,Rangers,away,F,Jakub Vrana L,10:49,0,0,0,2,0,0,0,0,0/1
Capitals,Rangers,away,F,Tom Wilson R,17:25,0,0,1,3,0,0,0,2,0/0
Capitals,Rangers,away,F,Capitals Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJohn
Capitals,Rangers,away,F,John Carlson D,26:06,0,1,2,3,1,0,0,0,0/0
Capitals,Rangers,away,F,Jakob Chychrun D,01:50,0,0,1,0,0,0,1,2,0/0
Capitals,Rangers,away,F,Martin Fehervary D,26:54,0,0,0,1,2,0,0,2,0/0
Capitals,Rangers,away,F,Dylan McIlrath D,11:39,0,0,0,2,2,5,0,1,0/0
Capitals,Rangers,away,F,Rasmus Sandin D,24:45,0,2,2,1,2,0,0,0,0/0
Capitals,Rangers,away,F,Trevor van Riemsdyk D,23:00,0,1,1,2,1,2,1,2,0/0
Capitals,Rangers,away,F,Nic Dowd C,15:43,1,0,-1,1,0,0,0,0,8/13
Capitals,Rangers,away,F,Pierre-Luc Dubois L,17:37,0,0,1,3,1,0,0,1,8/14
Capitals,Rangers,away,F,Brandon Duhaime R,12:48,0,0,-1,2,0,0,0,0,1/1
Capitals,Rangers,away,F,Andrew Mangiapane L,15:29,0,0,-1,4,1,0,1,0,0/0
Capitals,Rangers,away,F,Connor McMichael C,18:06,1,0,2,10,0,0,0,0,0/0
Capitals,Rangers,away,F,Alex Ovechkin L,17:47,2,0,2,5,0,2,0,0,0/0
Capitals,Rangers,away,F,Aliaksei Protas C,15:30,1,2,3,3,0,0,0,0,0/0
Capitals,Rangers,away,F,Taylor Raddysh R,14:15,0,1,0,3,1,0,0,0,0/0
Capitals,Rangers,away,F,Michael Sgarbossa C,08:33,0,0,0,0,0,0,0,0,4/7
Capitals,Rangers,away,F,Dylan Strome C,17:14,0,2,3,1,0,2,0,0,13/19
Capitals,Rangers,away,F,Jakub Vrana L,10:49,0,0,0,2,0,0,0,0,0/1
Capitals,Rangers,away,F,Tom Wilson R,17:25,0,0,1,3,0,0,0,2,0/0
Capitals,Rangers,away,F,Capitals Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJohn
Capitals,Rangers,away,F,John Carlson D,26:06,0,1,2,3,1,0,0,0,0/0
Capitals,Rangers,away,F,Jakob Chychrun D,01:50,0,0,1,0,0,0,1,2,0/0
Capitals,Rangers,away,F,Martin Fehervary D,26:54,0,0,0,1,2,0,0,2,0/0
Capitals,Rangers,away,F,Dylan McIlrath D,11:39,0,0,0,2,2,5,0,1,0/0
Capitals,Rangers,away,F,Rasmus Sandin D,24:45,0,2,2,1,2,0,0,0,0/0
Capitals,Rangers,away,F,Trevor van Riemsdyk D,23:00,0,1,1,2,1,2,1,2,0/0
