team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Capitals,Canadiens,away,D,Alexander Alexeyev D,13:17,0,0,2,1,3,0,0,0,0/0
Capitals,Canadiens,away,D,John Carlson D,28:30,0,1,3,2,3,0,1,2,0/0
Capitals,Canadiens,away,D,Martin Fehervary D,23:44,0,0,1,1,2,0,0,0,0/0
Capitals,Canadiens,away,D,Dylan McIlrath D,11:49,0,0,0,0,0,0,0,0,0/0
Capitals,Canadiens,away,D,Rasmus Sandin D,17:38,0,0,0,2,6,0,0,0,0/0
Capitals,Canadiens,away,D,Trevor van Riemsdyk D,18:09,0,2,0,2,3,0,0,1,0/0
Capitals,Canadiens,away,D,Alexander Alexeyev D,13:17,0,0,2,1,3,0,0,0,0/0
Capitals,Canadiens,away,D,John Carlson D,28:30,0,1,3,2,3,0,1,2,0/0
Capitals,Canadiens,away,D,Martin Fehervary D,23:44,0,0,1,1,2,0,0,0,0/0
Capitals,Canadiens,away,D,Dylan McIlrath D,11:49,0,0,0,0,0,0,0,0,0/0
Capitals,Canadiens,away,D,Rasmus Sandin D,17:38,0,0,0,2,6,0,0,0,0/0
Capitals,Canadiens,away,D,Trevor van Riemsdyk D,18:09,0,2,0,2,3,0,0,1,0/0
Capitals,Canadiens,away,F,Nic Dowd C,16:58,0,0,1,4,4,0,0,1,6/20
Capitals,Canadiens,away,F,Pierre-Luc Dubois L,17:05,0,0,0,2,0,0,0,3,6/13
Capitals,Canadiens,away,F,Brandon Duhaime R,14:00,1,0,1,3,2,2,0,0,0/2
Capitals,Canadiens,away,F,Andrew Mangiapane L,14:01,0,0,0,1,0,0,0,2,0/0
Capitals,Canadiens,away,F,Connor McMichael C,18:41,1,0,0,5,0,2,1,0,2/2
Capitals,Canadiens,away,F,Alex Ovechkin L,17:30,1,2,2,1,0,0,1,0,0/0
Capitals,Canadiens,away,F,Aliaksei Protas C,14:47,1,1,2,1,0,2,0,1,0/1
Capitals,Canadiens,away,F,Taylor Raddysh R,12:10,0,1,0,0,1,0,0,0,1/2
Capitals,Canadiens,away,F,Michael Sgarbossa C,08:03,0,0,1,0,1,0,0,0,1/5
Capitals,Canadiens,away,F,Dylan Strome C,14:44,0,2,1,2,0,2,0,1,7/14
Capitals,Canadiens,away,F,Jakub Vrana L,10:07,1,0,1,2,0,0,0,2,0/0
Capitals,Canadiens,away,F,Tom Wilson R,17:18,1,1,0,5,0,7,0,1,0/0
Capitals,Canadiens,away,F,Capitals Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexander
Capitals,Canadiens,away,F,Alexander Alexeyev D,13:17,0,0,2,1,3,0,0,0,0/0
Capitals,Canadiens,away,F,John Carlson D,28:30,0,1,3,2,3,0,1,2,0/0
Capitals,Canadiens,away,F,Martin Fehervary D,23:44,0,0,1,1,2,0,0,0,0/0
Capitals,Canadiens,away,F,Dylan McIlrath D,11:49,0,0,0,0,0,0,0,0,0/0
Capitals,Canadiens,away,F,Rasmus Sandin D,17:38,0,0,0,2,6,0,0,0,0/0
Capitals,Canadiens,away,F,Trevor van Riemsdyk D,18:09,0,2,0,2,3,0,0,1,0/0
Capitals,Canadiens,away,F,Nic Dowd C,16:58,0,0,1,4,4,0,0,1,6/20
Capitals,Canadiens,away,F,Pierre-Luc Dubois L,17:05,0,0,0,2,0,0,0,3,6/13
Capitals,Canadiens,away,F,Brandon Duhaime R,14:00,1,0,1,3,2,2,0,0,0/2
Capitals,Canadiens,away,F,Andrew Mangiapane L,14:01,0,0,0,1,0,0,0,2,0/0
Capitals,Canadiens,away,F,Connor McMichael C,18:41,1,0,0,5,0,2,1,0,2/2
Capitals,Canadiens,away,F,Alex Ovechkin L,17:30,1,2,2,1,0,0,1,0,0/0
Capitals,Canadiens,away,F,Aliaksei Protas C,14:47,1,1,2,1,0,2,0,1,0/1
Capitals,Canadiens,away,F,Taylor Raddysh R,12:10,0,1,0,0,1,0,0,0,1/2
Capitals,Canadiens,away,F,Michael Sgarbossa C,08:03,0,0,1,0,1,0,0,0,1/5
Capitals,Canadiens,away,F,Dylan Strome C,14:44,0,2,1,2,0,2,0,1,7/14
Capitals,Canadiens,away,F,Jakub Vrana L,10:07,1,0,1,2,0,0,0,2,0/0
Capitals,Canadiens,away,F,Tom Wilson R,17:18,1,1,0,5,0,7,0,1,0/0
Capitals,Canadiens,away,F,Capitals Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexander
Capitals,Canadiens,away,F,Alexander Alexeyev D,13:17,0,0,2,1,3,0,0,0,0/0
Capitals,Canadiens,away,F,John Carlson D,28:30,0,1,3,2,3,0,1,2,0/0
Capitals,Canadiens,away,F,Martin Fehervary D,23:44,0,0,1,1,2,0,0,0,0/0
Capitals,Canadiens,away,F,Dylan McIlrath D,11:49,0,0,0,0,0,0,0,0,0/0
Capitals,Canadiens,away,F,Rasmus Sandin D,17:38,0,0,0,2,6,0,0,0,0/0
Capitals,Canadiens,away,F,Trevor van Riemsdyk D,18:09,0,2,0,2,3,0,0,1,0/0
