team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Capitals,Hurricanes,home,D,Alexander Alexeyev D,12:24,0,0,0,1,2,0,0,1,0/0
Capitals,Hurricanes,home,D,John Carlson D,26:10,0,1,-2,1,0,0,0,3,0/0
Capitals,Hurricanes,home,D,Martin Fehervary D,21:59,0,0,1,0,0,0,1,2,0/0
Capitals,Hurricanes,home,D,Dylan McIlrath D,10:47,0,0,-2,0,1,0,0,0,0/0
Capitals,Hurricanes,home,D,Rasmus Sandin D,20:36,0,0,-3,0,2,0,0,0,0/0
Capitals,Hurricanes,home,D,Trevor van Riemsdyk D,21:04,0,0,1,2,3,0,0,0,0/0
Capitals,Hurricanes,home,D,Alexander Alexeyev D,12:24,0,0,0,1,2,0,0,1,0/0
Capitals,Hurricanes,home,D,John Carlson D,26:10,0,1,-2,1,0,0,0,3,0/0
Capitals,Hurricanes,home,D,Martin Fehervary D,21:59,0,0,1,0,0,0,1,2,0/0
Capitals,Hurricanes,home,D,Dylan McIlrath D,10:47,0,0,-2,0,1,0,0,0,0/0
Capitals,Hurricanes,home,D,Rasmus Sandin D,20:36,0,0,-3,0,2,0,0,0,0/0
Capitals,Hurricanes,home,D,Trevor van Riemsdyk D,21:04,0,0,1,2,3,0,0,0,0/0
Capitals,Hurricanes,home,F,Nic Dowd C,15:30,0,1,-1,1,1,2,1,1,13/24
Capitals,Hurricanes,home,F,Pierre-Luc Dubois L,19:47,0,0,-2,1,1,2,0,2,9/15
Capitals,Hurricanes,home,F,Brandon Duhaime R,13:44,1,0,0,3,1,0,0,0,1/2
Capitals,Hurricanes,home,F,Hendrix Lapierre C,05:59,0,0,0,2,2,0,0,0,1/3
Capitals,Hurricanes,home,F,Andrew Mangiapane L,10:21,0,0,0,0,0,0,0,1,0/0
Capitals,Hurricanes,home,F,Connor McMichael C,21:07,0,0,-2,2,2,0,0,1,0/1
Capitals,Hurricanes,home,F,Sonny Milano L,05:46,0,0,0,1,0,0,0,1,0/0
Capitals,Hurricanes,home,F,Alex Ovechkin L,21:03,1,0,-1,5,0,0,0,0,0/0
Capitals,Hurricanes,home,F,Aliaksei Protas C,15:02,0,0,-1,0,0,2,0,1,0/0
Capitals,Hurricanes,home,F,Taylor Raddysh R,13:21,0,0,-1,1,0,0,0,0,0/1
Capitals,Hurricanes,home,F,Dylan Strome C,20:13,0,1,-1,0,0,0,0,1,7/16
Capitals,Hurricanes,home,F,Tom Wilson R,20:26,0,0,-2,1,3,0,0,1,0/0
Capitals,Hurricanes,home,F,Capitals Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexander
Capitals,Hurricanes,home,F,Alexander Alexeyev D,12:24,0,0,0,1,2,0,0,1,0/0
Capitals,Hurricanes,home,F,John Carlson D,26:10,0,1,-2,1,0,0,0,3,0/0
Capitals,Hurricanes,home,F,Martin Fehervary D,21:59,0,0,1,0,0,0,1,2,0/0
Capitals,Hurricanes,home,F,Dylan McIlrath D,10:47,0,0,-2,0,1,0,0,0,0/0
Capitals,Hurricanes,home,F,Rasmus Sandin D,20:36,0,0,-3,0,2,0,0,0,0/0
Capitals,Hurricanes,home,F,Trevor van Riemsdyk D,21:04,0,0,1,2,3,0,0,0,0/0
Capitals,Hurricanes,home,F,Nic Dowd C,15:30,0,1,-1,1,1,2,1,1,13/24
Capitals,Hurricanes,home,F,Pierre-Luc Dubois L,19:47,0,0,-2,1,1,2,0,2,9/15
Capitals,Hurricanes,home,F,Brandon Duhaime R,13:44,1,0,0,3,1,0,0,0,1/2
Capitals,Hurricanes,home,F,Hendrix Lapierre C,05:59,0,0,0,2,2,0,0,0,1/3
Capitals,Hurricanes,home,F,Andrew Mangiapane L,10:21,0,0,0,0,0,0,0,1,0/0
Capitals,Hurricanes,home,F,Connor McMichael C,21:07,0,0,-2,2,2,0,0,1,0/1
Capitals,Hurricanes,home,F,Sonny Milano L,05:46,0,0,0,1,0,0,0,1,0/0
Capitals,Hurricanes,home,F,Alex Ovechkin L,21:03,1,0,-1,5,0,0,0,0,0/0
Capitals,Hurricanes,home,F,Aliaksei Protas C,15:02,0,0,-1,0,0,2,0,1,0/0
Capitals,Hurricanes,home,F,Taylor Raddysh R,13:21,0,0,-1,1,0,0,0,0,0/1
Capitals,Hurricanes,home,F,Dylan Strome C,20:13,0,1,-1,0,0,0,0,1,7/16
Capitals,Hurricanes,home,F,Tom Wilson R,20:26,0,0,-2,1,3,0,0,1,0/0
Capitals,Hurricanes,home,F,Capitals Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexander
Capitals,Hurricanes,home,F,Alexander Alexeyev D,12:24,0,0,0,1,2,0,0,1,0/0
Capitals,Hurricanes,home,F,John Carlson D,26:10,0,1,-2,1,0,0,0,3,0/0
Capitals,Hurricanes,home,F,Martin Fehervary D,21:59,0,0,1,0,0,0,1,2,0/0
Capitals,Hurricanes,home,F,Dylan McIlrath D,10:47,0,0,-2,0,1,0,0,0,0/0
Capitals,Hurricanes,home,F,Rasmus Sandin D,20:36,0,0,-3,0,2,0,0,0,0/0
Capitals,Hurricanes,home,F,Trevor van Riemsdyk D,21:04,0,0,1,2,3,0,0,0,0/0
