team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Devils,Capitals,home,D,Seamus Casey D,09:45,1,0,1,1,1,0,0,1,0/0
Devils,Capitals,home,D,Brenden Dillon D,21:36,0,0,3,0,3,0,0,1,0/0
Devils,Capitals,home,D,Dougie Hamilton D,22:07,0,0,3,4,1,0,1,1,0/0
Devils,Capitals,home,D,Johnathan Kovacevic D,22:43,0,0,-1,2,0,2,0,2,0/0
Devils,Capitals,home,D,Simon Nemec D,14:35,0,0,1,3,0,0,0,1,0/0
Devils,Capitals,home,D,Jonas Siegenthaler D,23:15,0,0,-1,1,3,0,0,0,0/0
Devils,Capitals,home,D,Seamus Casey D,09:45,1,0,1,1,1,0,0,1,0/0
Devils,Capitals,home,D,Brenden Dillon D,21:36,0,0,3,0,3,0,0,1,0/0
Devils,Capitals,home,D,Dougie Hamilton D,22:07,0,0,3,4,1,0,1,1,0/0
Devils,Capitals,home,D,Johnathan Kovacevic D,22:43,0,0,-1,2,0,2,0,2,0/0
Devils,Capitals,home,D,Simon Nemec D,14:35,0,0,1,3,0,0,0,1,0/0
Devils,Capitals,home,D,Jonas Siegenthaler D,23:15,0,0,-1,1,3,0,0,0,0/0
Devils,Capitals,home,F,Nathan Bastian R,13:04,0,0,0,2,2,0,0,1,0/0
Devils,Capitals,home,F,Jesper Bratt L,14:37,0,1,1,0,0,2,0,0,0/0
Devils,Capitals,home,F,Paul Cotter C,13:10,2,0,1,4,1,2,0,0,0/1
Devils,Capitals,home,F,Erik Haula L,17:15,0,3,2,2,0,0,0,1,12/16
Devils,Capitals,home,F,Nico Hischier C,18:40,0,1,0,3,0,0,0,0,8/18
Devils,Capitals,home,F,Jack Hughes C,17:13,0,0,1,2,1,0,0,3,2/4
Devils,Capitals,home,F,Curtis Lazar C,11:18,0,0,0,1,0,0,1,1,10/14
Devils,Capitals,home,F,Timo Meier R,14:27,0,1,1,0,3,2,0,1,0/0
Devils,Capitals,home,F,Dawson Mercer C,19:55,1,0,0,1,1,0,0,1,0/0
Devils,Capitals,home,F,Stefan Noesen R,13:30,0,3,2,1,0,0,0,0,0/1
Devils,Capitals,home,F,Ondrej Palat L,13:12,0,0,0,2,0,0,1,1,0/0
Devils,Capitals,home,F,Tomas Tatar L,13:57,1,1,1,4,0,0,0,1,0/1
Devils,Capitals,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSeamus
Devils,Capitals,home,F,Seamus Casey D,09:45,1,0,1,1,1,0,0,1,0/0
Devils,Capitals,home,F,Brenden Dillon D,21:36,0,0,3,0,3,0,0,1,0/0
Devils,Capitals,home,F,Dougie Hamilton D,22:07,0,0,3,4,1,0,1,1,0/0
Devils,Capitals,home,F,Johnathan Kovacevic D,22:43,0,0,-1,2,0,2,0,2,0/0
Devils,Capitals,home,F,Simon Nemec D,14:35,0,0,1,3,0,0,0,1,0/0
Devils,Capitals,home,F,Jonas Siegenthaler D,23:15,0,0,-1,1,3,0,0,0,0/0
Devils,Capitals,home,F,Nathan Bastian R,13:04,0,0,0,2,2,0,0,1,0/0
Devils,Capitals,home,F,Jesper Bratt L,14:37,0,1,1,0,0,2,0,0,0/0
Devils,Capitals,home,F,Paul Cotter C,13:10,2,0,1,4,1,2,0,0,0/1
Devils,Capitals,home,F,Erik Haula L,17:15,0,3,2,2,0,0,0,1,12/16
Devils,Capitals,home,F,Nico Hischier C,18:40,0,1,0,3,0,0,0,0,8/18
Devils,Capitals,home,F,Jack Hughes C,17:13,0,0,1,2,1,0,0,3,2/4
Devils,Capitals,home,F,Curtis Lazar C,11:18,0,0,0,1,0,0,1,1,10/14
Devils,Capitals,home,F,Timo Meier R,14:27,0,1,1,0,3,2,0,1,0/0
Devils,Capitals,home,F,Dawson Mercer C,19:55,1,0,0,1,1,0,0,1,0/0
Devils,Capitals,home,F,Stefan Noesen R,13:30,0,3,2,1,0,0,0,0,0/1
Devils,Capitals,home,F,Ondrej Palat L,13:12,0,0,0,2,0,0,1,1,0/0
Devils,Capitals,home,F,Tomas Tatar L,13:57,1,1,1,4,0,0,0,1,0/1
Devils,Capitals,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSeamus
Devils,Capitals,home,F,Seamus Casey D,09:45,1,0,1,1,1,0,0,1,0/0
Devils,Capitals,home,F,Brenden Dillon D,21:36,0,0,3,0,3,0,0,1,0/0
Devils,Capitals,home,F,Dougie Hamilton D,22:07,0,0,3,4,1,0,1,1,0/0
Devils,Capitals,home,F,Johnathan Kovacevic D,22:43,0,0,-1,2,0,2,0,2,0/0
Devils,Capitals,home,F,Simon Nemec D,14:35,0,0,1,3,0,0,0,1,0/0
Devils,Capitals,home,F,Jonas Siegenthaler D,23:15,0,0,-1,1,3,0,0,0,0/0
