team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Devils,Hockey Club,away,D,Seamus Casey D,14:09,1,1,1,1,1,0,0,1,0/0
Devils,Hockey Club,away,D,Brenden Dillon D,17:44,0,0,0,0,2,0,0,0,0/0
Devils,Hockey Club,away,D,Dougie Hamilton D,23:06,0,0,0,4,0,2,0,2,0/0
Devils,Hockey Club,away,D,Johnathan Kovacevic D,20:01,0,0,0,0,0,2,0,0,0/0
Devils,Hockey Club,away,D,Simon Nemec D,18:25,0,0,1,1,0,0,0,0,0/0
Devils,Hockey Club,away,D,Jonas Siegenthaler D,17:11,0,0,0,1,1,0,1,2,0/0
Devils,Hockey Club,away,D,Seamus Casey D,14:09,1,1,1,1,1,0,0,1,0/0
Devils,Hockey Club,away,D,Brenden Dillon D,17:44,0,0,0,0,2,0,0,0,0/0
Devils,Hockey Club,away,D,Dougie Hamilton D,23:06,0,0,0,4,0,2,0,2,0/0
Devils,Hockey Club,away,D,Johnathan Kovacevic D,20:01,0,0,0,0,0,2,0,0,0/0
Devils,Hockey Club,away,D,Simon Nemec D,18:25,0,0,1,1,0,0,0,0,0/0
Devils,Hockey Club,away,D,Jonas Siegenthaler D,17:11,0,0,0,1,1,0,1,2,0/0
Devils,Hockey Club,away,F,Nathan Bastian R,11:57,0,0,0,1,0,0,0,0,0/0
Devils,Hockey Club,away,F,Jesper Bratt L,17:33,0,1,0,4,0,0,0,0,0/0
Devils,Hockey Club,away,F,Paul Cotter C,14:03,0,0,1,1,0,2,0,0,0/1
Devils,Hockey Club,away,F,Erik Haula L,15:50,0,0,1,1,0,0,0,0,5/12
Devils,Hockey Club,away,F,Nico Hischier C,19:25,1,1,0,5,2,0,0,0,10/19
Devils,Hockey Club,away,F,Jack Hughes C,21:08,0,1,0,3,1,0,0,0,1/2
Devils,Hockey Club,away,F,Curtis Lazar C,12:27,0,0,0,1,0,0,0,0,3/8
Devils,Hockey Club,away,F,Timo Meier R,17:07,0,0,0,3,1,0,0,0,0/0
Devils,Hockey Club,away,F,Dawson Mercer C,13:56,0,0,0,2,0,0,2,1,0/1
Devils,Hockey Club,away,F,Stefan Noesen R,14:56,1,0,1,2,1,0,0,1,0/0
Devils,Hockey Club,away,F,Ondrej Palat L,11:38,0,0,0,2,0,0,0,0,0/0
Devils,Hockey Club,away,F,Tomas Tatar L,11:24,0,0,0,1,0,2,0,3,0/1
Devils,Hockey Club,away,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSeamus
Devils,Hockey Club,away,F,Seamus Casey D,14:09,1,1,1,1,1,0,0,1,0/0
Devils,Hockey Club,away,F,Brenden Dillon D,17:44,0,0,0,0,2,0,0,0,0/0
Devils,Hockey Club,away,F,Dougie Hamilton D,23:06,0,0,0,4,0,2,0,2,0/0
Devils,Hockey Club,away,F,Johnathan Kovacevic D,20:01,0,0,0,0,0,2,0,0,0/0
Devils,Hockey Club,away,F,Simon Nemec D,18:25,0,0,1,1,0,0,0,0,0/0
Devils,Hockey Club,away,F,Jonas Siegenthaler D,17:11,0,0,0,1,1,0,1,2,0/0
Devils,Hockey Club,away,F,Nathan Bastian R,11:57,0,0,0,1,0,0,0,0,0/0
Devils,Hockey Club,away,F,Jesper Bratt L,17:33,0,1,0,4,0,0,0,0,0/0
Devils,Hockey Club,away,F,Paul Cotter C,14:03,0,0,1,1,0,2,0,0,0/1
Devils,Hockey Club,away,F,Erik Haula L,15:50,0,0,1,1,0,0,0,0,5/12
Devils,Hockey Club,away,F,Nico Hischier C,19:25,1,1,0,5,2,0,0,0,10/19
Devils,Hockey Club,away,F,Jack Hughes C,21:08,0,1,0,3,1,0,0,0,1/2
Devils,Hockey Club,away,F,Curtis Lazar C,12:27,0,0,0,1,0,0,0,0,3/8
Devils,Hockey Club,away,F,Timo Meier R,17:07,0,0,0,3,1,0,0,0,0/0
Devils,Hockey Club,away,F,Dawson Mercer C,13:56,0,0,0,2,0,0,2,1,0/1
Devils,Hockey Club,away,F,Stefan Noesen R,14:56,1,0,1,2,1,0,0,1,0/0
Devils,Hockey Club,away,F,Ondrej Palat L,11:38,0,0,0,2,0,0,0,0,0/0
Devils,Hockey Club,away,F,Tomas Tatar L,11:24,0,0,0,1,0,2,0,3,0/1
Devils,Hockey Club,away,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSeamus
Devils,Hockey Club,away,F,Seamus Casey D,14:09,1,1,1,1,1,0,0,1,0/0
Devils,Hockey Club,away,F,Brenden Dillon D,17:44,0,0,0,0,2,0,0,0,0/0
Devils,Hockey Club,away,F,Dougie Hamilton D,23:06,0,0,0,4,0,2,0,2,0/0
Devils,Hockey Club,away,F,Johnathan Kovacevic D,20:01,0,0,0,0,0,2,0,0,0/0
Devils,Hockey Club,away,F,Simon Nemec D,18:25,0,0,1,1,0,0,0,0,0/0
Devils,Hockey Club,away,F,Jonas Siegenthaler D,17:11,0,0,0,1,1,0,1,2,0/0
