team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Devils,Hurricanes,home,D,Seamus Casey D,15:57,0,0,1,2,1,0,0,1,0/0
Devils,Hurricanes,home,D,Brenden Dillon D,17:19,0,0,-2,0,2,0,0,4,0/0
Devils,Hurricanes,home,D,Dougie Hamilton D,23:57,0,0,-3,1,3,0,0,3,0/0
Devils,Hurricanes,home,D,Johnathan Kovacevic D,19:35,0,1,-1,2,2,0,1,2,0/0
Devils,Hurricanes,home,D,Simon Nemec D,19:15,0,0,1,1,1,0,1,1,0/0
Devils,Hurricanes,home,D,Jonas Siegenthaler D,19:50,0,0,-1,1,2,0,0,2,0/0
Devils,Hurricanes,home,D,Seamus Casey D,15:57,0,0,1,2,1,0,0,1,0/0
Devils,Hurricanes,home,D,Brenden Dillon D,17:19,0,0,-2,0,2,0,0,4,0/0
Devils,Hurricanes,home,D,Dougie Hamilton D,23:57,0,0,-3,1,3,0,0,3,0/0
Devils,Hurricanes,home,D,Johnathan Kovacevic D,19:35,0,1,-1,2,2,0,1,2,0/0
Devils,Hurricanes,home,D,Simon Nemec D,19:15,0,0,1,1,1,0,1,1,0/0
Devils,Hurricanes,home,D,Jonas Siegenthaler D,19:50,0,0,-1,1,2,0,0,2,0/0
Devils,Hurricanes,home,F,Nathan Bastian R,09:39,0,0,-2,0,2,2,0,0,0/0
Devils,Hurricanes,home,F,Jesper Bratt L,18:27,0,2,-1,4,2,0,0,1,0/0
Devils,Hurricanes,home,F,Paul Cotter C,14:02,0,0,-1,4,0,0,0,0,0/2
Devils,Hurricanes,home,F,Erik Haula L,13:55,0,0,-1,1,1,0,0,0,5/11
Devils,Hurricanes,home,F,Nico Hischier C,20:26,1,0,-1,1,0,0,0,0,14/24
Devils,Hurricanes,home,F,Jack Hughes C,20:55,1,1,0,3,1,0,0,2,2/9
Devils,Hurricanes,home,F,Curtis Lazar C,11:15,0,0,-2,0,0,0,0,0,2/5
Devils,Hurricanes,home,F,Timo Meier R,14:35,0,0,0,3,1,0,0,2,0/2
Devils,Hurricanes,home,F,Dawson Mercer C,18:50,0,0,1,2,5,0,0,0,0/0
Devils,Hurricanes,home,F,Stefan Noesen R,15:08,0,0,-2,0,3,0,1,1,1/1
Devils,Hurricanes,home,F,Ondrej Palat L,11:55,0,0,-2,0,0,0,2,1,0/0
Devils,Hurricanes,home,F,Tomas Tatar L,13:32,0,0,0,0,0,0,0,1,0/0
Devils,Hurricanes,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSeamus
Devils,Hurricanes,home,F,Seamus Casey D,15:57,0,0,1,2,1,0,0,1,0/0
Devils,Hurricanes,home,F,Brenden Dillon D,17:19,0,0,-2,0,2,0,0,4,0/0
Devils,Hurricanes,home,F,Dougie Hamilton D,23:57,0,0,-3,1,3,0,0,3,0/0
Devils,Hurricanes,home,F,Johnathan Kovacevic D,19:35,0,1,-1,2,2,0,1,2,0/0
Devils,Hurricanes,home,F,Simon Nemec D,19:15,0,0,1,1,1,0,1,1,0/0
Devils,Hurricanes,home,F,Jonas Siegenthaler D,19:50,0,0,-1,1,2,0,0,2,0/0
Devils,Hurricanes,home,F,Nathan Bastian R,09:39,0,0,-2,0,2,2,0,0,0/0
Devils,Hurricanes,home,F,Jesper Bratt L,18:27,0,2,-1,4,2,0,0,1,0/0
Devils,Hurricanes,home,F,Paul Cotter C,14:02,0,0,-1,4,0,0,0,0,0/2
Devils,Hurricanes,home,F,Erik Haula L,13:55,0,0,-1,1,1,0,0,0,5/11
Devils,Hurricanes,home,F,Nico Hischier C,20:26,1,0,-1,1,0,0,0,0,14/24
Devils,Hurricanes,home,F,Jack Hughes C,20:55,1,1,0,3,1,0,0,2,2/9
Devils,Hurricanes,home,F,Curtis Lazar C,11:15,0,0,-2,0,0,0,0,0,2/5
Devils,Hurricanes,home,F,Timo Meier R,14:35,0,0,0,3,1,0,0,2,0/2
Devils,Hurricanes,home,F,Dawson Mercer C,18:50,0,0,1,2,5,0,0,0,0/0
Devils,Hurricanes,home,F,Stefan Noesen R,15:08,0,0,-2,0,3,0,1,1,1/1
Devils,Hurricanes,home,F,Ondrej Palat L,11:55,0,0,-2,0,0,0,2,1,0/0
Devils,Hurricanes,home,F,Tomas Tatar L,13:32,0,0,0,0,0,0,0,1,0/0
Devils,Hurricanes,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSeamus
Devils,Hurricanes,home,F,Seamus Casey D,15:57,0,0,1,2,1,0,0,1,0/0
Devils,Hurricanes,home,F,Brenden Dillon D,17:19,0,0,-2,0,2,0,0,4,0/0
Devils,Hurricanes,home,F,Dougie Hamilton D,23:57,0,0,-3,1,3,0,0,3,0/0
Devils,Hurricanes,home,F,Johnathan Kovacevic D,19:35,0,1,-1,2,2,0,1,2,0/0
Devils,Hurricanes,home,F,Simon Nemec D,19:15,0,0,1,1,1,0,1,1,0/0
Devils,Hurricanes,home,F,Jonas Siegenthaler D,19:50,0,0,-1,1,2,0,0,2,0/0
