team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Devils,Islanders,away,D,Brenden Dillon D,14:31,0,1,0,1,3,2,0,1,0/0
Devils,Islanders,away,D,Dougie Hamilton D,17:51,0,0,0,1,0,2,0,0,0/0
Devils,Islanders,away,D,Luke Hughes D,20:36,0,0,-1,3,1,0,0,3,0/0
Devils,Islanders,away,D,Johnathan Kovacevic D,20:58,0,0,1,3,1,0,1,2,0/0
Devils,Islanders,away,D,Brett Pesce D,23:53,0,0,-1,4,2,0,1,1,0/0
Devils,Islanders,away,D,Jonas Siegenthaler D,19:15,0,1,1,0,0,2,1,1,0/0
Devils,Islanders,away,D,Brenden Dillon D,14:31,0,1,0,1,3,2,0,1,0/0
Devils,Islanders,away,D,Dougie Hamilton D,17:51,0,0,0,1,0,2,0,0,0/0
Devils,Islanders,away,D,Luke Hughes D,20:36,0,0,-1,3,1,0,0,3,0/0
Devils,Islanders,away,D,Johnathan Kovacevic D,20:58,0,0,1,3,1,0,1,2,0/0
Devils,Islanders,away,D,Brett Pesce D,23:53,0,0,-1,4,2,0,1,1,0/0
Devils,Islanders,away,D,Jonas Siegenthaler D,19:15,0,1,1,0,0,2,1,1,0/0
Devils,Islanders,away,F,Jesper Bratt L,19:04,1,1,0,3,1,2,0,1,0/0
Devils,Islanders,away,F,Paul Cotter C,12:00,0,1,1,1,0,0,0,0,2/2
Devils,Islanders,away,F,Erik Haula L,15:57,0,0,0,2,1,0,0,1,6/13
Devils,Islanders,away,F,Nico Hischier C,21:19,1,0,1,3,2,0,1,1,7/27
Devils,Islanders,away,F,Jack Hughes C,23:49,0,0,0,5,0,0,1,0,3/8
Devils,Islanders,away,F,Curtis Lazar C,09:47,1,0,0,1,0,0,0,0,3/5
Devils,Islanders,away,F,Kurtis MacDermid L,02:24,0,0,-1,0,0,5,0,1,0/0
Devils,Islanders,away,F,Timo Meier R,18:29,0,0,1,2,0,0,1,1,0/0
Devils,Islanders,away,F,Dawson Mercer C,21:11,0,0,1,3,0,0,0,0,0/1
Devils,Islanders,away,F,Stefan Noesen R,14:09,0,0,1,1,0,0,0,1,0/0
Devils,Islanders,away,F,Ondrej Palat L,13:14,0,0,-1,1,2,0,2,1,0/0
Devils,Islanders,away,F,Tomas Tatar L,07:25,0,0,0,1,0,0,0,0,0/0
Devils,Islanders,away,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Islanders,away,F,Brenden Dillon D,14:31,0,1,0,1,3,2,0,1,0/0
Devils,Islanders,away,F,Dougie Hamilton D,17:51,0,0,0,1,0,2,0,0,0/0
Devils,Islanders,away,F,Luke Hughes D,20:36,0,0,-1,3,1,0,0,3,0/0
Devils,Islanders,away,F,Johnathan Kovacevic D,20:58,0,0,1,3,1,0,1,2,0/0
Devils,Islanders,away,F,Brett Pesce D,23:53,0,0,-1,4,2,0,1,1,0/0
Devils,Islanders,away,F,Jonas Siegenthaler D,19:15,0,1,1,0,0,2,1,1,0/0
Devils,Islanders,away,F,Jesper Bratt L,19:04,1,1,0,3,1,2,0,1,0/0
Devils,Islanders,away,F,Paul Cotter C,12:00,0,1,1,1,0,0,0,0,2/2
Devils,Islanders,away,F,Erik Haula L,15:57,0,0,0,2,1,0,0,1,6/13
Devils,Islanders,away,F,Nico Hischier C,21:19,1,0,1,3,2,0,1,1,7/27
Devils,Islanders,away,F,Jack Hughes C,23:49,0,0,0,5,0,0,1,0,3/8
Devils,Islanders,away,F,Curtis Lazar C,09:47,1,0,0,1,0,0,0,0,3/5
Devils,Islanders,away,F,Kurtis MacDermid L,02:24,0,0,-1,0,0,5,0,1,0/0
Devils,Islanders,away,F,Timo Meier R,18:29,0,0,1,2,0,0,1,1,0/0
Devils,Islanders,away,F,Dawson Mercer C,21:11,0,0,1,3,0,0,0,0,0/1
Devils,Islanders,away,F,Stefan Noesen R,14:09,0,0,1,1,0,0,0,1,0/0
Devils,Islanders,away,F,Ondrej Palat L,13:14,0,0,-1,1,2,0,2,1,0/0
Devils,Islanders,away,F,Tomas Tatar L,07:25,0,0,0,1,0,0,0,0,0/0
Devils,Islanders,away,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Islanders,away,F,Brenden Dillon D,14:31,0,1,0,1,3,2,0,1,0/0
Devils,Islanders,away,F,Dougie Hamilton D,17:51,0,0,0,1,0,2,0,0,0/0
Devils,Islanders,away,F,Luke Hughes D,20:36,0,0,-1,3,1,0,0,3,0/0
Devils,Islanders,away,F,Johnathan Kovacevic D,20:58,0,0,1,3,1,0,1,2,0/0
Devils,Islanders,away,F,Brett Pesce D,23:53,0,0,-1,4,2,0,1,1,0/0
Devils,Islanders,away,F,Jonas Siegenthaler D,19:15,0,1,1,0,0,2,1,1,0/0
