team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Devils,Ducks,away,D,Brenden Dillon D,18:22,0,1,1,0,3,2,0,0,0/0
Devils,Ducks,away,D,Dougie Hamilton D,18:50,0,2,2,5,0,0,0,1,0/0
Devils,Ducks,away,D,Luke Hughes D,17:28,0,0,0,1,1,0,0,0,0/0
Devils,Ducks,away,D,Johnathan Kovacevic D,20:55,0,1,1,2,2,0,0,0,0/0
Devils,Ducks,away,D,Brett Pesce D,21:16,0,0,0,1,1,0,0,0,0/0
Devils,Ducks,away,D,Jonas Siegenthaler D,22:27,0,2,2,2,1,0,0,1,0/0
Devils,Ducks,away,D,Brenden Dillon D,18:22,0,1,1,0,3,2,0,0,0/0
Devils,Ducks,away,D,Dougie Hamilton D,18:50,0,2,2,5,0,0,0,1,0/0
Devils,Ducks,away,D,Luke Hughes D,17:28,0,0,0,1,1,0,0,0,0/0
Devils,Ducks,away,D,Johnathan Kovacevic D,20:55,0,1,1,2,2,0,0,0,0/0
Devils,Ducks,away,D,Brett Pesce D,21:16,0,0,0,1,1,0,0,0,0/0
Devils,Ducks,away,D,Jonas Siegenthaler D,22:27,0,2,2,2,1,0,0,1,0/0
Devils,Ducks,away,F,Jesper Bratt L,13:24,0,1,0,1,0,0,0,0,0/0
Devils,Ducks,away,F,Paul Cotter C,15:54,1,0,0,2,0,2,0,2,2/2
Devils,Ducks,away,F,Erik Haula L,17:04,1,0,1,6,0,0,0,0,9/13
Devils,Ducks,away,F,Nico Hischier C,19:10,1,0,2,3,0,0,0,0,14/24
Devils,Ducks,away,F,Jack Hughes C,17:50,1,0,1,3,1,0,0,3,3/8
Devils,Ducks,away,F,Curtis Lazar C,04:40,0,0,0,1,1,0,0,0,4/6
Devils,Ducks,away,F,Kurtis MacDermid L,09:12,0,0,0,1,0,5,0,1,0/0
Devils,Ducks,away,F,Timo Meier R,16:26,0,1,2,0,0,2,0,1,0/0
Devils,Ducks,away,F,Dawson Mercer C,16:06,0,2,3,1,0,0,0,0,2/3
Devils,Ducks,away,F,Stefan Noesen R,16:51,2,0,1,4,0,0,0,1,3/4
Devils,Ducks,away,F,Ondrej Palat L,13:53,0,1,0,1,0,0,0,3,0/1
Devils,Ducks,away,F,Tomas Tatar L,14:48,0,0,-1,0,0,0,0,0,2/2
Devils,Ducks,away,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Ducks,away,F,Brenden Dillon D,18:22,0,1,1,0,3,2,0,0,0/0
Devils,Ducks,away,F,Dougie Hamilton D,18:50,0,2,2,5,0,0,0,1,0/0
Devils,Ducks,away,F,Luke Hughes D,17:28,0,0,0,1,1,0,0,0,0/0
Devils,Ducks,away,F,Johnathan Kovacevic D,20:55,0,1,1,2,2,0,0,0,0/0
Devils,Ducks,away,F,Brett Pesce D,21:16,0,0,0,1,1,0,0,0,0/0
Devils,Ducks,away,F,Jonas Siegenthaler D,22:27,0,2,2,2,1,0,0,1,0/0
Devils,Ducks,away,F,Jesper Bratt L,13:24,0,1,0,1,0,0,0,0,0/0
Devils,Ducks,away,F,Paul Cotter C,15:54,1,0,0,2,0,2,0,2,2/2
Devils,Ducks,away,F,Erik Haula L,17:04,1,0,1,6,0,0,0,0,9/13
Devils,Ducks,away,F,Nico Hischier C,19:10,1,0,2,3,0,0,0,0,14/24
Devils,Ducks,away,F,Jack Hughes C,17:50,1,0,1,3,1,0,0,3,3/8
Devils,Ducks,away,F,Curtis Lazar C,04:40,0,0,0,1,1,0,0,0,4/6
Devils,Ducks,away,F,Kurtis MacDermid L,09:12,0,0,0,1,0,5,0,1,0/0
Devils,Ducks,away,F,Timo Meier R,16:26,0,1,2,0,0,2,0,1,0/0
Devils,Ducks,away,F,Dawson Mercer C,16:06,0,2,3,1,0,0,0,0,2/3
Devils,Ducks,away,F,Stefan Noesen R,16:51,2,0,1,4,0,0,0,1,3/4
Devils,Ducks,away,F,Ondrej Palat L,13:53,0,1,0,1,0,0,0,3,0/1
Devils,Ducks,away,F,Tomas Tatar L,14:48,0,0,-1,0,0,0,0,0,2/2
Devils,Ducks,away,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Ducks,away,F,Brenden Dillon D,18:22,0,1,1,0,3,2,0,0,0/0
Devils,Ducks,away,F,Dougie Hamilton D,18:50,0,2,2,5,0,0,0,1,0/0
Devils,Ducks,away,F,Luke Hughes D,17:28,0,0,0,1,1,0,0,0,0/0
Devils,Ducks,away,F,Johnathan Kovacevic D,20:55,0,1,1,2,2,0,0,0,0/0
Devils,Ducks,away,F,Brett Pesce D,21:16,0,0,0,1,1,0,0,0,0/0
Devils,Ducks,away,F,Jonas Siegenthaler D,22:27,0,2,2,2,1,0,0,1,0/0
