team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Devils,Canucks,home,D,Brenden Dillon D,17:29,0,0,4,0,1,0,0,1,0/0
Devils,Canucks,home,D,Dougie Hamilton D,16:55,0,1,3,0,1,0,0,4,0/0
Devils,Canucks,home,D,Luke Hughes D,19:08,0,0,0,1,0,0,1,0,0/0
Devils,Canucks,home,D,Johnathan Kovacevic D,21:17,0,0,2,1,1,0,2,2,0/0
Devils,Canucks,home,D,Brett Pesce D,22:30,0,0,0,1,3,0,0,0,0/0
Devils,Canucks,home,D,Jonas Siegenthaler D,20:17,0,0,1,0,2,2,0,0,0/0
Devils,Canucks,home,D,Brenden Dillon D,17:29,0,0,4,0,1,0,0,1,0/0
Devils,Canucks,home,D,Dougie Hamilton D,16:55,0,1,3,0,1,0,0,4,0/0
Devils,Canucks,home,D,Luke Hughes D,19:08,0,0,0,1,0,0,1,0,0/0
Devils,Canucks,home,D,Johnathan Kovacevic D,21:17,0,0,2,1,1,0,2,2,0/0
Devils,Canucks,home,D,Brett Pesce D,22:30,0,0,0,1,3,0,0,0,0/0
Devils,Canucks,home,D,Jonas Siegenthaler D,20:17,0,0,1,0,2,2,0,0,0/0
Devils,Canucks,home,F,Nathan Bastian R,13:06,0,1,1,0,0,0,0,0,1/1
Devils,Canucks,home,F,Jesper Bratt L,14:50,0,1,1,1,0,4,0,0,0/0
Devils,Canucks,home,F,Paul Cotter C,13:37,0,0,0,0,0,2,1,0,0/0
Devils,Canucks,home,F,Justin Dowling C,11:46,0,1,1,0,1,0,1,1,3/10
Devils,Canucks,home,F,Erik Haula L,12:50,0,0,0,2,0,7,0,0,7/10
Devils,Canucks,home,F,Nico Hischier C,20:29,1,2,3,2,3,0,1,1,9/20
Devils,Canucks,home,F,Jack Hughes C,15:56,1,1,1,2,0,0,1,3,7/13
Devils,Canucks,home,F,Timo Meier R,15:17,1,0,2,3,0,0,0,1,0/0
Devils,Canucks,home,F,Dawson Mercer C,17:21,1,1,3,3,2,0,0,0,0/1
Devils,Canucks,home,F,Stefan Noesen R,13:46,0,1,0,0,1,0,0,1,1/2
Devils,Canucks,home,F,Ondrej Palat L,11:24,1,0,1,5,1,0,1,0,0/0
Devils,Canucks,home,F,Tomas Tatar L,12:27,1,0,1,1,1,0,0,0,0/0
Devils,Canucks,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Canucks,home,F,Brenden Dillon D,17:29,0,0,4,0,1,0,0,1,0/0
Devils,Canucks,home,F,Dougie Hamilton D,16:55,0,1,3,0,1,0,0,4,0/0
Devils,Canucks,home,F,Luke Hughes D,19:08,0,0,0,1,0,0,1,0,0/0
Devils,Canucks,home,F,Johnathan Kovacevic D,21:17,0,0,2,1,1,0,2,2,0/0
Devils,Canucks,home,F,Brett Pesce D,22:30,0,0,0,1,3,0,0,0,0/0
Devils,Canucks,home,F,Jonas Siegenthaler D,20:17,0,0,1,0,2,2,0,0,0/0
Devils,Canucks,home,F,Nathan Bastian R,13:06,0,1,1,0,0,0,0,0,1/1
Devils,Canucks,home,F,Jesper Bratt L,14:50,0,1,1,1,0,4,0,0,0/0
Devils,Canucks,home,F,Paul Cotter C,13:37,0,0,0,0,0,2,1,0,0/0
Devils,Canucks,home,F,Justin Dowling C,11:46,0,1,1,0,1,0,1,1,3/10
Devils,Canucks,home,F,Erik Haula L,12:50,0,0,0,2,0,7,0,0,7/10
Devils,Canucks,home,F,Nico Hischier C,20:29,1,2,3,2,3,0,1,1,9/20
Devils,Canucks,home,F,Jack Hughes C,15:56,1,1,1,2,0,0,1,3,7/13
Devils,Canucks,home,F,Timo Meier R,15:17,1,0,2,3,0,0,0,1,0/0
Devils,Canucks,home,F,Dawson Mercer C,17:21,1,1,3,3,2,0,0,0,0/1
Devils,Canucks,home,F,Stefan Noesen R,13:46,0,1,0,0,1,0,0,1,1/2
Devils,Canucks,home,F,Ondrej Palat L,11:24,1,0,1,5,1,0,1,0,0/0
Devils,Canucks,home,F,Tomas Tatar L,12:27,1,0,1,1,1,0,0,0,0/0
Devils,Canucks,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Canucks,home,F,Brenden Dillon D,17:29,0,0,4,0,1,0,0,1,0/0
Devils,Canucks,home,F,Dougie Hamilton D,16:55,0,1,3,0,1,0,0,4,0/0
Devils,Canucks,home,F,Luke Hughes D,19:08,0,0,0,1,0,0,1,0,0/0
Devils,Canucks,home,F,Johnathan Kovacevic D,21:17,0,0,2,1,1,0,2,2,0/0
Devils,Canucks,home,F,Brett Pesce D,22:30,0,0,0,1,3,0,0,0,0/0
Devils,Canucks,home,F,Jonas Siegenthaler D,20:17,0,0,1,0,2,2,0,0,0/0
