team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Devils,Oilers,home,D,Brenden Dillon D,21:30,0,0,1,0,1,0,0,0,0/0
Devils,Oilers,home,D,Dougie Hamilton D,16:22,0,1,1,3,1,2,2,0,0/0
Devils,Oilers,home,D,Luke Hughes D,18:18,0,0,0,0,1,0,0,0,0/0
Devils,Oilers,home,D,Johnathan Kovacevic D,18:32,0,0,1,1,0,0,1,2,0/0
Devils,Oilers,home,D,Brett Pesce D,23:19,0,0,0,2,2,0,0,1,0/0
Devils,Oilers,home,D,Jonas Siegenthaler D,21:53,0,0,1,1,3,0,0,1,0/0
Devils,Oilers,home,D,Brenden Dillon D,21:30,0,0,1,0,1,0,0,0,0/0
Devils,Oilers,home,D,Dougie Hamilton D,16:22,0,1,1,3,1,2,2,0,0/0
Devils,Oilers,home,D,Luke Hughes D,18:18,0,0,0,0,1,0,0,0,0/0
Devils,Oilers,home,D,Johnathan Kovacevic D,18:32,0,0,1,1,0,0,1,2,0/0
Devils,Oilers,home,D,Brett Pesce D,23:19,0,0,0,2,2,0,0,1,0/0
Devils,Oilers,home,D,Jonas Siegenthaler D,21:53,0,0,1,1,3,0,0,1,0/0
Devils,Oilers,home,F,Jesper Bratt L,16:08,1,1,0,3,0,0,0,1,0/0
Devils,Oilers,home,F,Paul Cotter C,13:31,0,1,1,0,1,0,0,2,0/1
Devils,Oilers,home,F,Justin Dowling C,10:04,0,0,0,0,0,0,0,1,1/4
Devils,Oilers,home,F,Erik Haula L,14:12,0,0,1,0,1,0,0,0,4/10
Devils,Oilers,home,F,Nico Hischier C,19:47,0,1,1,1,1,0,0,1,12/22
Devils,Oilers,home,F,Jack Hughes C,18:13,0,0,0,0,1,0,0,2,7/10
Devils,Oilers,home,F,Kurtis MacDermid L,08:16,0,0,0,0,0,0,0,0,0/0
Devils,Oilers,home,F,Timo Meier R,18:59,1,0,1,3,0,2,0,1,0/0
Devils,Oilers,home,F,Dawson Mercer C,19:33,0,1,1,1,2,0,0,0,0/0
Devils,Oilers,home,F,Stefan Noesen R,12:14,1,0,1,1,0,0,0,0,0/0
Devils,Oilers,home,F,Ondrej Palat L,14:09,0,0,0,0,1,0,1,0,0/0
Devils,Oilers,home,F,Tomas Tatar L,11:00,0,0,0,0,0,0,1,0,0/0
Devils,Oilers,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Oilers,home,F,Brenden Dillon D,21:30,0,0,1,0,1,0,0,0,0/0
Devils,Oilers,home,F,Dougie Hamilton D,16:22,0,1,1,3,1,2,2,0,0/0
Devils,Oilers,home,F,Luke Hughes D,18:18,0,0,0,0,1,0,0,0,0/0
Devils,Oilers,home,F,Johnathan Kovacevic D,18:32,0,0,1,1,0,0,1,2,0/0
Devils,Oilers,home,F,Brett Pesce D,23:19,0,0,0,2,2,0,0,1,0/0
Devils,Oilers,home,F,Jonas Siegenthaler D,21:53,0,0,1,1,3,0,0,1,0/0
Devils,Oilers,home,F,Jesper Bratt L,16:08,1,1,0,3,0,0,0,1,0/0
Devils,Oilers,home,F,Paul Cotter C,13:31,0,1,1,0,1,0,0,2,0/1
Devils,Oilers,home,F,Justin Dowling C,10:04,0,0,0,0,0,0,0,1,1/4
Devils,Oilers,home,F,Erik Haula L,14:12,0,0,1,0,1,0,0,0,4/10
Devils,Oilers,home,F,Nico Hischier C,19:47,0,1,1,1,1,0,0,1,12/22
Devils,Oilers,home,F,Jack Hughes C,18:13,0,0,0,0,1,0,0,2,7/10
Devils,Oilers,home,F,Kurtis MacDermid L,08:16,0,0,0,0,0,0,0,0,0/0
Devils,Oilers,home,F,Timo Meier R,18:59,1,0,1,3,0,2,0,1,0/0
Devils,Oilers,home,F,Dawson Mercer C,19:33,0,1,1,1,2,0,0,0,0/0
Devils,Oilers,home,F,Stefan Noesen R,12:14,1,0,1,1,0,0,0,0,0/0
Devils,Oilers,home,F,Ondrej Palat L,14:09,0,0,0,0,1,0,1,0,0/0
Devils,Oilers,home,F,Tomas Tatar L,11:00,0,0,0,0,0,0,1,0,0/0
Devils,Oilers,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Oilers,home,F,Brenden Dillon D,21:30,0,0,1,0,1,0,0,0,0/0
Devils,Oilers,home,F,Dougie Hamilton D,16:22,0,1,1,3,1,2,2,0,0/0
Devils,Oilers,home,F,Luke Hughes D,18:18,0,0,0,0,1,0,0,0,0/0
Devils,Oilers,home,F,Johnathan Kovacevic D,18:32,0,0,1,1,0,0,1,2,0/0
Devils,Oilers,home,F,Brett Pesce D,23:19,0,0,0,2,2,0,0,1,0/0
Devils,Oilers,home,F,Jonas Siegenthaler D,21:53,0,0,1,1,3,0,0,1,0/0
