team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Devils,Islanders,home,D,Brenden Dillon D,16:55,0,0,-1,1,1,0,0,0,0/0
Devils,Islanders,home,D,Dougie Hamilton D,21:13,0,3,1,5,3,0,1,2,0/0
Devils,Islanders,home,D,Luke Hughes D,20:29,0,0,-2,1,0,0,0,2,0/0
Devils,Islanders,home,D,Johnathan Kovacevic D,20:39,0,0,1,1,1,0,0,1,0/0
Devils,Islanders,home,D,Brett Pesce D,18:00,0,0,-2,1,0,0,3,1,0/0
Devils,Islanders,home,D,Jonas Siegenthaler D,22:30,0,1,1,0,0,0,1,1,0/0
Devils,Islanders,home,D,Brenden Dillon D,16:55,0,0,-1,1,1,0,0,0,0/0
Devils,Islanders,home,D,Dougie Hamilton D,21:13,0,3,1,5,3,0,1,2,0/0
Devils,Islanders,home,D,Luke Hughes D,20:29,0,0,-2,1,0,0,0,2,0/0
Devils,Islanders,home,D,Johnathan Kovacevic D,20:39,0,0,1,1,1,0,0,1,0/0
Devils,Islanders,home,D,Brett Pesce D,18:00,0,0,-2,1,0,0,3,1,0/0
Devils,Islanders,home,D,Jonas Siegenthaler D,22:30,0,1,1,0,0,0,1,1,0/0
Devils,Islanders,home,F,Jesper Bratt L,18:45,0,1,1,1,1,0,0,0,0/0
Devils,Islanders,home,F,Paul Cotter C,16:25,0,1,2,1,0,0,0,0,0/0
Devils,Islanders,home,F,Justin Dowling C,05:45,0,0,-2,1,1,0,0,0,3/6
Devils,Islanders,home,F,Erik Haula L,17:38,0,0,0,0,0,0,0,0,8/12
Devils,Islanders,home,F,Nico Hischier C,21:32,0,0,2,1,0,0,1,0,9/16
Devils,Islanders,home,F,Jack Hughes C,21:05,2,1,1,5,1,0,3,0,4/16
Devils,Islanders,home,F,Kurtis MacDermid L,04:36,0,0,-2,1,1,0,0,0,0/0
Devils,Islanders,home,F,Timo Meier R,18:56,0,0,0,2,1,0,3,1,0/1
Devils,Islanders,home,F,Dawson Mercer C,22:34,1,0,1,3,0,0,0,0,0/1
Devils,Islanders,home,F,Stefan Noesen R,16:11,1,0,1,7,1,0,0,1,0/1
Devils,Islanders,home,F,Ondrej Palat L,16:35,0,0,-1,1,1,0,1,1,0/1
Devils,Islanders,home,F,Tomas Tatar L,08:25,0,0,-2,1,0,0,1,0,0/0
Devils,Islanders,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Islanders,home,F,Brenden Dillon D,16:55,0,0,-1,1,1,0,0,0,0/0
Devils,Islanders,home,F,Dougie Hamilton D,21:13,0,3,1,5,3,0,1,2,0/0
Devils,Islanders,home,F,Luke Hughes D,20:29,0,0,-2,1,0,0,0,2,0/0
Devils,Islanders,home,F,Johnathan Kovacevic D,20:39,0,0,1,1,1,0,0,1,0/0
Devils,Islanders,home,F,Brett Pesce D,18:00,0,0,-2,1,0,0,3,1,0/0
Devils,Islanders,home,F,Jonas Siegenthaler D,22:30,0,1,1,0,0,0,1,1,0/0
Devils,Islanders,home,F,Jesper Bratt L,18:45,0,1,1,1,1,0,0,0,0/0
Devils,Islanders,home,F,Paul Cotter C,16:25,0,1,2,1,0,0,0,0,0/0
Devils,Islanders,home,F,Justin Dowling C,05:45,0,0,-2,1,1,0,0,0,3/6
Devils,Islanders,home,F,Erik Haula L,17:38,0,0,0,0,0,0,0,0,8/12
Devils,Islanders,home,F,Nico Hischier C,21:32,0,0,2,1,0,0,1,0,9/16
Devils,Islanders,home,F,Jack Hughes C,21:05,2,1,1,5,1,0,3,0,4/16
Devils,Islanders,home,F,Kurtis MacDermid L,04:36,0,0,-2,1,1,0,0,0,0/0
Devils,Islanders,home,F,Timo Meier R,18:56,0,0,0,2,1,0,3,1,0/1
Devils,Islanders,home,F,Dawson Mercer C,22:34,1,0,1,3,0,0,0,0,0/1
Devils,Islanders,home,F,Stefan Noesen R,16:11,1,0,1,7,1,0,0,1,0/1
Devils,Islanders,home,F,Ondrej Palat L,16:35,0,0,-1,1,1,0,1,1,0/1
Devils,Islanders,home,F,Tomas Tatar L,08:25,0,0,-2,1,0,0,1,0,0/0
Devils,Islanders,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Islanders,home,F,Brenden Dillon D,16:55,0,0,-1,1,1,0,0,0,0/0
Devils,Islanders,home,F,Dougie Hamilton D,21:13,0,3,1,5,3,0,1,2,0/0
Devils,Islanders,home,F,Luke Hughes D,20:29,0,0,-2,1,0,0,0,2,0/0
Devils,Islanders,home,F,Johnathan Kovacevic D,20:39,0,0,1,1,1,0,0,1,0/0
Devils,Islanders,home,F,Brett Pesce D,18:00,0,0,-2,1,0,0,3,1,0/0
Devils,Islanders,home,F,Jonas Siegenthaler D,22:30,0,1,1,0,0,0,1,1,0/0
