team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Devils,Panthers,home,D,Brenden Dillon D,14:15,0,0,2,0,2,7,0,1,0/0
Devils,Panthers,home,D,Dougie Hamilton D,16:17,0,2,2,2,1,0,0,1,0/0
Devils,Panthers,home,D,Luke Hughes D,20:13,0,0,0,2,1,0,1,2,0/0
Devils,Panthers,home,D,Johnathan Kovacevic D,23:39,0,0,2,0,1,0,1,1,0/0
Devils,Panthers,home,D,Brett Pesce D,22:05,0,0,1,0,3,2,0,1,0/0
Devils,Panthers,home,D,Jonas Siegenthaler D,22:08,0,1,1,0,1,0,0,1,0/0
Devils,Panthers,home,D,Brenden Dillon D,14:15,0,0,2,0,2,7,0,1,0/0
Devils,Panthers,home,D,Dougie Hamilton D,16:17,0,2,2,2,1,0,0,1,0/0
Devils,Panthers,home,D,Luke Hughes D,20:13,0,0,0,2,1,0,1,2,0/0
Devils,Panthers,home,D,Johnathan Kovacevic D,23:39,0,0,2,0,1,0,1,1,0/0
Devils,Panthers,home,D,Brett Pesce D,22:05,0,0,1,0,3,2,0,1,0/0
Devils,Panthers,home,D,Jonas Siegenthaler D,22:08,0,1,1,0,1,0,0,1,0/0
Devils,Panthers,home,F,Jesper Bratt L,16:08,0,2,2,2,1,0,0,1,0/1
Devils,Panthers,home,F,Paul Cotter C,13:57,1,0,1,1,0,2,0,1,1/1
Devils,Panthers,home,F,Justin Dowling C,08:55,0,0,0,0,1,0,0,1,3/5
Devils,Panthers,home,F,Erik Haula L,15:06,0,0,1,1,2,0,0,2,3/10
Devils,Panthers,home,F,Nico Hischier C,17:59,0,1,1,2,1,0,0,0,14/25
Devils,Panthers,home,F,Jack Hughes C,19:08,1,0,2,1,0,0,0,0,2/14
Devils,Panthers,home,F,Kurtis MacDermid L,07:11,0,0,0,0,1,0,0,1,0/0
Devils,Panthers,home,F,Timo Meier R,17:55,1,0,1,4,3,0,1,3,0/0
Devils,Panthers,home,F,Dawson Mercer C,18:44,0,1,1,4,2,0,1,0,0/0
Devils,Panthers,home,F,Stefan Noesen R,17:14,0,0,1,1,0,4,0,1,0/2
Devils,Panthers,home,F,Ondrej Palat L,14:32,1,0,2,4,1,0,0,1,0/0
Devils,Panthers,home,F,Tomas Tatar L,08:14,0,0,0,0,1,0,0,0,0/0
Devils,Panthers,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Panthers,home,F,Brenden Dillon D,14:15,0,0,2,0,2,7,0,1,0/0
Devils,Panthers,home,F,Dougie Hamilton D,16:17,0,2,2,2,1,0,0,1,0/0
Devils,Panthers,home,F,Luke Hughes D,20:13,0,0,0,2,1,0,1,2,0/0
Devils,Panthers,home,F,Johnathan Kovacevic D,23:39,0,0,2,0,1,0,1,1,0/0
Devils,Panthers,home,F,Brett Pesce D,22:05,0,0,1,0,3,2,0,1,0/0
Devils,Panthers,home,F,Jonas Siegenthaler D,22:08,0,1,1,0,1,0,0,1,0/0
Devils,Panthers,home,F,Jesper Bratt L,16:08,0,2,2,2,1,0,0,1,0/1
Devils,Panthers,home,F,Paul Cotter C,13:57,1,0,1,1,0,2,0,1,1/1
Devils,Panthers,home,F,Justin Dowling C,08:55,0,0,0,0,1,0,0,1,3/5
Devils,Panthers,home,F,Erik Haula L,15:06,0,0,1,1,2,0,0,2,3/10
Devils,Panthers,home,F,Nico Hischier C,17:59,0,1,1,2,1,0,0,0,14/25
Devils,Panthers,home,F,Jack Hughes C,19:08,1,0,2,1,0,0,0,0,2/14
Devils,Panthers,home,F,Kurtis MacDermid L,07:11,0,0,0,0,1,0,0,1,0/0
Devils,Panthers,home,F,Timo Meier R,17:55,1,0,1,4,3,0,1,3,0/0
Devils,Panthers,home,F,Dawson Mercer C,18:44,0,1,1,4,2,0,1,0,0/0
Devils,Panthers,home,F,Stefan Noesen R,17:14,0,0,1,1,0,4,0,1,0/2
Devils,Panthers,home,F,Ondrej Palat L,14:32,1,0,2,4,1,0,0,1,0/0
Devils,Panthers,home,F,Tomas Tatar L,08:14,0,0,0,0,1,0,0,0,0/0
Devils,Panthers,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Panthers,home,F,Brenden Dillon D,14:15,0,0,2,0,2,7,0,1,0/0
Devils,Panthers,home,F,Dougie Hamilton D,16:17,0,2,2,2,1,0,0,1,0/0
Devils,Panthers,home,F,Luke Hughes D,20:13,0,0,0,2,1,0,1,2,0/0
Devils,Panthers,home,F,Johnathan Kovacevic D,23:39,0,0,2,0,1,0,1,1,0/0
Devils,Panthers,home,F,Brett Pesce D,22:05,0,0,1,0,3,2,0,1,0/0
Devils,Panthers,home,F,Jonas Siegenthaler D,22:08,0,1,1,0,1,0,0,1,0/0
