team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Devils,Lightning,home,D,Brenden Dillon D,18:04,0,0,-2,0,0,0,0,2,0/0
Devils,Lightning,home,D,Dougie Hamilton D,20:31,0,0,-2,4,2,2,1,1,0/0
Devils,Lightning,home,D,Luke Hughes D,21:42,0,0,-1,1,0,0,1,0,0/0
Devils,Lightning,home,D,Johnathan Kovacevic D,17:56,0,0,0,0,3,0,0,1,0/0
Devils,Lightning,home,D,Brett Pesce D,17:39,0,0,0,1,3,0,0,2,0/0
Devils,Lightning,home,D,Jonas Siegenthaler D,16:10,0,0,0,2,0,0,0,1,0/0
Devils,Lightning,home,D,Brenden Dillon D,18:04,0,0,-2,0,0,0,0,2,0/0
Devils,Lightning,home,D,Dougie Hamilton D,20:31,0,0,-2,4,2,2,1,1,0/0
Devils,Lightning,home,D,Luke Hughes D,21:42,0,0,-1,1,0,0,1,0,0/0
Devils,Lightning,home,D,Johnathan Kovacevic D,17:56,0,0,0,0,3,0,0,1,0/0
Devils,Lightning,home,D,Brett Pesce D,17:39,0,0,0,1,3,0,0,2,0/0
Devils,Lightning,home,D,Jonas Siegenthaler D,16:10,0,0,0,2,0,0,0,1,0/0
Devils,Lightning,home,F,Jesper Bratt L,17:59,0,0,0,3,0,0,0,0,0/0
Devils,Lightning,home,F,Paul Cotter C,15:26,0,0,-3,0,1,0,0,0,1/1
Devils,Lightning,home,F,Justin Dowling C,07:07,0,0,0,1,0,0,0,0,2/3
Devils,Lightning,home,F,Erik Haula L,14:59,0,0,-3,0,0,2,0,0,10/20
Devils,Lightning,home,F,Nico Hischier C,23:10,0,0,0,2,0,0,0,2,15/28
Devils,Lightning,home,F,Jack Hughes C,21:59,0,0,0,6,0,0,1,0,3/10
Devils,Lightning,home,F,Kurtis MacDermid L,04:28,0,0,0,0,0,2,0,0,0/0
Devils,Lightning,home,F,Timo Meier R,17:09,0,0,0,6,0,0,0,2,0/0
Devils,Lightning,home,F,Dawson Mercer C,18:54,0,0,-3,3,2,0,0,1,0/0
Devils,Lightning,home,F,Stefan Noesen R,18:30,0,0,0,0,0,0,0,0,1/2
Devils,Lightning,home,F,Ondrej Palat L,13:35,0,0,0,0,1,0,0,0,0/0
Devils,Lightning,home,F,Tomas Tatar L,11:35,0,0,-1,0,0,0,1,0,0/0
Devils,Lightning,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Lightning,home,F,Brenden Dillon D,18:04,0,0,-2,0,0,0,0,2,0/0
Devils,Lightning,home,F,Dougie Hamilton D,20:31,0,0,-2,4,2,2,1,1,0/0
Devils,Lightning,home,F,Luke Hughes D,21:42,0,0,-1,1,0,0,1,0,0/0
Devils,Lightning,home,F,Johnathan Kovacevic D,17:56,0,0,0,0,3,0,0,1,0/0
Devils,Lightning,home,F,Brett Pesce D,17:39,0,0,0,1,3,0,0,2,0/0
Devils,Lightning,home,F,Jonas Siegenthaler D,16:10,0,0,0,2,0,0,0,1,0/0
Devils,Lightning,home,F,Jesper Bratt L,17:59,0,0,0,3,0,0,0,0,0/0
Devils,Lightning,home,F,Paul Cotter C,15:26,0,0,-3,0,1,0,0,0,1/1
Devils,Lightning,home,F,Justin Dowling C,07:07,0,0,0,1,0,0,0,0,2/3
Devils,Lightning,home,F,Erik Haula L,14:59,0,0,-3,0,0,2,0,0,10/20
Devils,Lightning,home,F,Nico Hischier C,23:10,0,0,0,2,0,0,0,2,15/28
Devils,Lightning,home,F,Jack Hughes C,21:59,0,0,0,6,0,0,1,0,3/10
Devils,Lightning,home,F,Kurtis MacDermid L,04:28,0,0,0,0,0,2,0,0,0/0
Devils,Lightning,home,F,Timo Meier R,17:09,0,0,0,6,0,0,0,2,0/0
Devils,Lightning,home,F,Dawson Mercer C,18:54,0,0,-3,3,2,0,0,1,0/0
Devils,Lightning,home,F,Stefan Noesen R,18:30,0,0,0,0,0,0,0,0,1/2
Devils,Lightning,home,F,Ondrej Palat L,13:35,0,0,0,0,1,0,0,0,0/0
Devils,Lightning,home,F,Tomas Tatar L,11:35,0,0,-1,0,0,0,1,0,0/0
Devils,Lightning,home,F,Devils Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrenden
Devils,Lightning,home,F,Brenden Dillon D,18:04,0,0,-2,0,0,0,0,2,0/0
Devils,Lightning,home,F,Dougie Hamilton D,20:31,0,0,-2,4,2,2,1,1,0/0
Devils,Lightning,home,F,Luke Hughes D,21:42,0,0,-1,1,0,0,1,0,0/0
Devils,Lightning,home,F,Johnathan Kovacevic D,17:56,0,0,0,0,3,0,0,1,0/0
Devils,Lightning,home,F,Brett Pesce D,17:39,0,0,0,1,3,0,0,2,0/0
Devils,Lightning,home,F,Jonas Siegenthaler D,16:10,0,0,0,2,0,0,0,1,0/0
