team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Ducks,Golden Knights,home,D,Brian Dumoulin D,20:39,0,0,0,0,2,0,1,0,0/0
Ducks,Golden Knights,home,D,Cam Fowler D,22:49,0,0,-1,1,1,0,0,1,0/0
Ducks,Golden Knights,home,D,Radko Gudas D,20:13,0,0,0,1,2,0,0,1,0/0
Ducks,Golden Knights,home,D,Tristan Luneau D,19:33,0,0,-2,0,1,0,0,2,0/0
Ducks,Golden Knights,home,D,Pavel Mintyukov D,21:15,0,0,1,0,0,0,1,1,0/0
Ducks,Golden Knights,home,D,Urho Vaakanainen D,13:47,0,0,0,0,1,2,0,1,0/0
Ducks,Golden Knights,home,D,Brian Dumoulin D,20:39,0,0,0,0,2,0,1,0,0/0
Ducks,Golden Knights,home,D,Cam Fowler D,22:49,0,0,-1,1,1,0,0,1,0/0
Ducks,Golden Knights,home,D,Radko Gudas D,20:13,0,0,0,1,2,0,0,1,0/0
Ducks,Golden Knights,home,D,Tristan Luneau D,19:33,0,0,-2,0,1,0,0,2,0/0
Ducks,Golden Knights,home,D,Pavel Mintyukov D,21:15,0,0,1,0,0,0,1,1,0/0
Ducks,Golden Knights,home,D,Urho Vaakanainen D,13:47,0,0,0,0,1,2,0,1,0/0
Ducks,Golden Knights,home,F,Leo Carlsson C,14:56,0,0,0,1,0,0,0,0,2/5
Ducks,Golden Knights,home,F,Robby Fabbri C,18:02,0,0,-1,3,1,0,0,0,0/1
Ducks,Golden Knights,home,F,Cutter Gauthier L,14:18,0,0,0,2,0,0,0,1,0/1
Ducks,Golden Knights,home,F,Alex Killorn L,13:58,0,0,0,1,2,2,0,0,0/0
Ducks,Golden Knights,home,F,Brett Leason R,14:19,0,0,0,2,1,0,0,0,0/0
Ducks,Golden Knights,home,F,Isac Lundestrom C,14:33,0,0,0,0,3,0,0,0,5/10
Ducks,Golden Knights,home,F,Brock McGinn L,10:11,0,0,0,0,2,0,0,0,0/0
Ducks,Golden Knights,home,F,Mason McTavish C,16:28,0,0,-1,0,2,0,1,1,8/15
Ducks,Golden Knights,home,F,Ryan Strome C,13:48,0,0,0,5,0,2,0,0,5/11
Ducks,Golden Knights,home,F,Troy Terry R,13:45,1,0,0,3,1,0,1,0,0/0
Ducks,Golden Knights,home,F,Frank Vatrano R,14:09,0,0,0,2,1,0,0,1,0/0
Ducks,Golden Knights,home,F,Trevor Zegras C,16:14,0,0,-1,2,0,2,1,2,0/0
Ducks,Golden Knights,home,F,Ducks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrian
Ducks,Golden Knights,home,F,Brian Dumoulin D,20:39,0,0,0,0,2,0,1,0,0/0
Ducks,Golden Knights,home,F,Cam Fowler D,22:49,0,0,-1,1,1,0,0,1,0/0
Ducks,Golden Knights,home,F,Radko Gudas D,20:13,0,0,0,1,2,0,0,1,0/0
Ducks,Golden Knights,home,F,Tristan Luneau D,19:33,0,0,-2,0,1,0,0,2,0/0
Ducks,Golden Knights,home,F,Pavel Mintyukov D,21:15,0,0,1,0,0,0,1,1,0/0
Ducks,Golden Knights,home,F,Urho Vaakanainen D,13:47,0,0,0,0,1,2,0,1,0/0
Ducks,Golden Knights,home,F,Leo Carlsson C,14:56,0,0,0,1,0,0,0,0,2/5
Ducks,Golden Knights,home,F,Robby Fabbri C,18:02,0,0,-1,3,1,0,0,0,0/1
Ducks,Golden Knights,home,F,Cutter Gauthier L,14:18,0,0,0,2,0,0,0,1,0/1
Ducks,Golden Knights,home,F,Alex Killorn L,13:58,0,0,0,1,2,2,0,0,0/0
Ducks,Golden Knights,home,F,Brett Leason R,14:19,0,0,0,2,1,0,0,0,0/0
Ducks,Golden Knights,home,F,Isac Lundestrom C,14:33,0,0,0,0,3,0,0,0,5/10
Ducks,Golden Knights,home,F,Brock McGinn L,10:11,0,0,0,0,2,0,0,0,0/0
Ducks,Golden Knights,home,F,Mason McTavish C,16:28,0,0,-1,0,2,0,1,1,8/15
Ducks,Golden Knights,home,F,Ryan Strome C,13:48,0,0,0,5,0,2,0,0,5/11
Ducks,Golden Knights,home,F,Troy Terry R,13:45,1,0,0,3,1,0,1,0,0/0
Ducks,Golden Knights,home,F,Frank Vatrano R,14:09,0,0,0,2,1,0,0,1,0/0
Ducks,Golden Knights,home,F,Trevor Zegras C,16:14,0,0,-1,2,0,2,1,2,0/0
Ducks,Golden Knights,home,F,Ducks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrian
Ducks,Golden Knights,home,F,Brian Dumoulin D,20:39,0,0,0,0,2,0,1,0,0/0
Ducks,Golden Knights,home,F,Cam Fowler D,22:49,0,0,-1,1,1,0,0,1,0/0
Ducks,Golden Knights,home,F,Radko Gudas D,20:13,0,0,0,1,2,0,0,1,0/0
Ducks,Golden Knights,home,F,Tristan Luneau D,19:33,0,0,-2,0,1,0,0,2,0/0
Ducks,Golden Knights,home,F,Pavel Mintyukov D,21:15,0,0,1,0,0,0,1,1,0/0
Ducks,Golden Knights,home,F,Urho Vaakanainen D,13:47,0,0,0,0,1,2,0,1,0/0
