team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Ducks,Avalanche,home,D,Brian Dumoulin D,18:45,0,1,1,2,4,0,0,0,0/0
Ducks,Avalanche,home,D,Cam Fowler D,24:46,0,0,-1,0,5,0,0,0,0/0
Ducks,Avalanche,home,D,Radko Gudas D,20:22,0,0,0,0,4,0,0,3,0/0
Ducks,Avalanche,home,D,Tristan Luneau D,16:13,0,0,-1,1,1,0,1,1,0/0
Ducks,Avalanche,home,D,Pavel Mintyukov D,21:45,0,0,0,1,2,0,0,1,0/0
Ducks,Avalanche,home,D,Olen Zellweger D,17:07,0,1,1,1,0,2,0,0,0/0
Ducks,Avalanche,home,D,Brian Dumoulin D,18:45,0,1,1,2,4,0,0,0,0/0
Ducks,Avalanche,home,D,Cam Fowler D,24:46,0,0,-1,0,5,0,0,0,0/0
Ducks,Avalanche,home,D,Radko Gudas D,20:22,0,0,0,0,4,0,0,3,0/0
Ducks,Avalanche,home,D,Tristan Luneau D,16:13,0,0,-1,1,1,0,1,1,0/0
Ducks,Avalanche,home,D,Pavel Mintyukov D,21:45,0,0,0,1,2,0,0,1,0/0
Ducks,Avalanche,home,D,Olen Zellweger D,17:07,0,1,1,1,0,2,0,0,0/0
Ducks,Avalanche,home,F,Leo Carlsson C,19:31,1,0,0,3,0,0,0,1,3/9
Ducks,Avalanche,home,F,Robby Fabbri C,21:39,0,0,0,0,3,2,0,0,2/3
Ducks,Avalanche,home,F,Cutter Gauthier L,15:47,0,0,2,3,1,0,1,1,1/6
Ducks,Avalanche,home,F,Jansen Harkins C,10:11,0,0,0,1,1,0,1,0,4/7
Ducks,Avalanche,home,F,Ross Johnston L,07:28,0,0,1,0,1,2,0,0,0/1
Ducks,Avalanche,home,F,Alex Killorn L,17:02,0,0,1,0,0,0,0,1,0/0
Ducks,Avalanche,home,F,Brett Leason R,09:10,0,0,0,0,0,0,0,0,0/1
Ducks,Avalanche,home,F,Brock McGinn L,15:23,0,0,-1,1,4,0,0,1,0/0
Ducks,Avalanche,home,F,Mason McTavish C,17:41,0,0,0,1,0,0,0,1,5/14
Ducks,Avalanche,home,F,Ryan Strome C,17:20,1,0,0,1,1,0,0,0,8/18
Ducks,Avalanche,home,F,Troy Terry R,17:11,1,0,0,2,0,0,0,0,0/0
Ducks,Avalanche,home,F,Trevor Zegras C,18:52,0,0,0,3,1,2,0,0,0/0
Ducks,Avalanche,home,F,Ducks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrian
Ducks,Avalanche,home,F,Brian Dumoulin D,18:45,0,1,1,2,4,0,0,0,0/0
Ducks,Avalanche,home,F,Cam Fowler D,24:46,0,0,-1,0,5,0,0,0,0/0
Ducks,Avalanche,home,F,Radko Gudas D,20:22,0,0,0,0,4,0,0,3,0/0
Ducks,Avalanche,home,F,Tristan Luneau D,16:13,0,0,-1,1,1,0,1,1,0/0
Ducks,Avalanche,home,F,Pavel Mintyukov D,21:45,0,0,0,1,2,0,0,1,0/0
Ducks,Avalanche,home,F,Olen Zellweger D,17:07,0,1,1,1,0,2,0,0,0/0
Ducks,Avalanche,home,F,Leo Carlsson C,19:31,1,0,0,3,0,0,0,1,3/9
Ducks,Avalanche,home,F,Robby Fabbri C,21:39,0,0,0,0,3,2,0,0,2/3
Ducks,Avalanche,home,F,Cutter Gauthier L,15:47,0,0,2,3,1,0,1,1,1/6
Ducks,Avalanche,home,F,Jansen Harkins C,10:11,0,0,0,1,1,0,1,0,4/7
Ducks,Avalanche,home,F,Ross Johnston L,07:28,0,0,1,0,1,2,0,0,0/1
Ducks,Avalanche,home,F,Alex Killorn L,17:02,0,0,1,0,0,0,0,1,0/0
Ducks,Avalanche,home,F,Brett Leason R,09:10,0,0,0,0,0,0,0,0,0/1
Ducks,Avalanche,home,F,Brock McGinn L,15:23,0,0,-1,1,4,0,0,1,0/0
Ducks,Avalanche,home,F,Mason McTavish C,17:41,0,0,0,1,0,0,0,1,5/14
Ducks,Avalanche,home,F,Ryan Strome C,17:20,1,0,0,1,1,0,0,0,8/18
Ducks,Avalanche,home,F,Troy Terry R,17:11,1,0,0,2,0,0,0,0,0/0
Ducks,Avalanche,home,F,Trevor Zegras C,18:52,0,0,0,3,1,2,0,0,0/0
Ducks,Avalanche,home,F,Ducks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrian
Ducks,Avalanche,home,F,Brian Dumoulin D,18:45,0,1,1,2,4,0,0,0,0/0
Ducks,Avalanche,home,F,Cam Fowler D,24:46,0,0,-1,0,5,0,0,0,0/0
Ducks,Avalanche,home,F,Radko Gudas D,20:22,0,0,0,0,4,0,0,3,0/0
Ducks,Avalanche,home,F,Tristan Luneau D,16:13,0,0,-1,1,1,0,1,1,0/0
Ducks,Avalanche,home,F,Pavel Mintyukov D,21:45,0,0,0,1,2,0,0,1,0/0
Ducks,Avalanche,home,F,Olen Zellweger D,17:07,0,1,1,1,0,2,0,0,0/0
