team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Ducks,Wild,away,D,Brian Dumoulin D,16:42,0,0,1,2,3,0,0,1,0/0
Ducks,Wild,away,D,Radko Gudas D,17:03,0,1,0,0,3,6,0,1,0/0
Ducks,Wild,away,D,Jackson LaCombe D,15:22,0,0,-3,2,1,0,0,1,0/0
Ducks,Wild,away,D,Pavel Mintyukov D,21:48,0,0,-1,1,3,0,0,0,0/0
Ducks,Wild,away,D,Urho Vaakanainen D,14:40,0,1,1,1,1,0,1,1,0/0
Ducks,Wild,away,D,Olen Zellweger D,23:30,0,0,-2,2,0,0,0,1,0/0
Ducks,Wild,away,D,Brian Dumoulin D,16:42,0,0,1,2,3,0,0,1,0/0
Ducks,Wild,away,D,Radko Gudas D,17:03,0,1,0,0,3,6,0,1,0/0
Ducks,Wild,away,D,Jackson LaCombe D,15:22,0,0,-3,2,1,0,0,1,0/0
Ducks,Wild,away,D,Pavel Mintyukov D,21:48,0,0,-1,1,3,0,0,0,0/0
Ducks,Wild,away,D,Urho Vaakanainen D,14:40,0,1,1,1,1,0,1,1,0/0
Ducks,Wild,away,D,Olen Zellweger D,23:30,0,0,-2,2,0,0,0,1,0/0
Ducks,Wild,away,F,Leo Carlsson C,15:58,0,0,-1,2,0,0,0,0,5/12
Ducks,Wild,away,F,Robby Fabbri C,16:17,1,0,0,2,1,0,0,1,3/5
Ducks,Wild,away,F,Cutter Gauthier L,14:19,0,0,0,1,0,0,0,2,0/0
Ducks,Wild,away,F,Ross Johnston L,09:57,0,0,-1,1,1,2,1,0,0/0
Ducks,Wild,away,F,Alex Killorn L,18:27,0,0,0,1,0,2,0,0,0/0
Ducks,Wild,away,F,Isac Lundestrom C,12:28,0,0,-1,0,1,0,0,1,2/4
Ducks,Wild,away,F,Brock McGinn L,12:40,0,0,-1,1,1,0,0,0,0/1
Ducks,Wild,away,F,Mason McTavish C,16:14,1,0,0,5,1,0,0,1,5/8
Ducks,Wild,away,F,Ryan Strome C,15:20,0,0,-1,1,1,0,0,1,1/8
Ducks,Wild,away,F,Troy Terry R,17:39,0,0,0,3,0,0,0,1,0/0
Ducks,Wild,away,F,Frank Vatrano R,19:43,0,0,-1,9,1,0,0,0,0/0
Ducks,Wild,away,F,Trevor Zegras C,18:33,0,0,0,1,2,0,0,0,4/10
Ducks,Wild,away,F,Ducks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrian
Ducks,Wild,away,F,Brian Dumoulin D,16:42,0,0,1,2,3,0,0,1,0/0
Ducks,Wild,away,F,Radko Gudas D,17:03,0,1,0,0,3,6,0,1,0/0
Ducks,Wild,away,F,Jackson LaCombe D,15:22,0,0,-3,2,1,0,0,1,0/0
Ducks,Wild,away,F,Pavel Mintyukov D,21:48,0,0,-1,1,3,0,0,0,0/0
Ducks,Wild,away,F,Urho Vaakanainen D,14:40,0,1,1,1,1,0,1,1,0/0
Ducks,Wild,away,F,Olen Zellweger D,23:30,0,0,-2,2,0,0,0,1,0/0
Ducks,Wild,away,F,Leo Carlsson C,15:58,0,0,-1,2,0,0,0,0,5/12
Ducks,Wild,away,F,Robby Fabbri C,16:17,1,0,0,2,1,0,0,1,3/5
Ducks,Wild,away,F,Cutter Gauthier L,14:19,0,0,0,1,0,0,0,2,0/0
Ducks,Wild,away,F,Ross Johnston L,09:57,0,0,-1,1,1,2,1,0,0/0
Ducks,Wild,away,F,Alex Killorn L,18:27,0,0,0,1,0,2,0,0,0/0
Ducks,Wild,away,F,Isac Lundestrom C,12:28,0,0,-1,0,1,0,0,1,2/4
Ducks,Wild,away,F,Brock McGinn L,12:40,0,0,-1,1,1,0,0,0,0/1
Ducks,Wild,away,F,Mason McTavish C,16:14,1,0,0,5,1,0,0,1,5/8
Ducks,Wild,away,F,Ryan Strome C,15:20,0,0,-1,1,1,0,0,1,1/8
Ducks,Wild,away,F,Troy Terry R,17:39,0,0,0,3,0,0,0,1,0/0
Ducks,Wild,away,F,Frank Vatrano R,19:43,0,0,-1,9,1,0,0,0,0/0
Ducks,Wild,away,F,Trevor Zegras C,18:33,0,0,0,1,2,0,0,0,4/10
Ducks,Wild,away,F,Ducks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrian
Ducks,Wild,away,F,Brian Dumoulin D,16:42,0,0,1,2,3,0,0,1,0/0
Ducks,Wild,away,F,Radko Gudas D,17:03,0,1,0,0,3,6,0,1,0/0
Ducks,Wild,away,F,Jackson LaCombe D,15:22,0,0,-3,2,1,0,0,1,0/0
Ducks,Wild,away,F,Pavel Mintyukov D,21:48,0,0,-1,1,3,0,0,0,0/0
Ducks,Wild,away,F,Urho Vaakanainen D,14:40,0,1,1,1,1,0,1,1,0/0
Ducks,Wild,away,F,Olen Zellweger D,23:30,0,0,-2,2,0,0,0,1,0/0
