team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Ducks,Golden Knights,away,D,Brian Dumoulin D,19:47,0,0,1,1,1,0,0,0,0/0
Ducks,Golden Knights,away,D,Radko Gudas D,20:00,0,0,0,1,3,2,0,4,0/0
Ducks,Golden Knights,away,D,Jackson LaCombe D,20:47,0,0,0,1,3,0,0,3,0/0
Ducks,Golden Knights,away,D,Pavel Mintyukov D,21:22,0,1,0,3,2,0,1,1,0/0
Ducks,Golden Knights,away,D,Urho Vaakanainen D,12:53,0,0,-1,1,1,0,0,1,0/0
Ducks,Golden Knights,away,D,Olen Zellweger D,19:06,0,0,0,2,0,0,0,1,0/0
Ducks,Golden Knights,away,D,Brian Dumoulin D,19:47,0,0,1,1,1,0,0,0,0/0
Ducks,Golden Knights,away,D,Radko Gudas D,20:00,0,0,0,1,3,2,0,4,0/0
Ducks,Golden Knights,away,D,Jackson LaCombe D,20:47,0,0,0,1,3,0,0,3,0/0
Ducks,Golden Knights,away,D,Pavel Mintyukov D,21:22,0,1,0,3,2,0,1,1,0/0
Ducks,Golden Knights,away,D,Urho Vaakanainen D,12:53,0,0,-1,1,1,0,0,1,0/0
Ducks,Golden Knights,away,D,Olen Zellweger D,19:06,0,0,0,2,0,0,0,1,0/0
Ducks,Golden Knights,away,F,Leo Carlsson C,17:16,0,0,0,0,0,0,0,0,1/6
Ducks,Golden Knights,away,F,Cutter Gauthier L,12:42,0,0,-1,0,1,0,0,2,0/1
Ducks,Golden Knights,away,F,Jansen Harkins C,09:11,0,0,-1,0,0,0,0,0,4/5
Ducks,Golden Knights,away,F,Ross Johnston L,10:43,0,0,-1,0,0,0,0,0,0/0
Ducks,Golden Knights,away,F,Alex Killorn L,15:22,0,1,1,2,0,2,0,2,0/0
Ducks,Golden Knights,away,F,Brett Leason R,15:02,0,2,1,1,2,2,0,0,0/0
Ducks,Golden Knights,away,F,Isac Lundestrom C,16:20,0,0,0,2,1,0,0,2,6/16
Ducks,Golden Knights,away,F,Brock McGinn L,13:49,1,0,0,2,1,0,0,0,0/0
Ducks,Golden Knights,away,F,Ryan Strome C,15:37,0,0,0,1,0,0,0,1,3/7
Ducks,Golden Knights,away,F,Troy Terry R,19:33,0,0,0,0,0,0,0,1,0/0
Ducks,Golden Knights,away,F,Frank Vatrano R,18:38,1,0,1,6,1,0,0,3,1/1
Ducks,Golden Knights,away,F,Trevor Zegras C,17:51,0,0,0,1,0,0,0,0,6/15
Ducks,Golden Knights,away,F,Ducks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrian
Ducks,Golden Knights,away,F,Brian Dumoulin D,19:47,0,0,1,1,1,0,0,0,0/0
Ducks,Golden Knights,away,F,Radko Gudas D,20:00,0,0,0,1,3,2,0,4,0/0
Ducks,Golden Knights,away,F,Jackson LaCombe D,20:47,0,0,0,1,3,0,0,3,0/0
Ducks,Golden Knights,away,F,Pavel Mintyukov D,21:22,0,1,0,3,2,0,1,1,0/0
Ducks,Golden Knights,away,F,Urho Vaakanainen D,12:53,0,0,-1,1,1,0,0,1,0/0
Ducks,Golden Knights,away,F,Olen Zellweger D,19:06,0,0,0,2,0,0,0,1,0/0
Ducks,Golden Knights,away,F,Leo Carlsson C,17:16,0,0,0,0,0,0,0,0,1/6
Ducks,Golden Knights,away,F,Cutter Gauthier L,12:42,0,0,-1,0,1,0,0,2,0/1
Ducks,Golden Knights,away,F,Jansen Harkins C,09:11,0,0,-1,0,0,0,0,0,4/5
Ducks,Golden Knights,away,F,Ross Johnston L,10:43,0,0,-1,0,0,0,0,0,0/0
Ducks,Golden Knights,away,F,Alex Killorn L,15:22,0,1,1,2,0,2,0,2,0/0
Ducks,Golden Knights,away,F,Brett Leason R,15:02,0,2,1,1,2,2,0,0,0/0
Ducks,Golden Knights,away,F,Isac Lundestrom C,16:20,0,0,0,2,1,0,0,2,6/16
Ducks,Golden Knights,away,F,Brock McGinn L,13:49,1,0,0,2,1,0,0,0,0/0
Ducks,Golden Knights,away,F,Ryan Strome C,15:37,0,0,0,1,0,0,0,1,3/7
Ducks,Golden Knights,away,F,Troy Terry R,19:33,0,0,0,0,0,0,0,1,0/0
Ducks,Golden Knights,away,F,Frank Vatrano R,18:38,1,0,1,6,1,0,0,3,1/1
Ducks,Golden Knights,away,F,Trevor Zegras C,17:51,0,0,0,1,0,0,0,0,6/15
Ducks,Golden Knights,away,F,Ducks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrian
Ducks,Golden Knights,away,F,Brian Dumoulin D,19:47,0,0,1,1,1,0,0,0,0/0
Ducks,Golden Knights,away,F,Radko Gudas D,20:00,0,0,0,1,3,2,0,4,0/0
Ducks,Golden Knights,away,F,Jackson LaCombe D,20:47,0,0,0,1,3,0,0,3,0/0
Ducks,Golden Knights,away,F,Pavel Mintyukov D,21:22,0,1,0,3,2,0,1,1,0/0
Ducks,Golden Knights,away,F,Urho Vaakanainen D,12:53,0,0,-1,1,1,0,0,1,0/0
Ducks,Golden Knights,away,F,Olen Zellweger D,19:06,0,0,0,2,0,0,0,1,0/0
