team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Ducks,Red Wings,away,D,Brian Dumoulin D,20:35,0,2,3,1,2,0,0,0,0/0
Ducks,Red Wings,away,D,Radko Gudas D,19:48,0,0,0,1,0,2,0,2,0/0
Ducks,Red Wings,away,D,Drew Helleson D,13:19,0,2,2,1,1,2,1,0,0/0
Ducks,Red Wings,away,D,Jackson LaCombe D,20:02,0,1,1,0,3,0,3,1,0/0
Ducks,Red Wings,away,D,Pavel Mintyukov D,18:04,0,0,-1,2,0,0,2,0,0/0
Ducks,Red Wings,away,D,Olen Zellweger D,22:27,1,2,1,2,2,2,0,0,0/0
Ducks,Red Wings,away,D,Brian Dumoulin D,20:35,0,2,3,1,2,0,0,0,0/0
Ducks,Red Wings,away,D,Radko Gudas D,19:48,0,0,0,1,0,2,0,2,0/0
Ducks,Red Wings,away,D,Drew Helleson D,13:19,0,2,2,1,1,2,1,0,0/0
Ducks,Red Wings,away,D,Jackson LaCombe D,20:02,0,1,1,0,3,0,3,1,0/0
Ducks,Red Wings,away,D,Pavel Mintyukov D,18:04,0,0,-1,2,0,0,2,0,0/0
Ducks,Red Wings,away,D,Olen Zellweger D,22:27,1,2,1,2,2,2,0,0,0/0
Ducks,Red Wings,away,F,Leo Carlsson C,17:00,0,2,1,0,1,0,0,1,1/5
Ducks,Red Wings,away,F,Cutter Gauthier L,12:56,1,0,1,1,1,0,0,3,0/0
Ducks,Red Wings,away,F,Jansen Harkins C,09:59,0,1,1,0,0,0,1,0,4/7
Ducks,Red Wings,away,F,Ross Johnston L,09:41,1,0,1,3,1,0,1,0,0/0
Ducks,Red Wings,away,F,Alex Killorn L,15:51,0,1,2,2,0,0,0,0,0/0
Ducks,Red Wings,away,F,Brett Leason R,14:39,0,0,0,0,1,2,0,1,0/0
Ducks,Red Wings,away,F,Isac Lundestrom C,16:28,0,0,0,0,1,0,0,0,8/18
Ducks,Red Wings,away,F,Brock McGinn L,14:57,0,0,0,0,1,0,0,0,0/1
Ducks,Red Wings,away,F,Ryan Strome C,17:31,1,0,2,6,0,0,0,0,4/13
Ducks,Red Wings,away,F,Troy Terry R,19:14,1,0,0,5,0,0,0,1,1/1
Ducks,Red Wings,away,F,Frank Vatrano R,17:04,0,1,1,3,1,0,0,1,0/1
Ducks,Red Wings,away,F,Trevor Zegras C,15:05,1,0,0,2,2,0,2,1,6/12
Ducks,Red Wings,away,F,Ducks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrian
Ducks,Red Wings,away,F,Brian Dumoulin D,20:35,0,2,3,1,2,0,0,0,0/0
Ducks,Red Wings,away,F,Radko Gudas D,19:48,0,0,0,1,0,2,0,2,0/0
Ducks,Red Wings,away,F,Drew Helleson D,13:19,0,2,2,1,1,2,1,0,0/0
Ducks,Red Wings,away,F,Jackson LaCombe D,20:02,0,1,1,0,3,0,3,1,0/0
Ducks,Red Wings,away,F,Pavel Mintyukov D,18:04,0,0,-1,2,0,0,2,0,0/0
Ducks,Red Wings,away,F,Olen Zellweger D,22:27,1,2,1,2,2,2,0,0,0/0
Ducks,Red Wings,away,F,Leo Carlsson C,17:00,0,2,1,0,1,0,0,1,1/5
Ducks,Red Wings,away,F,Cutter Gauthier L,12:56,1,0,1,1,1,0,0,3,0/0
Ducks,Red Wings,away,F,Jansen Harkins C,09:59,0,1,1,0,0,0,1,0,4/7
Ducks,Red Wings,away,F,Ross Johnston L,09:41,1,0,1,3,1,0,1,0,0/0
Ducks,Red Wings,away,F,Alex Killorn L,15:51,0,1,2,2,0,0,0,0,0/0
Ducks,Red Wings,away,F,Brett Leason R,14:39,0,0,0,0,1,2,0,1,0/0
Ducks,Red Wings,away,F,Isac Lundestrom C,16:28,0,0,0,0,1,0,0,0,8/18
Ducks,Red Wings,away,F,Brock McGinn L,14:57,0,0,0,0,1,0,0,0,0/1
Ducks,Red Wings,away,F,Ryan Strome C,17:31,1,0,2,6,0,0,0,0,4/13
Ducks,Red Wings,away,F,Troy Terry R,19:14,1,0,0,5,0,0,0,1,1/1
Ducks,Red Wings,away,F,Frank Vatrano R,17:04,0,1,1,3,1,0,0,1,0/1
Ducks,Red Wings,away,F,Trevor Zegras C,15:05,1,0,0,2,2,0,2,1,6/12
Ducks,Red Wings,away,F,Ducks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBrian
Ducks,Red Wings,away,F,Brian Dumoulin D,20:35,0,2,3,1,2,0,0,0,0/0
Ducks,Red Wings,away,F,Radko Gudas D,19:48,0,0,0,1,0,2,0,2,0/0
Ducks,Red Wings,away,F,Drew Helleson D,13:19,0,2,2,1,1,2,1,0,0/0
Ducks,Red Wings,away,F,Jackson LaCombe D,20:02,0,1,1,0,3,0,3,1,0/0
Ducks,Red Wings,away,F,Pavel Mintyukov D,18:04,0,0,-1,2,0,0,2,0,0/0
Ducks,Red Wings,away,F,Olen Zellweger D,22:27,1,2,1,2,2,2,0,0,0/0
